"","date","VIAO"
"1","2020-09-25",10.18
"2","2020-09-28",10
"3","2020-09-29",9.5
"4","2020-09-30",8.91
"5","2020-10-01",9.1
"6","2020-10-02",9
"7","2020-10-05",8.88
"8","2020-10-06",8.8
"9","2020-10-07",8.98
"10","2020-10-08",9.08
"11","2020-10-09",8.76
"12","2020-10-12",8.8
"13","2020-10-13",8.64
"14","2020-10-14",8.22
"15","2020-10-15",8.02
"16","2020-10-16",7.82
"17","2020-10-19",8.01
"18","2020-10-20",8.37
"19","2020-10-21",8.5
"20","2020-10-22",9.45
"21","2020-10-23",9
"22","2020-10-26",8.82
"23","2020-10-27",9.04
"24","2020-10-28",9.2
"25","2020-10-29",9.45
"26","2020-10-30",10.51
"27","2020-11-02",10.62
"28","2020-11-03",9.89
"29","2020-11-04",10.001
"30","2020-11-05",9.98
"31","2020-11-06",10.06
"32","2020-11-09",10.4
"33","2020-11-10",10.63
"34","2020-11-11",10.66
"35","2020-11-12",10.78
"36","2020-11-13",10.88
"37","2020-11-16",11.5
"38","2020-11-17",11.5
"39","2020-11-18",11.5
"40","2020-11-19",11.22
"41","2020-11-20",11.5
"42","2020-11-23",11.81
"43","2020-11-24",11.89
"44","2020-11-25",11.39
"45","2020-11-27",11.53
