"","date","GWB"
"1","2014-10-15",18
"2","2014-10-16",18
"3","2014-10-17",18.43
"4","2014-10-20",18.440001
"5","2014-10-21",18.84
"6","2014-10-22",18.549999
"7","2014-10-23",19.1
"8","2014-10-24",19.360001
"9","2014-10-27",19.15
"10","2014-10-28",19.389999
"11","2014-10-29",19.43
"12","2014-10-30",19.4
"13","2014-10-31",19.42
"14","2014-11-03",19.870001
"15","2014-11-04",19.700001
"16","2014-11-05",19.870001
"17","2014-11-06",19.84
"18","2014-11-07",20.040001
"19","2014-11-10",20.35
"20","2014-11-11",20.6
"21","2014-11-12",20.799999
"22","2014-11-13",21.32
"23","2014-11-14",21.51
"24","2014-11-17",21.4
"25","2014-11-18",21.5
"26","2014-11-19",21.25
"27","2014-11-20",21.73
"28","2014-11-21",21.76
"29","2014-11-24",22.139999
"30","2014-11-25",22.15
"31","2014-11-26",22.370001
"32","2014-11-28",22.360001
"33","2014-12-01",22.08
"34","2014-12-02",22.360001
"35","2014-12-03",22.459999
"36","2014-12-04",22.77
"37","2014-12-05",23.139999
"38","2014-12-08",23.25
"39","2014-12-09",23.209999
"40","2014-12-10",22.700001
"41","2014-12-11",22.780001
"42","2014-12-12",21.82
"43","2014-12-15",21.16
"44","2014-12-16",20.940001
"45","2014-12-17",21.74
"46","2014-12-18",22.049999
"47","2014-12-19",21.860001
"48","2014-12-22",22.450001
"49","2014-12-23",22.51
"50","2014-12-24",22.459999
"51","2014-12-26",22.84
"52","2014-12-29",23.110001
"53","2014-12-30",22.92
"54","2014-12-31",22.790001
"55","2015-01-02",22.889999
"56","2015-01-05",22.5
"57","2015-01-06",21.940001
"58","2015-01-07",21.91
"59","2015-01-08",22
"60","2015-01-09",21.719999
"61","2015-01-12",21.690001
"62","2015-01-13",21.5
"63","2015-01-14",21.059999
"64","2015-01-15",20.15
"65","2015-01-16",20.549999
"66","2015-01-20",20.870001
"67","2015-01-21",21.1
"68","2015-01-22",21.26
"69","2015-01-23",20.799999
"70","2015-01-26",20.780001
"71","2015-01-27",20.48
"72","2015-01-28",20.51
"73","2015-01-29",20.73
