"","date","BSX"
"1","2007-01-03",16.91
"2","2007-01-04",17.059999
"3","2007-01-05",17.1
"4","2007-01-08",17.809999
"5","2007-01-09",17.6
"6","2007-01-10",17.83
"7","2007-01-11",18.040001
"8","2007-01-12",18.209999
"9","2007-01-16",18.120001
"10","2007-01-17",18.200001
"11","2007-01-18",18.09
"12","2007-01-19",18.190001
"13","2007-01-22",18.07
"14","2007-01-23",17.700001
"15","2007-01-24",17.690001
"16","2007-01-25",17.639999
"17","2007-01-26",17.469999
"18","2007-01-29",17.969999
"19","2007-01-30",18.59
"20","2007-01-31",18.450001
"21","2007-02-01",18.33
"22","2007-02-02",18.26
"23","2007-02-05",18.08
"24","2007-02-06",17.5
"25","2007-02-07",17.360001
"26","2007-02-08",17.49
"27","2007-02-09",17.370001
"28","2007-02-12",17.040001
"29","2007-02-13",17.120001
"30","2007-02-14",17.209999
"31","2007-02-15",17.059999
"32","2007-02-16",17.01
"33","2007-02-20",16.959999
"34","2007-02-21",17.040001
"35","2007-02-22",17.1
"36","2007-02-23",17.120001
"37","2007-02-26",16.790001
"38","2007-02-27",16.01
"39","2007-02-28",16.309999
"40","2007-03-01",16.209999
"41","2007-03-02",15.99
"42","2007-03-05",15.51
"43","2007-03-06",15.7
"44","2007-03-07",15.95
"45","2007-03-08",15.47
"46","2007-03-09",15.77
"47","2007-03-12",15.16
"48","2007-03-13",15.08
"49","2007-03-14",15.24
"50","2007-03-15",14.98
"51","2007-03-16",14.83
"52","2007-03-19",15.05
"53","2007-03-20",15.12
"54","2007-03-21",15.38
"55","2007-03-22",15.59
"56","2007-03-23",15.22
"57","2007-03-26",14.22
"58","2007-03-27",14.31
"59","2007-03-28",14.38
"60","2007-03-29",14.54
"61","2007-03-30",14.54
"62","2007-04-02",14.59
"63","2007-04-03",14.79
"64","2007-04-04",14.85
"65","2007-04-05",14.97
"66","2007-04-09",14.94
"67","2007-04-10",15
"68","2007-04-11",15.3
"69","2007-04-12",15.35
"70","2007-04-13",15.01
"71","2007-04-16",16
"72","2007-04-17",16.1
"73","2007-04-18",15.73
"74","2007-04-19",15.62
"75","2007-04-20",15.98
"76","2007-04-23",16.09
"77","2007-04-24",15.84
"78","2007-04-25",15.81
"79","2007-04-26",15.89
"80","2007-04-27",15.72
"81","2007-04-30",15.44
"82","2007-05-01",16.049999
"83","2007-05-02",16.33
"84","2007-05-03",16.290001
"85","2007-05-04",16.16
"86","2007-05-07",16.67
"87","2007-05-08",16.58
"88","2007-05-09",16.24
"89","2007-05-10",15.96
"90","2007-05-11",15.85
"91","2007-05-14",15.59
"92","2007-05-15",15.59
"93","2007-05-16",15.81
"94","2007-05-17",15.45
"95","2007-05-18",15.44
"96","2007-05-21",15.53
"97","2007-05-22",15.61
"98","2007-05-23",15.71
"99","2007-05-24",15.77
"100","2007-05-25",15.75
"101","2007-05-29",15.61
"102","2007-05-30",15.43
"103","2007-05-31",15.67
"104","2007-06-01",15.69
"105","2007-06-04",15.98
"106","2007-06-05",15.91
"107","2007-06-06",16.09
"108","2007-06-07",15.97
"109","2007-06-08",16.15
"110","2007-06-11",16.17
"111","2007-06-12",16.049999
"112","2007-06-13",16.139999
"113","2007-06-14",16.49
"114","2007-06-15",16.379999
"115","2007-06-18",16.35
"116","2007-06-19",16.32
"117","2007-06-20",16.01
"118","2007-06-21",16.01
"119","2007-06-22",15.78
"120","2007-06-25",15.48
"121","2007-06-26",15.47
"122","2007-06-27",15.46
"123","2007-06-28",15.5
"124","2007-06-29",15.34
"125","2007-07-02",15.48
"126","2007-07-03",15.68
"127","2007-07-05",15.57
"128","2007-07-06",15.51
"129","2007-07-09",15.72
"130","2007-07-10",15.32
"131","2007-07-11",15.47
"132","2007-07-12",15.46
"133","2007-07-13",15.41
"134","2007-07-16",15.5
"135","2007-07-17",15.38
"136","2007-07-18",15.12
"137","2007-07-19",15.17
"138","2007-07-20",14.79
"139","2007-07-23",14.7
"140","2007-07-24",14.37
"141","2007-07-25",14.07
"142","2007-07-26",13.64
"143","2007-07-27",13.36
"144","2007-07-30",13.3
"145","2007-07-31",13.15
"146","2007-08-01",13.19
"147","2007-08-02",13.43
"148","2007-08-03",13.09
"149","2007-08-06",12.91
"150","2007-08-07",12.93
"151","2007-08-08",13.2
"152","2007-08-09",13.76
"153","2007-08-10",13.08
"154","2007-08-13",13.04
"155","2007-08-14",13.03
"156","2007-08-15",12.91
"157","2007-08-16",12.74
"158","2007-08-17",12.52
"159","2007-08-20",12.23
"160","2007-08-21",12.16
"161","2007-08-22",12.47
"162","2007-08-23",12.71
"163","2007-08-24",12.69
"164","2007-08-27",12.65
"165","2007-08-28",12.57
"166","2007-08-29",12.85
"167","2007-08-30",12.69
"168","2007-08-31",12.83
"169","2007-09-04",13.2
"170","2007-09-05",13.1
"171","2007-09-06",13.23
"172","2007-09-07",13.21
"173","2007-09-10",13.17
"174","2007-09-11",13.49
"175","2007-09-12",13.14
"176","2007-09-13",13.17
"177","2007-09-14",13.5
"178","2007-09-17",13.43
"179","2007-09-18",13.51
"180","2007-09-19",13.68
"181","2007-09-20",13.7
"182","2007-09-21",13.75
"183","2007-09-24",14.11
"184","2007-09-25",14.2
"185","2007-09-26",14.2
"186","2007-09-27",13.92
"187","2007-09-28",13.95
"188","2007-10-01",14.12
"189","2007-10-02",13.88
"190","2007-10-03",13.91
"191","2007-10-04",13.92
"192","2007-10-05",14.26
"193","2007-10-08",14.19
"194","2007-10-09",14.65
"195","2007-10-10",14.64
"196","2007-10-11",15.01
"197","2007-10-12",15.02
"198","2007-10-15",15.03
"199","2007-10-16",14.3
"200","2007-10-17",14.14
"201","2007-10-18",13.85
"202","2007-10-19",14.42
"203","2007-10-22",14.3
"204","2007-10-23",14.55
"205","2007-10-24",14.04
"206","2007-10-25",13.8
"207","2007-10-26",13.76
"208","2007-10-29",13.7
"209","2007-10-30",13.93
"210","2007-10-31",13.87
"211","2007-11-01",13.3
"212","2007-11-02",13.24
"213","2007-11-05",13.2
"214","2007-11-06",13.12
"215","2007-11-07",12.52
"216","2007-11-08",12.49
"217","2007-11-09",12.66
"218","2007-11-12",12.66
"219","2007-11-13",12.94
"220","2007-11-14",12.75
"221","2007-11-15",12.53
"222","2007-11-16",12.1
"223","2007-11-19",12.21
"224","2007-11-20",12.38
"225","2007-11-21",12.42
"226","2007-11-23",12.51
"227","2007-11-26",12.24
"228","2007-11-27",12.69
"229","2007-11-28",12.73
"230","2007-11-29",12.55
"231","2007-11-30",12.63
"232","2007-12-03",13
"233","2007-12-04",12.63
"234","2007-12-05",12.95
"235","2007-12-06",12.99
