"","date","ALDX"
"1","2014-05-02",7.2
"2","2014-05-05",6.7
"3","2014-05-06",6.1
"4","2014-05-07",6.05
"5","2014-05-08",6.99
"6","2014-05-09",6.55
"7","2014-05-12",6.93
"8","2014-05-13",6.98
"9","2014-05-14",6.52
"10","2014-05-15",7.44
"11","2014-05-16",7.22
"12","2014-05-19",7.41
"13","2014-05-20",7.34
"14","2014-05-21",6.73
"15","2014-05-22",6.7
"16","2014-05-23",6.74
"17","2014-05-27",6.36
"18","2014-05-28",6.16
"19","2014-05-29",6.25
"20","2014-05-30",6.103
"21","2014-06-02",6.09
"22","2014-06-03",6.28
"23","2014-06-04",6.09
"24","2014-06-05",6.55
"25","2014-06-06",6.58
"26","2014-06-09",6.57
"27","2014-06-10",6.99
"28","2014-06-11",6.51
"29","2014-06-12",6.67
"30","2014-06-13",6.79
"31","2014-06-16",6.92
"32","2014-06-17",7.2
"33","2014-06-18",6.69
"34","2014-06-19",7.51
"35","2014-06-20",6.95
"36","2014-06-23",7.2
"37","2014-06-24",6.65
"38","2014-06-25",6.7
"39","2014-06-26",6.65
"40","2014-06-27",6.72
"41","2014-06-30",6.56
"42","2014-07-01",6.66
"43","2014-07-02",6.59
"44","2014-07-03",6.59
"45","2014-07-07",6.594
"46","2014-07-08",6.5
"47","2014-07-09",6.7
"48","2014-07-10",6.31
"49","2014-07-11",6.54
"50","2014-07-14",6.1
"51","2014-07-15",6
"52","2014-07-16",5.35
"53","2014-07-17",4.84
"54","2014-07-18",4.83
"55","2014-07-21",4.99
"56","2014-07-22",4.75
"57","2014-07-23",4.5
"58","2014-07-24",4.29
"59","2014-07-25",4.27
"60","2014-07-28",3.63
"61","2014-07-29",3.845
"62","2014-07-30",3.7
"63","2014-07-31",3.57
"64","2014-08-01",3.5
"65","2014-08-04",3.34
"66","2014-08-05",3.28
"67","2014-08-06",3.61
"68","2014-08-07",3.84
"69","2014-08-08",4.15
"70","2014-08-11",4.32
"71","2014-08-12",3.97
"72","2014-08-13",4.04
"73","2014-08-14",4.2
"74","2014-08-15",4.02
"75","2014-08-18",4.12
"76","2014-08-19",4.14
"77","2014-08-20",4.01
"78","2014-08-21",3.89
"79","2014-08-22",3.82
"80","2014-08-25",3.86
"81","2014-08-26",3.6
"82","2014-08-27",3.4
"83","2014-08-28",3.35
"84","2014-08-29",3.46
"85","2014-09-02",3.63
"86","2014-09-03",3.6
"87","2014-09-04",3.89
"88","2014-09-05",4.21
"89","2014-09-08",4.05
"90","2014-09-09",4.17
"91","2014-09-10",4.08
"92","2014-09-11",4.15
"93","2014-09-12",5.03
"94","2014-09-15",6.565
"95","2014-09-16",6.88
"96","2014-09-17",6.95
"97","2014-09-18",6.9
"98","2014-09-19",7.4
"99","2014-09-22",7.3
"100","2014-09-23",6.84
"101","2014-09-24",6.54
"102","2014-09-25",6.14
"103","2014-09-26",6.1
"104","2014-09-29",5.77
"105","2014-09-30",5.92
"106","2014-10-01",5.99
"107","2014-10-02",6
"108","2014-10-03",6
"109","2014-10-06",5.96
"110","2014-10-07",5.74
"111","2014-10-08",5.86
"112","2014-10-09",5.9
"113","2014-10-10",5.88
"114","2014-10-13",5.77
"115","2014-10-14",5.99
"116","2014-10-15",5.98
"117","2014-10-16",5.792
"118","2014-10-17",5.75
"119","2014-10-20",5.89
"120","2014-10-21",7.95
"121","2014-10-22",7.191
"122","2014-10-23",7.85
"123","2014-10-24",7.81
"124","2014-10-27",8.245
"125","2014-10-28",8.99
"126","2014-10-29",9.76
"127","2014-10-30",7.5
"128","2014-10-31",6.9
"129","2014-11-03",6.71
"130","2014-11-04",7.89
"131","2014-11-05",7.38
"132","2014-11-06",7.72
"133","2014-11-07",7.12
"134","2014-11-10",7.91
"135","2014-11-11",7.51
"136","2014-11-12",7.52
"137","2014-11-13",7.91
"138","2014-11-14",7.47
"139","2014-11-17",7.65
"140","2014-11-18",7.22
"141","2014-11-19",7.33
"142","2014-11-20",7.25
"143","2014-11-21",7.53
"144","2014-11-24",7.51
"145","2014-11-25",7.35
"146","2014-11-26",7.35
"147","2014-11-28",7.22
"148","2014-12-01",7.34
"149","2014-12-02",7.26
"150","2014-12-03",7.55
"151","2014-12-04",7.39
"152","2014-12-05",7.19
"153","2014-12-08",7.8
"154","2014-12-09",7.71
"155","2014-12-10",7.85
"156","2014-12-11",7.9
"157","2014-12-12",7.8
"158","2014-12-15",7.6
"159","2014-12-16",7.05
"160","2014-12-17",6.74
"161","2014-12-18",7.46
"162","2014-12-19",7.44
"163","2014-12-22",7.83
"164","2014-12-23",7.32
"165","2014-12-24",7.52
"166","2014-12-26",6.65
"167","2014-12-29",7.1
"168","2014-12-30",7.01
"169","2014-12-31",7.22
"170","2015-01-02",7.3
"171","2015-01-05",7.61
"172","2015-01-06",7.83
"173","2015-01-07",7.48
"174","2015-01-08",7.64
"175","2015-01-09",7.48
"176","2015-01-12",7.82
"177","2015-01-13",7.87
"178","2015-01-14",7.86
"179","2015-01-15",7.897
"180","2015-01-16",10.17
"181","2015-01-20",10.65
"182","2015-01-21",9.43
"183","2015-01-22",9.6
"184","2015-01-23",8.86
"185","2015-01-26",9.86
"186","2015-01-27",10.97
"187","2015-01-28",11.59
"188","2015-01-29",11.84
"189","2015-01-30",12.1
"190","2015-02-02",11.5
"191","2015-02-03",10.68
"192","2015-02-04",11.09
"193","2015-02-05",11.35
"194","2015-02-06",11.63
"195","2015-02-09",11.15
"196","2015-02-10",11.25
"197","2015-02-11",10.99
"198","2015-02-12",11.26
"199","2015-02-13",11.01
"200","2015-02-17",11.14
"201","2015-02-18",11.05
"202","2015-02-19",11.83
"203","2015-02-20",10.5
"204","2015-02-23",10.31
"205","2015-02-24",9.85
"206","2015-02-25",10.25
"207","2015-02-26",10.27
"208","2015-02-27",10.2
"209","2015-03-02",10.58
"210","2015-03-03",10.6
"211","2015-03-04",10.39
"212","2015-03-05",10.5
"213","2015-03-06",10.52
"214","2015-03-09",10.01
"215","2015-03-10",10.47
"216","2015-03-11",10.62
"217","2015-03-12",10.59
"218","2015-03-13",10.41
"219","2015-03-16",11.46
"220","2015-03-17",11.11
"221","2015-03-18",11.22
"222","2015-03-19",10.6
"223","2015-03-20",10.8
"224","2015-03-23",10.62
"225","2015-03-24",10.61
"226","2015-03-25",10.641
"227","2015-03-26",10.41
"228","2015-03-27",10.75
"229","2015-03-30",10.12
"230","2015-03-31",10.18
"231","2015-04-01",10.01
"232","2015-04-02",10.15
"233","2015-04-06",10.64
"234","2015-04-07",10.61
"235","2015-04-08",10.12
"236","2015-04-09",10.25
"237","2015-04-10",10.286
"238","2015-04-13",10.12
"239","2015-04-14",10.45
"240","2015-04-15",10.49
"241","2015-04-16",10.59
"242","2015-04-17",10.97
"243","2015-04-20",10.72
"244","2015-04-21",10.75
"245","2015-04-22",9.3
"246","2015-04-23",9.74
"247","2015-04-24",9.56
"248","2015-04-27",9.55
"249","2015-04-28",9.53
"250","2015-04-29",9.32
"251","2015-04-30",9.443
"252","2015-05-01",9.33
"253","2015-05-04",9.27
"254","2015-05-05",9.04
"255","2015-05-06",8.35
"256","2015-05-07",8.26
"257","2015-05-08",7.55
"258","2015-05-11",7.5
"259","2015-05-12",7.51
"260","2015-05-13",7.49
"261","2015-05-14",7.43
"262","2015-05-15",7.02
"263","2015-05-18",7.29
"264","2015-05-19",7.31
"265","2015-05-20",7.29
"266","2015-05-21",7.22
"267","2015-05-22",7.13
"268","2015-05-26",6.87
"269","2015-05-27",7.47
"270","2015-05-28",7.49
"271","2015-05-29",7.45
"272","2015-06-01",7.57
"273","2015-06-02",7.6
"274","2015-06-03",7.85
"275","2015-06-04",7.67
"276","2015-06-05",7.72
"277","2015-06-08",7.86
"278","2015-06-09",7.74
"279","2015-06-10",7.62
"280","2015-06-11",8.3
"281","2015-06-12",8.17
"282","2015-06-15",8.245
"283","2015-06-16",8.55
"284","2015-06-17",8.6
"285","2015-06-18",8.38
"286","2015-06-19",8.6
"287","2015-06-22",8.44
"288","2015-06-23",7.98
"289","2015-06-24",7.99
"290","2015-06-25",8.09
"291","2015-06-26",7.75
"292","2015-06-29",7.91
"293","2015-06-30",7.76
"294","2015-07-01",8.31
"295","2015-07-02",8.5
"296","2015-07-06",8.37
"297","2015-07-07",8.48
"298","2015-07-08",7.93
"299","2015-07-09",8.01
"300","2015-07-10",8.15
"301","2015-07-13",8.29
"302","2015-07-14",8.31
"303","2015-07-15",8.33
"304","2015-07-16",8.39
"305","2015-07-17",8.99
"306","2015-07-20",9.69
"307","2015-07-21",10.25
"308","2015-07-22",10.63
"309","2015-07-23",10.19
"310","2015-07-24",9.68
"311","2015-07-27",9.05
"312","2015-07-28",9.01
"313","2015-07-29",9.13
"314","2015-07-30",9.16
"315","2015-07-31",8.89
"316","2015-08-03",8.47
"317","2015-08-04",8.04
"318","2015-08-05",8.17
"319","2015-08-06",8.14
"320","2015-08-07",8.28
"321","2015-08-10",8.12
"322","2015-08-11",8.34
"323","2015-08-12",7.69
"324","2015-08-13",7.99
"325","2015-08-14",8.06
"326","2015-08-17",7.89
"327","2015-08-18",7.71
"328","2015-08-19",7.71
"329","2015-08-20",7.59
"330","2015-08-21",7.41
"331","2015-08-24",7
"332","2015-08-25",6.76
"333","2015-08-26",6.935
"334","2015-08-27",6.62
"335","2015-08-28",7.06
"336","2015-08-31",7.22
"337","2015-09-01",6.97
"338","2015-09-02",7.19
"339","2015-09-03",7.19
"340","2015-09-04",7.08
"341","2015-09-08",7.16
"342","2015-09-09",7.02
"343","2015-09-10",6.82
"344","2015-09-11",6.98
"345","2015-09-14",6.84
"346","2015-09-15",6.97
"347","2015-09-16",6.86
"348","2015-09-17",6.78
"349","2015-09-18",6.95
"350","2015-09-21",6.82
"351","2015-09-22",6.86
"352","2015-09-23",6.85
"353","2015-09-24",6.87
"354","2015-09-25",6.73
"355","2015-09-28",6.06
"356","2015-09-29",6.04
"357","2015-09-30",5.83
"358","2015-10-01",5.63
"359","2015-10-02",5.78
"360","2015-10-05",5.75
"361","2015-10-06",5.5
"362","2015-10-07",5.26
"363","2015-10-08",5.154
"364","2015-10-09",5.38
"365","2015-10-12",5.34
"366","2015-10-13",5.94
"367","2015-10-14",6.2
"368","2015-10-15",6.47
"369","2015-10-16",6.36
"370","2015-10-19",6.33
"371","2015-10-20",6.4
"372","2015-10-21",6.5
"373","2015-10-22",6.5
"374","2015-10-23",6.26
"375","2015-10-26",6.43
"376","2015-10-27",6.52
"377","2015-10-28",6.99
"378","2015-10-29",6.94
"379","2015-10-30",6.88
"380","2015-11-02",7.22
"381","2015-11-03",7.38
"382","2015-11-04",7.355
"383","2015-11-05",7.31
"384","2015-11-06",7.48
"385","2015-11-09",7.3
"386","2015-11-10",7.36
"387","2015-11-11",7.49
"388","2015-11-12",7.26
"389","2015-11-13",7.25
"390","2015-11-16",7.35
"391","2015-11-17",7.17
"392","2015-11-18",7.15
"393","2015-11-19",7.131
"394","2015-11-20",7.11
"395","2015-11-23",6.98
"396","2015-11-24",6.905
"397","2015-11-25",7.035
"398","2015-11-27",7.019
"399","2015-11-30",7.28
"400","2015-12-01",7.375
"401","2015-12-02",7.49
"402","2015-12-03",7.2
"403","2015-12-04",7.34
"404","2015-12-07",7.27
"405","2015-12-08",6.97
"406","2015-12-09",6.999
"407","2015-12-10",6.491
"408","2015-12-11",6.52
"409","2015-12-14",6.5
"410","2015-12-15",6.829
"411","2015-12-16",6.98
"412","2015-12-17",6.93
"413","2015-12-18",6.75
"414","2015-12-21",7.04
"415","2015-12-22",6.46
"416","2015-12-23",6.51
"417","2015-12-24",6.51
"418","2015-12-28",6.75
"419","2015-12-29",6.536
"420","2015-12-30",6.63
"421","2015-12-31",6.78
"422","2016-01-04",6.68
"423","2016-01-05",6.68
"424","2016-01-06",6.5
"425","2016-01-07",6.63
"426","2016-01-08",6.748
"427","2016-01-11",6.76
"428","2016-01-12",6.69
"429","2016-01-13",6.55
"430","2016-01-14",6.71
"431","2016-01-15",6.37
"432","2016-01-19",6.16
"433","2016-01-20",5.79
"434","2016-01-21",5.62
"435","2016-01-22",5.5
"436","2016-01-25",5.39
"437","2016-01-26",5.09
"438","2016-01-27",5.05
"439","2016-01-28",4.88
"440","2016-01-29",4.81
"441","2016-02-01",4.8
"442","2016-02-02",4.52
"443","2016-02-03",4.26
"444","2016-02-04",4.3
