"","date","ASB"
"1","2007-01-03",35.040001
"2","2007-01-04",35.299999
"3","2007-01-05",34.669998
"4","2007-01-08",34.599998
"5","2007-01-09",34.560001
"6","2007-01-10",34.669998
"7","2007-01-11",34.810001
"8","2007-01-12",34.759998
"9","2007-01-16",34.740002
"10","2007-01-17",34.419998
"11","2007-01-18",34.189999
"12","2007-01-19",34.029999
"13","2007-01-22",33.880001
"14","2007-01-23",33.91
"15","2007-01-24",33.889999
"16","2007-01-25",33.610001
"17","2007-01-26",33.599998
"18","2007-01-29",33.849998
"19","2007-01-30",34.009998
"20","2007-01-31",34.119999
"21","2007-02-01",34.310001
"22","2007-02-02",34.139999
"23","2007-02-05",34.07
"24","2007-02-06",34.119999
"25","2007-02-07",34.68
"26","2007-02-08",34.720001
"27","2007-02-09",34.52
"28","2007-02-12",34.75
"29","2007-02-13",34.950001
"30","2007-02-14",35.080002
"31","2007-02-15",35.049999
"32","2007-02-16",35.259998
"33","2007-02-20",35.43
"34","2007-02-21",35.43
"35","2007-02-22",35.380001
"36","2007-02-23",35.32
"37","2007-02-26",35.07
"38","2007-02-27",34.400002
"39","2007-02-28",34.580002
"40","2007-03-01",34.59
"41","2007-03-02",34.380001
"42","2007-03-05",34.060001
"43","2007-03-06",34.400002
"44","2007-03-07",34.25
"45","2007-03-08",34.310001
"46","2007-03-09",34.240002
"47","2007-03-12",34.029999
"48","2007-03-13",33.16
"49","2007-03-14",33.290001
"50","2007-03-15",33.810001
"51","2007-03-16",33.73
"52","2007-03-19",33.810001
"53","2007-03-20",34.009998
"54","2007-03-21",34.639999
"55","2007-03-22",34.360001
"56","2007-03-23",34.369999
"57","2007-03-26",34.09
"58","2007-03-27",33.84
"59","2007-03-28",33.599998
"60","2007-03-29",33.759998
"61","2007-03-30",33.599998
"62","2007-04-02",33.220001
"63","2007-04-03",33.490002
"64","2007-04-04",33.27
"65","2007-04-05",33.27
"66","2007-04-09",32.93
"67","2007-04-10",32.98
"68","2007-04-11",32.549999
"69","2007-04-12",32.52
"70","2007-04-13",32.799999
"71","2007-04-16",33.369999
"72","2007-04-17",33.349998
"73","2007-04-18",33.389999
"74","2007-04-19",33.189999
"75","2007-04-20",33.18
"76","2007-04-23",32.91
"77","2007-04-24",32.689999
"78","2007-04-25",33.060001
"79","2007-04-26",32.93
"80","2007-04-27",32.900002
"81","2007-04-30",32.380001
"82","2007-05-01",32.490002
"83","2007-05-02",32.619999
"84","2007-05-03",32.639999
"85","2007-05-04",32.740002
"86","2007-05-07",32.68
"87","2007-05-08",32.669998
"88","2007-05-09",32.84
"89","2007-05-10",32.310001
"90","2007-05-11",32.369999
"91","2007-05-14",32.279999
"92","2007-05-15",32.139999
"93","2007-05-16",32.490002
"94","2007-05-17",32.470001
"95","2007-05-18",32.529999
"96","2007-05-21",32.639999
"97","2007-05-22",32.75
"98","2007-05-23",32.759998
"99","2007-05-24",32.490002
"100","2007-05-25",32.650002
"101","2007-05-29",32.82
"102","2007-05-30",32.990002
"103","2007-05-31",33.009998
"104","2007-06-01",33.310001
"105","2007-06-04",33.290001
"106","2007-06-05",33.040001
"107","2007-06-06",32.849998
"108","2007-06-07",32.41
"109","2007-06-08",32.740002
"110","2007-06-11",32.77
"111","2007-06-12",32.509998
"112","2007-06-13",32.790001
"113","2007-06-14",32.810001
"114","2007-06-15",33.049999
"115","2007-06-18",33.150002
"116","2007-06-19",33.200001
"117","2007-06-20",32.919998
"118","2007-06-21",32.91
"119","2007-06-22",32.540001
"120","2007-06-25",32.560001
"121","2007-06-26",32.529999
"122","2007-06-27",32.779999
