"","date","CRESY"
"1","2007-01-03",17.227402
"2","2007-01-04",17.095896
"3","2007-01-05",16.936209
"4","2007-01-08",17.114683
"5","2007-01-09",17.47163
"6","2007-01-10",17.199223
"7","2007-01-11",17.001963
"8","2007-01-12",16.96439
"9","2007-01-16",16.936209
"10","2007-01-17",16.917421
"11","2007-01-18",16.926815
"12","2007-01-19",16.757734
"13","2007-01-22",15.574173
"14","2007-01-23",16.053234
"15","2007-01-24",16.447754
"16","2007-01-25",15.884153
"17","2007-01-26",16.372608
"18","2007-01-29",17.077108
"19","2007-01-30",17.452843
"20","2007-01-31",17.424664
"21","2007-02-01",17.875544
"22","2007-02-02",17.931904
"23","2007-02-05",18.185524
"24","2007-02-06",18.382784
"25","2007-02-07",18.11977
"26","2007-02-08",17.753429
"27","2007-02-09",18.082197
"28","2007-02-12",17.950691
"29","2007-02-13",18.082197
"30","2007-02-14",17.72525
"31","2007-02-15",17.847364
"32","2007-02-16",17.856756
"33","2007-02-20",18.42975
"34","2007-02-21",19.322119
"35","2007-02-22",20.646582
"36","2007-02-23",20.355389
"37","2007-02-26",20.740515
"38","2007-02-27",18.363998
"39","2007-02-28",18.673979
"40","2007-03-01",18.072803
"41","2007-03-02",17.52799
"42","2007-03-05",17.001963
"43","2007-03-06",17.405876
"44","2007-03-07",17.490416
"45","2007-03-08",18.054018
"46","2007-03-09",18.185524
"47","2007-03-12",18.523685
"48","2007-03-13",18.457932
"49","2007-03-14",18.439144
"50","2007-03-15",18.401571
"51","2007-03-16",18.514292
"52","2007-03-19",18.673979
"53","2007-03-20",19.106073
"54","2007-03-21",19.021532
"55","2007-03-22",19.143646
"56","2007-03-23",18.805485
"57","2007-03-26",18.495504
"58","2007-03-27",19.115465
"59","2007-03-28",18.890026
"60","2007-03-29",18.927599
"61","2007-03-30",19.284546
"62","2007-04-02",19.397266
"63","2007-04-03",19.472414
"64","2007-04-04",19.575741
"65","2007-04-05",20.082981
"66","2007-04-09",20.477501
"67","2007-04-10",20.825056
"68","2007-04-11",20.646582
"69","2007-04-12",20.872023
"70","2007-04-13",20.834448
"71","2007-04-16",21.548344
"72","2007-04-17",20.77809
"73","2007-04-18",21.369869
"74","2007-04-19",21.210182
"75","2007-04-20",21.905291
"76","2007-04-23",22.440712
"77","2007-04-24",21.567129
"78","2007-04-25",21.520163
"79","2007-04-26",22.140125
"80","2007-04-27",22.807053
"81","2007-04-30",22.788265
"82","2007-05-01",21.322903
"83","2007-05-02",21.623489
"84","2007-05-03",21.48259
"85","2007-05-04",21.416836
"86","2007-05-07",21.79257
"87","2007-05-08",21.351084
"88","2007-05-09",21.764391
"89","2007-05-10",21.294724
