"","date","ANAB"
"1","2017-01-26",17
"2","2017-01-27",17.530001
"3","2017-01-30",17.16
"4","2017-01-31",16.950001
"5","2017-02-01",16.620001
"6","2017-02-02",16.9
"7","2017-02-03",17.530001
"8","2017-02-06",18.84
"9","2017-02-07",18.540001
"10","2017-02-08",19.809999
"11","2017-02-09",20.15
"12","2017-02-10",22.52
"13","2017-02-13",23.17
"14","2017-02-14",23.59
"15","2017-02-15",23.5
"16","2017-02-16",22.549999
"17","2017-02-17",23.889999
"18","2017-02-21",23.73
"19","2017-02-22",23.15
"20","2017-02-23",23.57
"21","2017-02-24",24.6
"22","2017-02-27",24
"23","2017-02-28",23.85
"24","2017-03-01",23.07
"25","2017-03-02",22.780001
"26","2017-03-03",22.66
"27","2017-03-06",23
"28","2017-03-07",23.85
"29","2017-03-08",22.950001
"30","2017-03-09",23.1
"31","2017-03-10",23.200001
"32","2017-03-13",25.559999
"33","2017-03-14",26.389999
"34","2017-03-15",25.93
"35","2017-03-16",26.530001
"36","2017-03-17",26.52
"37","2017-03-20",27.389999
"38","2017-03-21",27.52
"39","2017-03-22",27.030001
"40","2017-03-23",27.6
"41","2017-03-24",27.74
"42","2017-03-27",27.530001
"43","2017-03-28",27.700001
"44","2017-03-29",27.879999
"45","2017-03-30",28.780001
"46","2017-03-31",27.75
"47","2017-04-03",27.9
"48","2017-04-04",27.290001
"49","2017-04-05",25.98
"50","2017-04-06",24.889999
"51","2017-04-07",24.690001
"52","2017-04-10",25.110001
"53","2017-04-11",25
"54","2017-04-12",25.379999
"55","2017-04-13",24.74
"56","2017-04-17",24.950001
"57","2017-04-18",24.280001
"58","2017-04-19",24.639999
"59","2017-04-20",24.67
"60","2017-04-21",24.52
"61","2017-04-24",24.780001
"62","2017-04-25",25.389999
"63","2017-04-26",26.799999
"64","2017-04-27",26.950001
"65","2017-04-28",26.68
"66","2017-05-01",26.219999
"67","2017-05-02",26.24
"68","2017-05-03",26.1
"69","2017-05-04",25.790001
"70","2017-05-05",26.139999
"71","2017-05-08",26.08
"72","2017-05-09",25.809999
"73","2017-05-10",25.639999
"74","2017-05-11",26.68
"75","2017-05-12",26.290001
"76","2017-05-15",26.389999
"77","2017-05-16",27.549999
"78","2017-05-17",26.74
"79","2017-05-18",26.639999
"80","2017-05-19",26.9
"81","2017-05-22",26.91
"82","2017-05-23",27.290001
"83","2017-05-24",26.42
"84","2017-05-25",26.700001
"85","2017-05-26",25.700001
"86","2017-05-30",25.99
"87","2017-05-31",25.59
"88","2017-06-01",24.82
"89","2017-06-02",25.059999
"90","2017-06-05",22.43
"91","2017-06-06",23.01
"92","2017-06-07",19.290001
"93","2017-06-08",22.65
"94","2017-06-09",22.450001
"95","2017-06-12",22.049999
"96","2017-06-13",22.33
"97","2017-06-14",23.139999
"98","2017-06-15",23.4
"99","2017-06-16",23.719999
"100","2017-06-19",24.139999
"101","2017-06-20",24.139999
"102","2017-06-21",23.4
"103","2017-06-22",24.049999
"104","2017-06-23",24.889999
"105","2017-06-26",25.190001
"106","2017-06-27",24.809999
"107","2017-06-28",24.969999
"108","2017-06-29",24.809999
"109","2017-06-30",23.93
"110","2017-07-03",25.01
"111","2017-07-05",24.1
"112","2017-07-06",24.200001
"113","2017-07-07",24.280001
"114","2017-07-10",24.26
"115","2017-07-11",24.709999
"116","2017-07-12",25.43
"117","2017-07-13",26.15
"118","2017-07-14",26.26
"119","2017-07-17",27.83
"120","2017-07-18",26.91
"121","2017-07-19",27.23
"122","2017-07-20",27.1
"123","2017-07-21",27.26
"124","2017-07-24",30.549999
"125","2017-07-25",27.9
"126","2017-07-26",25.77
"127","2017-07-27",25.530001
"128","2017-07-28",24.5
"129","2017-07-31",24.33
"130","2017-08-01",23.93
"131","2017-08-02",23.27
"132","2017-08-03",21.610001
"133","2017-08-04",21.969999
"134","2017-08-07",22.780001
"135","2017-08-08",21.530001
"136","2017-08-09",21.809999
"137","2017-08-10",21.48
"138","2017-08-11",21.99
"139","2017-08-14",21.629999
"140","2017-08-15",20.68
"141","2017-08-16",21.26
"142","2017-08-17",21.290001
"143","2017-08-18",22.059999
"144","2017-08-21",21.190001
"145","2017-08-22",21.450001
"146","2017-08-23",21.129999
"147","2017-08-24",22.280001
"148","2017-08-25",23.85
"149","2017-08-28",24.67
"150","2017-08-29",25.18
"151","2017-08-30",25.77
"152","2017-08-31",27.969999
"153","2017-09-01",29.58
"154","2017-09-05",29.42
"155","2017-09-06",30.559999
"156","2017-09-07",31.68
"157","2017-09-08",31.84
"158","2017-09-11",32.400002
"159","2017-09-12",32.09
"160","2017-09-13",32.59
"161","2017-09-14",31.450001
"162","2017-09-15",32.07
"163","2017-09-18",35.799999
"164","2017-09-19",34.779999
"165","2017-09-20",34.650002
"166","2017-09-21",34.529999
"167","2017-09-22",34.099998
"168","2017-09-25",34.009998
"169","2017-09-26",33.740002
"170","2017-09-27",34.380001
