"","date","WEX"
"1","2007-01-03",31.25
"2","2007-01-04",32.27
"3","2007-01-05",31.5
"4","2007-01-08",30.73
"5","2007-01-09",31
"6","2007-01-10",30.629999
"7","2007-01-11",30.440001
"8","2007-01-12",30.459999
"9","2007-01-16",29.68
"10","2007-01-17",29.58
"11","2007-01-18",29.25
"12","2007-01-19",28.99
"13","2007-01-22",29
"14","2007-01-23",29.280001
"15","2007-01-24",30.299999
"16","2007-01-25",29.6
"17","2007-01-26",29.75
"18","2007-01-29",30.209999
"19","2007-01-30",31.1
"20","2007-01-31",30.870001
"21","2007-02-01",31.5
"22","2007-02-02",31.299999
"23","2007-02-05",31
"24","2007-02-06",30.68
"25","2007-02-07",31.120001
"26","2007-02-08",28.379999
"27","2007-02-09",27.790001
"28","2007-02-12",27.719999
"29","2007-02-13",28.200001
"30","2007-02-14",27.57
"31","2007-02-15",28.799999
"32","2007-02-16",29.129999
"33","2007-02-20",29.75
"34","2007-02-21",29.6
"35","2007-02-22",29.799999
"36","2007-02-23",29.93
"37","2007-02-26",30
"38","2007-02-27",29.049999
"39","2007-02-28",28.48
"40","2007-03-01",28.860001
"41","2007-03-02",28.129999
"42","2007-03-05",28.059999
"43","2007-03-06",28.959999
"44","2007-03-07",28.469999
"45","2007-03-08",29.040001
"46","2007-03-09",28.91
"47","2007-03-12",29.6
"48","2007-03-13",28.610001
"49","2007-03-14",29.860001
"50","2007-03-15",30.08
"51","2007-03-16",30.02
"52","2007-03-19",30.1
"53","2007-03-20",30.15
"54","2007-03-21",30.6
"55","2007-03-22",30.540001
"56","2007-03-23",30.549999
"57","2007-03-26",30.620001
"58","2007-03-27",30.450001
"59","2007-03-28",30.43
"60","2007-03-29",30.309999
"61","2007-03-30",30.33
"62","2007-04-02",30.4
"63","2007-04-03",30.360001
"64","2007-04-04",30.690001
"65","2007-04-05",31.02
"66","2007-04-09",31.059999
"67","2007-04-10",31.299999
"68","2007-04-11",30.99
"69","2007-04-12",31.190001
"70","2007-04-13",31.049999
"71","2007-04-16",31.549999
"72","2007-04-17",31.620001
