"","date","OSPN"
"1","2007-01-03",11.97
"2","2007-01-04",12.96
"3","2007-01-05",13.67
"4","2007-01-08",14.54
"5","2007-01-09",14.2
"6","2007-01-10",14.97
"7","2007-01-11",15.8
"8","2007-01-12",15.32
"9","2007-01-16",15.52
"10","2007-01-17",15.84
"11","2007-01-18",15.64
"12","2007-01-19",14.52
"13","2007-01-22",13.96
"14","2007-01-23",14.61
"15","2007-01-24",14.77
"16","2007-01-25",14.17
"17","2007-01-26",14.5
"18","2007-01-29",14.73
"19","2007-01-30",14.87
"20","2007-01-31",14.7
"21","2007-02-01",15.59
"22","2007-02-02",15.71
"23","2007-02-05",15.65
"24","2007-02-06",14.92
"25","2007-02-07",15.15
"26","2007-02-08",15.08
"27","2007-02-09",14.89
"28","2007-02-12",14.97
"29","2007-02-13",14.79
"30","2007-02-14",14.99
"31","2007-02-15",15
"32","2007-02-16",15.13
"33","2007-02-20",18.450001
"34","2007-02-21",18.34
"35","2007-02-22",18.870001
"36","2007-02-23",18.299999
"37","2007-02-26",18
"38","2007-02-27",17.459999
"39","2007-02-28",17.59
"40","2007-03-01",17.1
"41","2007-03-02",16.6
"42","2007-03-05",15.88
"43","2007-03-06",16.99
"44","2007-03-07",16.809999
"45","2007-03-08",17.139999
"46","2007-03-09",16.950001
"47","2007-03-12",17.1
"48","2007-03-13",16.440001
"49","2007-03-14",16.51
"50","2007-03-15",16.51
"51","2007-03-16",16.42
"52","2007-03-19",16.809999
"53","2007-03-20",17.870001
"54","2007-03-21",18.02
"55","2007-03-22",17.879999
"56","2007-03-23",17.93
"57","2007-03-26",18.51
"58","2007-03-27",18.290001
"59","2007-03-28",18.379999
"60","2007-03-29",17.75
"61","2007-03-30",17.870001
"62","2007-04-02",17.719999
"63","2007-04-03",18.690001
"64","2007-04-04",19.1
"65","2007-04-05",19.040001
"66","2007-04-09",17.99
"67","2007-04-10",17.98
"68","2007-04-11",17.700001
"69","2007-04-12",17.82
"70","2007-04-13",17.9
"71","2007-04-16",17.99
"72","2007-04-17",17.92
