"","date","SEEL"
"1","2007-01-03",3240
"2","2007-01-04",3690
"3","2007-01-05",3780
"4","2007-01-08",4275
"5","2007-01-09",4815
"6","2007-01-10",4725
"7","2007-01-11",4860
"8","2007-01-12",4635
"9","2007-01-16",4500
"10","2007-01-17",4185
"11","2007-01-18",4275
"12","2007-01-19",4410
"13","2007-01-22",4500
"14","2007-01-23",4680
"15","2007-01-24",4500
"16","2007-01-25",4275
"17","2007-01-26",4365
"18","2007-01-29",4410
"19","2007-01-30",4185
"20","2007-01-31",4545
"21","2007-02-01",6480
"22","2007-02-02",6300
"23","2007-02-05",6705
"24","2007-02-06",6660
"25","2007-02-07",6525
"26","2007-02-08",6300
"27","2007-02-09",6165
"28","2007-02-12",6345
"29","2007-02-13",6300
"30","2007-02-14",6300
"31","2007-02-15",6345
"32","2007-02-16",6795
"33","2007-02-20",6930
"34","2007-02-21",6705
"35","2007-02-22",6660
"36","2007-02-23",6435
"37","2007-02-26",6255
"38","2007-02-27",5895
"39","2007-02-28",5850
"40","2007-03-01",6165
"41","2007-03-02",5805
"42","2007-03-05",5580
"43","2007-03-06",6120
"44","2007-03-07",6480
"45","2007-03-08",6795
"46","2007-03-09",6705
"47","2007-03-12",6705
"48","2007-03-13",6525
"49","2007-03-14",6255
"50","2007-03-15",6390
"51","2007-03-16",6255
"52","2007-03-19",6165
"53","2007-03-20",6120
"54","2007-03-21",6300
"55","2007-03-22",6030
"56","2007-03-23",5805
"57","2007-03-26",5760
"58","2007-03-27",5490
"59","2007-03-28",5220
"60","2007-03-29",5040
"61","2007-03-30",5580
"62","2007-04-02",6030
"63","2007-04-03",6300
"64","2007-04-04",6300
"65","2007-04-05",6210
"66","2007-04-09",6390
"67","2007-04-10",5985
"68","2007-04-11",6165
"69","2007-04-12",6300
"70","2007-04-13",5985
"71","2007-04-16",6030
"72","2007-04-17",5985
"73","2007-04-18",5850
"74","2007-04-19",5715
"75","2007-04-20",5760
"76","2007-04-23",6120
"77","2007-04-24",6255
"78","2007-04-25",6075
"79","2007-04-26",5850
"80","2007-04-27",6120
"81","2007-04-30",6120
"82","2007-05-01",6075
"83","2007-05-02",6255
"84","2007-05-03",6165
"85","2007-05-04",6345
"86","2007-05-07",6435
"87","2007-05-08",6570
"88","2007-05-09",6390
"89","2007-05-10",6075
"90","2007-05-11",6255
"91","2007-05-14",6480
"92","2007-05-15",6345
"93","2007-05-16",7155
"94","2007-05-17",8505
"95","2007-05-18",8145
"96","2007-05-21",8595
"97","2007-05-22",8100
"98","2007-05-23",8370
"99","2007-05-24",8235
"100","2007-05-25",7830
"101","2007-05-29",7740
"102","2007-05-30",7605
"103","2007-05-31",7650
"104","2007-06-01",7560
"105","2007-06-04",7740
"106","2007-06-05",8370
"107","2007-06-06",8010
"108","2007-06-07",7875
"109","2007-06-08",7650
"110","2007-06-11",8370
"111","2007-06-12",8820
"112","2007-06-13",9225
"113","2007-06-14",9000
"114","2007-06-15",8550
"115","2007-06-18",8415
"116","2007-06-19",8235
"117","2007-06-20",8190
"118","2007-06-21",7965
"119","2007-06-22",7785
"120","2007-06-25",7785
"121","2007-06-26",7830
"122","2007-06-27",7605
"123","2007-06-28",8145
"124","2007-06-29",8190
"125","2007-07-02",8055
"126","2007-07-03",8010
"127","2007-07-05",7830
"128","2007-07-06",7650
"129","2007-07-09",7650
"130","2007-07-10",7965
"131","2007-07-11",7875
"132","2007-07-12",8550
"133","2007-07-13",8550
"134","2007-07-16",8100
"135","2007-07-17",8280
"136","2007-07-18",8235
"137","2007-07-19",8370
"138","2007-07-20",8370
"139","2007-07-23",8415
"140","2007-07-24",8190
"141","2007-07-25",7965
"142","2007-07-26",7650
"143","2007-07-27",7785
"144","2007-07-30",7425
"145","2007-07-31",7470
"146","2007-08-01",7425
"147","2007-08-02",7425
"148","2007-08-03",7650
"149","2007-08-06",7470
"150","2007-08-07",8190
"151","2007-08-08",7830
"152","2007-08-09",7965
"153","2007-08-10",7425
"154","2007-08-13",7695
"155","2007-08-14",7425
"156","2007-08-15",7380
"157","2007-08-16",7605
"158","2007-08-17",8010
"159","2007-08-20",8055
"160","2007-08-21",7830
"161","2007-08-22",7875
"162","2007-08-23",7650
"163","2007-08-24",7650
"164","2007-08-27",7290
"165","2007-08-28",7290
"166","2007-08-29",7425
"167","2007-08-30",7560
"168","2007-08-31",7290
"169","2007-09-04",7200
"170","2007-09-05",7515
"171","2007-09-06",7290
"172","2007-09-07",7065
"173","2007-09-10",7335
"174","2007-09-11",7200
"175","2007-09-12",7200
"176","2007-09-13",7110
"177","2007-09-14",7245
"178","2007-09-17",6975
"179","2007-09-18",6975
"180","2007-09-19",6615
"181","2007-09-20",6930
"182","2007-09-21",7245
"183","2007-09-24",7335
"184","2007-09-25",7335
"185","2007-09-26",7425
"186","2007-09-27",7200
"187","2007-09-28",7425
"188","2007-10-01",7065
"189","2007-10-02",7245
"190","2007-10-03",7200
"191","2007-10-04",7605
"192","2007-10-05",7695
"193","2007-10-08",7560
"194","2007-10-09",7290
"195","2007-10-10",7110
"196","2007-10-11",6795
"197","2007-10-12",7020
"198","2007-10-15",6795
"199","2007-10-16",6750
"200","2007-10-17",6705
"201","2007-10-18",6750
"202","2007-10-19",6750
"203","2007-10-22",7200
"204","2007-10-23",7065
"205","2007-10-24",6795
"206","2007-10-25",6660
"207","2007-10-26",6795
"208","2007-10-29",6345
"209","2007-10-30",6300
"210","2007-10-31",6435
