"","date","ELSE"
"1","2007-01-03",5.27
"2","2007-01-04",5.1
"3","2007-01-05",5.22
"4","2007-01-08",5.01
"5","2007-01-09",5.2
"6","2007-01-10",5.3
"7","2007-01-11",5.42
"8","2007-01-12",5.64
"9","2007-01-16",5.7
"10","2007-01-17",5.72
"11","2007-01-18",5.6
"12","2007-01-19",5.5
"13","2007-01-22",5.51
"14","2007-01-23",5.71
"15","2007-01-24",5.5
"16","2007-01-25",5.78
"17","2007-01-26",5.5
"18","2007-01-29",5.7
"19","2007-01-30",5.59
"20","2007-01-31",5.54
"21","2007-02-01",5.58
"22","2007-02-02",5.73
"23","2007-02-05",5.82
"24","2007-02-06",5.63
"25","2007-02-07",5.8
"26","2007-02-08",5.69
"27","2007-02-09",5.73
"28","2007-02-12",5.75
"29","2007-02-13",5.83
"30","2007-02-14",5.74
"31","2007-02-15",5.75
"32","2007-02-16",5.75
"33","2007-02-20",5.7
"34","2007-02-21",5.72
"35","2007-02-22",5.7
"36","2007-02-23",5.7
"37","2007-02-26",5.52
"38","2007-02-27",5.35
"39","2007-02-28",5.25
"40","2007-03-01",5.1
"41","2007-03-02",5.15
"42","2007-03-05",5.1
"43","2007-03-06",5.16
"44","2007-03-07",5.15
"45","2007-03-08",5.22
"46","2007-03-09",5.15
"47","2007-03-12",5.18
"48","2007-03-13",5.02
"49","2007-03-14",5.06
"50","2007-03-15",5.14
"51","2007-03-16",5.03
"52","2007-03-19",5.02
"53","2007-03-20",5.03
"54","2007-03-21",5.12
"55","2007-03-22",5.1
"56","2007-03-23",5.13
"57","2007-03-26",5.06
"58","2007-03-27",5.14
"59","2007-03-28",5.13
"60","2007-03-29",5.78
"61","2007-03-30",5.38
"62","2007-04-02",5.29
"63","2007-04-03",5.33
"64","2007-04-04",5.39
"65","2007-04-05",5.3
"66","2007-04-09",5.31
"67","2007-04-10",5.36
"68","2007-04-11",5.2
"69","2007-04-12",5.24
"70","2007-04-13",5.2
"71","2007-04-16",5.21
"72","2007-04-17",5.28
"73","2007-04-18",5.32
"74","2007-04-19",5.3
"75","2007-04-20",5.2
"76","2007-04-23",5.21
"77","2007-04-24",5.3
"78","2007-04-25",5.36
"79","2007-04-26",5.5
"80","2007-04-27",5.55
"81","2007-04-30",5.31
"82","2007-05-01",5.21
"83","2007-05-02",5.35
"84","2007-05-03",5.4
"85","2007-05-04",5.43
"86","2007-05-07",5.4
"87","2007-05-08",5.34
"88","2007-05-09",5.46
"89","2007-05-10",5.35
"90","2007-05-11",5.38
"91","2007-05-14",5.4
"92","2007-05-15",5.38
"93","2007-05-16",5.57
"94","2007-05-17",5.6
"95","2007-05-18",5.6
"96","2007-05-21",5.68
"97","2007-05-22",5.66
"98","2007-05-23",5.63
"99","2007-05-24",5.64
"100","2007-05-25",5.8
"101","2007-05-29",5.78
"102","2007-05-30",5.76
"103","2007-05-31",5.65
"104","2007-06-01",5.45
"105","2007-06-04",5.69
"106","2007-06-05",5.74
"107","2007-06-06",5.88
"108","2007-06-07",5.85
"109","2007-06-08",5.76
"110","2007-06-11",5.7
"111","2007-06-12",5.85
"112","2007-06-13",5.7
"113","2007-06-14",5.63
"114","2007-06-15",5.92
"115","2007-06-18",5.91
"116","2007-06-19",5.8
"117","2007-06-20",5.99
"118","2007-06-21",5.81
"119","2007-06-22",6.4
"120","2007-06-25",6.56
"121","2007-06-26",6.48
"122","2007-06-27",6.53
"123","2007-06-28",6.33
"124","2007-06-29",6.13
"125","2007-07-02",6.25
"126","2007-07-03",6.36
"127","2007-07-05",6.38
"128","2007-07-06",6.42
"129","2007-07-09",6.56
"130","2007-07-10",6.08
"131","2007-07-11",6.15
"132","2007-07-12",6.13
"133","2007-07-13",6.11
"134","2007-07-16",6.01
"135","2007-07-17",6.12
"136","2007-07-18",6.18
"137","2007-07-19",6.09
"138","2007-07-20",5.89
"139","2007-07-23",6.13
"140","2007-07-24",5.99
"141","2007-07-25",6.05
"142","2007-07-26",6.01
"143","2007-07-27",6.04
"144","2007-07-30",6.06
"145","2007-07-31",6
"146","2007-08-01",5.9
"147","2007-08-02",6.03
"148","2007-08-03",6.02
"149","2007-08-06",6.06
"150","2007-08-07",5.77
"151","2007-08-08",5.85
"152","2007-08-09",5.52
"153","2007-08-10",5.57
"154","2007-08-13",5.65
"155","2007-08-14",5.56
"156","2007-08-15",4.93
"157","2007-08-16",4.94
"158","2007-08-17",4.98
"159","2007-08-20",5.73
"160","2007-08-21",5.83
"161","2007-08-22",5.96
"162","2007-08-23",5.83
"163","2007-08-24",5.87
"164","2007-08-27",5.93
"165","2007-08-28",5.89
"166","2007-08-29",6.06
"167","2007-08-30",5.93
"168","2007-08-31",5.92
"169","2007-09-04",6
"170","2007-09-05",5.92
"171","2007-09-06",5.92
"172","2007-09-07",5.97
"173","2007-09-10",6.01
"174","2007-09-11",5.92
"175","2007-09-12",5.45
"176","2007-09-13",5.52
"177","2007-09-14",5.59
"178","2007-09-17",5.62
"179","2007-09-18",5.58
"180","2007-09-19",5.56
"181","2007-09-20",5.72
"182","2007-09-21",5.79
"183","2007-09-24",5.56
"184","2007-09-25",5.85
"185","2007-09-26",5.85
"186","2007-09-27",5.72
"187","2007-09-28",5.87
"188","2007-10-01",5.78
"189","2007-10-02",5.57
"190","2007-10-03",5.79
"191","2007-10-04",5.58
"192","2007-10-05",5.91
"193","2007-10-08",6.01
"194","2007-10-09",6.03
"195","2007-10-10",6.03
"196","2007-10-11",5.9
"197","2007-10-12",5.84
"198","2007-10-15",5.9
"199","2007-10-16",5.75
"200","2007-10-17",5.81
"201","2007-10-18",5.7
"202","2007-10-19",5.63
"203","2007-10-22",5.68
"204","2007-10-23",5.8
"205","2007-10-24",5.85
"206","2007-10-25",5.86
"207","2007-10-26",5.89
"208","2007-10-29",5.85
"209","2007-10-30",5.93
"210","2007-10-31",5.91
"211","2007-11-01",5.93
"212","2007-11-02",5.93
"213","2007-11-05",5.94
"214","2007-11-06",5.94
"215","2007-11-07",5.77
"216","2007-11-08",5.58
"217","2007-11-09",5.65
"218","2007-11-12",5.68
"219","2007-11-13",5.74
"220","2007-11-14",5.7
"221","2007-11-15",5.93
"222","2007-11-16",5.89
"223","2007-11-19",5.53
"224","2007-11-20",5.51
"225","2007-11-21",5.55
"226","2007-11-23",5.64
"227","2007-11-26",5.46
"228","2007-11-27",5.5
"229","2007-11-28",5.55
"230","2007-11-29",5.57
"231","2007-11-30",5.93
"232","2007-12-03",6
"233","2007-12-04",5.95
"234","2007-12-05",5.9
"235","2007-12-06",5.58
"236","2007-12-07",5.87
"237","2007-12-10",5.72
"238","2007-12-11",5.83
"239","2007-12-12",5.66
"240","2007-12-13",5.66
"241","2007-12-14",5.52
"242","2007-12-17",5.67
"243","2007-12-18",5.56
"244","2007-12-19",5.7
"245","2007-12-20",5.8
"246","2007-12-21",5.8
"247","2007-12-24",5.91
"248","2007-12-26",5.7
"249","2007-12-27",5.84
"250","2007-12-28",5.91
"251","2007-12-31",5.89
"252","2008-01-02",5.73
"253","2008-01-03",5.92
"254","2008-01-04",5.92
"255","2008-01-07",5.92
"256","2008-01-08",5.92
"257","2008-01-09",5.8
"258","2008-01-10",5.8
