"","date","VVPR"
"1","2015-05-27",9.73
"2","2015-05-28",9.74
"3","2015-05-29",9.74
"4","2015-06-01",9.74
"5","2015-06-02",9.78
"6","2015-06-03",9.78
"7","2015-06-04",9.77
"8","2015-06-05",9.77
"9","2015-06-08",9.77
"10","2015-06-09",9.77
"11","2015-06-10",9.77
"12","2015-06-11",9.75
"13","2015-06-12",9.75
"14","2015-06-15",9.76
"15","2015-06-16",9.77
"16","2015-06-17",9.79
"17","2015-06-18",9.79
"18","2015-06-19",9.79
"19","2015-06-22",9.77
"20","2015-06-23",9.77
"21","2015-06-24",9.77
"22","2015-06-25",10.02
"23","2015-06-26",10.02
"24","2015-06-29",9.82
"25","2015-06-30",9.83
"26","2015-07-01",9.77
"27","2015-07-02",9.77
"28","2015-07-06",9.85
"29","2015-07-07",9.85
"30","2015-07-08",9.85
"31","2015-07-09",9.85
"32","2015-07-10",9.79
"33","2015-07-13",9.79
"34","2015-07-14",9.8
"35","2015-07-15",9.8
"36","2015-07-16",9.8
"37","2015-07-17",9.8
"38","2015-07-20",9.8
"39","2015-07-21",9.8
"40","2015-07-22",9.8
"41","2015-07-23",9.8
"42","2015-07-24",9.8
"43","2015-07-27",9.8
"44","2015-07-28",9.8
"45","2015-07-29",9.85
"46","2015-07-30",9.83
"47","2015-07-31",9.8
"48","2015-08-03",9.8
"49","2015-08-04",9.83
"50","2015-08-05",9.84
"51","2015-08-06",9.84
"52","2015-08-07",9.84
"53","2015-08-10",9.85
"54","2015-08-11",9.85
"55","2015-08-12",9.85
"56","2015-08-13",9.85
"57","2015-08-14",9.85
"58","2015-08-17",9.85
"59","2015-08-18",9.85
"60","2015-08-19",9.85
"61","2015-08-20",9.85
"62","2015-08-21",9.85
"63","2015-08-24",9.85
"64","2015-08-25",9.85
"65","2015-08-26",9.85
"66","2015-08-27",9.85
"67","2015-08-28",9.85
"68","2015-08-31",9.85
"69","2015-09-01",9.85
"70","2015-09-02",9.85
"71","2015-09-03",9.85
"72","2015-09-04",9.85
"73","2015-09-08",9.81
"74","2015-09-09",9.83
"75","2015-09-10",9.83
"76","2015-09-11",9.83
"77","2015-09-14",9.83
"78","2015-09-15",9.83
"79","2015-09-16",9.83
"80","2015-09-17",9.83
"81","2015-09-18",9.83
"82","2015-09-21",9.83
"83","2015-09-22",9.83
"84","2015-09-23",9.81
"85","2015-09-24",9.81
"86","2015-09-25",9.81
"87","2015-09-28",9.81
"88","2015-09-29",9.81
"89","2015-09-30",9.81
"90","2015-10-01",9.81
"91","2015-10-02",9.81
"92","2015-10-05",9.81
"93","2015-10-06",9.81
"94","2015-10-07",9.81
"95","2015-10-08",9.81
"96","2015-10-09",9.81
"97","2015-10-12",9.81
"98","2015-10-13",9.81
"99","2015-10-14",9.91
"100","2015-10-15",9.91
"101","2015-10-16",9.91
"102","2015-10-19",9.91
"103","2015-10-20",9.91
"104","2015-10-21",9.91
"105","2015-10-22",9.91
"106","2015-10-23",9.91
"107","2015-10-26",9.91
"108","2015-10-27",9.91
"109","2015-10-28",9.85
"110","2015-10-29",9.92
"111","2015-10-30",9.92
"112","2015-11-02",9.96
"113","2015-11-03",9.96
"114","2015-11-04",9.96
"115","2015-11-05",9.96
"116","2015-11-06",9.96
"117","2015-11-09",NA
"118","2015-11-10",9.96
"119","2015-11-11",9.96
"120","2015-11-12",9.96
"121","2015-11-13",9.88
"122","2015-11-16",9.81
"123","2015-11-17",9.81
"124","2015-11-18",9.81
"125","2015-11-19",9.81
"126","2015-11-20",9.81
"127","2015-11-23",9.81
"128","2015-11-24",9.81
"129","2015-11-25",9.8
"130","2015-11-27",9.8
"131","2015-11-30",9.8
"132","2015-12-01",9.8
"133","2015-12-02",9.8
"134","2015-12-03",9.8
"135","2015-12-04",9.86
"136","2015-12-07",9.86
"137","2015-12-08",9.86
"138","2015-12-09",9.86
"139","2015-12-10",9.86
"140","2015-12-11",9.86
"141","2015-12-14",9.86
"142","2015-12-15",9.86
"143","2015-12-16",9.86
"144","2015-12-17",9.89
