"","date","DFIN"
"1","2016-09-26",23.25
"2","2016-09-27",25.299999
"3","2016-09-28",25.25
"4","2016-09-29",25.35
"5","2016-09-30",29
"6","2016-10-03",22.969999
"7","2016-10-04",22.389999
"8","2016-10-05",21.85
"9","2016-10-06",21.870001
"10","2016-10-07",20.950001
"11","2016-10-10",22.1
"12","2016-10-11",23.32
"13","2016-10-12",22.629999
"14","2016-10-13",22.74
"15","2016-10-14",24.75
"16","2016-10-17",24.08
"17","2016-10-18",24.33
"18","2016-10-19",23.68
"19","2016-10-20",23.629999
"20","2016-10-21",25.02
"21","2016-10-24",24.6
"22","2016-10-25",24.450001
"23","2016-10-26",23.469999
"24","2016-10-27",22.23
"25","2016-10-28",22.059999
"26","2016-10-31",21.450001
"27","2016-11-01",21.07
"28","2016-11-02",20.809999
"29","2016-11-03",20.860001
"30","2016-11-04",20.73
"31","2016-11-07",20.389999
"32","2016-11-08",20.450001
"33","2016-11-09",20.629999
"34","2016-11-10",19.32
"35","2016-11-11",19.290001
"36","2016-11-14",20.309999
"37","2016-11-15",20.879999
"38","2016-11-16",20.700001
"39","2016-11-17",21.190001
"40","2016-11-18",20.75
"41","2016-11-21",20.280001
"42","2016-11-22",20.09
"43","2016-11-23",19.799999
"44","2016-11-25",19.799999
"45","2016-11-28",19.639999
"46","2016-11-29",20.030001
"47","2016-11-30",19.07
"48","2016-12-01",18.540001
"49","2016-12-02",18.57
"50","2016-12-05",19.23
"51","2016-12-06",20.02
"52","2016-12-07",19.809999
"53","2016-12-08",19.83
"54","2016-12-09",20.040001
"55","2016-12-12",19.66
"56","2016-12-13",19.549999
"57","2016-12-14",19.57
"58","2016-12-15",20.299999
"59","2016-12-16",20.25
"60","2016-12-19",20.08
"61","2016-12-20",20.42
"62","2016-12-21",20.27
"63","2016-12-22",19.85
"64","2016-12-23",19.85
"65","2016-12-27",20.709999
"66","2016-12-28",21.129999
"67","2016-12-29",22.879999
"68","2016-12-30",22.98
"69","2017-01-03",23.459999
"70","2017-01-04",24.120001
"71","2017-01-05",24.190001
"72","2017-01-06",24.129999
"73","2017-01-09",23.290001
"74","2017-01-10",23.6
"75","2017-01-11",23.639999
"76","2017-01-12",23.110001
"77","2017-01-13",22.620001
"78","2017-01-17",22.68
"79","2017-01-18",23.07
"80","2017-01-19",22.58
"81","2017-01-20",22.809999
"82","2017-01-23",23.030001
"83","2017-01-24",23.17
"84","2017-01-25",23.290001
"85","2017-01-26",23.549999
"86","2017-01-27",24.209999
"87","2017-01-30",24.02
"88","2017-01-31",24.08
"89","2017-02-01",24.309999
"90","2017-02-02",24.309999
"91","2017-02-03",24.49
"92","2017-02-06",24.209999
"93","2017-02-07",24.379999
"94","2017-02-08",24.01
"95","2017-02-09",23.92
"96","2017-02-10",23.84
"97","2017-02-13",24.01
"98","2017-02-14",23.870001
"99","2017-02-15",23.809999
"100","2017-02-16",24.27
"101","2017-02-17",24.67
"102","2017-02-21",24.549999
"103","2017-02-22",24.559999
"104","2017-02-23",26.379999
"105","2017-02-24",26.200001
"106","2017-02-27",25.91
"107","2017-02-28",23.110001
"108","2017-03-01",22.32
"109","2017-03-02",22.35
"110","2017-03-03",21.15
"111","2017-03-06",20.879999
"112","2017-03-07",20.549999
"113","2017-03-08",19.780001
"114","2017-03-09",20.34
"115","2017-03-10",20.15
"116","2017-03-13",19.860001
"117","2017-03-14",19.9
"118","2017-03-15",19.889999
"119","2017-03-16",19.9
"120","2017-03-17",20.059999
"121","2017-03-20",20.35
"122","2017-03-21",20.43
"123","2017-03-22",19.950001
"124","2017-03-23",19.25
"125","2017-03-24",19.719999
"126","2017-03-27",19.75
