"","date","PTCT"
"1","2013-06-20",16.49
"2","2013-06-21",17.5
"3","2013-06-24",17.35
"4","2013-06-25",17.540001
"5","2013-06-26",16.045
"6","2013-06-27",13.63
"7","2013-06-28",15
"8","2013-07-01",15
"9","2013-07-02",16.129999
"10","2013-07-03",15.16
"11","2013-07-05",15.2
"12","2013-07-08",15.92
"13","2013-07-09",15.515
"14","2013-07-10",15.8
"15","2013-07-11",16.34
"16","2013-07-12",16.940001
"17","2013-07-15",17.17
"18","2013-07-16",16.57
"19","2013-07-17",17.82
"20","2013-07-18",18.4
"21","2013-07-19",17.75
"22","2013-07-22",16.98
"23","2013-07-23",16.77
"24","2013-07-24",16.1
"25","2013-07-25",16.139999
"26","2013-07-26",16.57
"27","2013-07-29",16.549999
"28","2013-07-30",15.58
"29","2013-07-31",15.66
"30","2013-08-01",14.62
"31","2013-08-02",14.06
"32","2013-08-05",14.92
"33","2013-08-06",14.53
"34","2013-08-07",14.86
"35","2013-08-08",14.95
"36","2013-08-09",15.42
"37","2013-08-12",15.46
"38","2013-08-13",15
"39","2013-08-14",15.64
"40","2013-08-15",15.55
"41","2013-08-16",15.66
"42","2013-08-19",15.86
"43","2013-08-20",15.63
"44","2013-08-21",15.59
"45","2013-08-22",16.15
"46","2013-08-23",15.82
"47","2013-08-26",16.200001
"48","2013-08-27",16.57
"49","2013-08-28",16.620001
"50","2013-08-29",17.49
"51","2013-08-30",17.940001
"52","2013-09-03",18.15
"53","2013-09-04",18.74
"54","2013-09-05",19.1
"55","2013-09-06",19.07
"56","2013-09-09",20.879999
"57","2013-09-10",21.860001
"58","2013-09-11",20.4
"59","2013-09-12",20.42
"60","2013-09-13",21.34
"61","2013-09-16",20.780001
"62","2013-09-17",19.76
"63","2013-09-18",19.73
"64","2013-09-19",19.52
"65","2013-09-20",17.879999
"66","2013-09-23",22.48
"67","2013-09-24",21.389999
"68","2013-09-25",21.84
"69","2013-09-26",21.450001
"70","2013-09-27",21.370001
"71","2013-09-30",21.459999
"72","2013-10-01",22.389999
"73","2013-10-02",20.360001
"74","2013-10-03",19.389999
"75","2013-10-04",19.030001
"76","2013-10-07",19.110001
"77","2013-10-08",16.84
"78","2013-10-09",16.870001
"79","2013-10-10",17.43
"80","2013-10-11",17.200001
"81","2013-10-14",17.76
"82","2013-10-15",18.280001
"83","2013-10-16",18.440001
"84","2013-10-17",19.469999
"85","2013-10-18",19.24
"86","2013-10-21",20.52
"87","2013-10-22",21.24
"88","2013-10-23",20.73
"89","2013-10-24",20.48
"90","2013-10-25",20.709999
"91","2013-10-28",20.43
"92","2013-10-29",19.82
"93","2013-10-30",18.290001
"94","2013-10-31",18.040001
"95","2013-11-01",17.5
"96","2013-11-04",18.290001
"97","2013-11-05",17.98
"98","2013-11-06",17.25
"99","2013-11-07",16.700001
"100","2013-11-08",16.860001
"101","2013-11-11",17.030001
"102","2013-11-12",16.42
"103","2013-11-13",16.309999
"104","2013-11-14",15.87
"105","2013-11-15",14.56
"106","2013-11-18",13.59
"107","2013-11-19",14.16
"108","2013-11-20",14.06
"109","2013-11-21",14.75
"110","2013-11-22",14.75
"111","2013-11-25",14.71
"112","2013-11-26",15
"113","2013-11-27",15.48
"114","2013-11-29",15.67
"115","2013-12-02",15.61
"116","2013-12-03",15.59
"117","2013-12-04",15.68
"118","2013-12-05",15.98
"119","2013-12-06",16.620001
"120","2013-12-09",16.99
"121","2013-12-10",16.469999
"122","2013-12-11",15.96
"123","2013-12-12",16.77
"124","2013-12-13",16.98
"125","2013-12-16",19.34
"126","2013-12-17",19.15
"127","2013-12-18",19
"128","2013-12-19",18.77
"129","2013-12-20",18.84
"130","2013-12-23",18.41
"131","2013-12-24",19.1
"132","2013-12-26",18.309999
"133","2013-12-27",17.799999
"134","2013-12-30",17.5
"135","2013-12-31",16.969999
"136","2014-01-02",16.74
"137","2014-01-03",17.450001
"138","2014-01-06",16.719999
"139","2014-01-07",16.709999
"140","2014-01-08",17.75
"141","2014-01-09",18.040001
"142","2014-01-10",19.5
"143","2014-01-13",19.870001
"144","2014-01-14",21.870001
"145","2014-01-15",24.639999
"146","2014-01-16",26.549999
"147","2014-01-17",29.32
"148","2014-01-21",28.959999
"149","2014-01-22",26.84
"150","2014-01-23",26.219999
"151","2014-01-24",26.9
"152","2014-01-27",26.91
"153","2014-01-28",27.049999
"154","2014-01-29",25.709999
"155","2014-01-30",26.83
"156","2014-01-31",26.07
"157","2014-02-03",22.299999
"158","2014-02-04",23
"159","2014-02-05",21.91
"160","2014-02-06",22.02
"161","2014-02-07",22.76
"162","2014-02-10",25.02
"163","2014-02-11",23.48
"164","2014-02-12",25.129999
"165","2014-02-13",26.030001
