"","date","WNS"
"1","2007-01-03",31.1
"2","2007-01-04",30.09
"3","2007-01-05",29.200001
"4","2007-01-08",29
"5","2007-01-09",28.85
"6","2007-01-10",28.91
"7","2007-01-11",28.860001
"8","2007-01-12",29.129999
"9","2007-01-16",29.35
"10","2007-01-17",29.790001
"11","2007-01-18",30.120001
"12","2007-01-19",30.209999
"13","2007-01-22",30
"14","2007-01-23",30.25
"15","2007-01-24",31
"16","2007-01-25",32.16
"17","2007-01-26",32.189999
"18","2007-01-29",32.900002
"19","2007-01-30",33
"20","2007-01-31",33.860001
"21","2007-02-01",33.5
"22","2007-02-02",33.279999
"23","2007-02-05",34.299999
"24","2007-02-06",34.080002
"25","2007-02-07",35
"26","2007-02-08",35.43
"27","2007-02-09",35.299999
"28","2007-02-12",34.32
"29","2007-02-13",32.009998
"30","2007-02-14",32.490002
"31","2007-02-15",33.27
"32","2007-02-16",33
"33","2007-02-20",32.759998
"34","2007-02-21",32.529999
"35","2007-02-22",32.5
"36","2007-02-23",32.110001
"37","2007-02-26",32.75
"38","2007-02-27",32.5
"39","2007-02-28",32.169998
"40","2007-03-01",31.5
"41","2007-03-02",31.290001
"42","2007-03-05",31.43
"43","2007-03-06",31.950001
"44","2007-03-07",32
"45","2007-03-08",32.049999
"46","2007-03-09",30.98
"47","2007-03-12",30.09
"48","2007-03-13",29.950001
"49","2007-03-14",29.799999
"50","2007-03-15",29.73
"51","2007-03-16",29.35
"52","2007-03-19",29.23
"53","2007-03-20",29.99
"54","2007-03-21",29.959999
"55","2007-03-22",29.51
"56","2007-03-23",29.5
"57","2007-03-26",29.48
"58","2007-03-27",29.1
"59","2007-03-28",28.9
"60","2007-03-29",28.709999
"61","2007-03-30",29.139999
"62","2007-04-02",28.48
"63","2007-04-03",28.48
"64","2007-04-04",27.809999
"65","2007-04-05",27.75
"66","2007-04-09",28
"67","2007-04-10",28.120001
"68","2007-04-11",27.99
"69","2007-04-12",27.959999
"70","2007-04-13",27.950001
"71","2007-04-16",27.98
"72","2007-04-17",27.9
"73","2007-04-18",28
"74","2007-04-19",28
"75","2007-04-20",27.9
"76","2007-04-23",28
"77","2007-04-24",27.629999
"78","2007-04-25",27.32
"79","2007-04-26",26.809999
"80","2007-04-27",26.299999
"81","2007-04-30",26.58
"82","2007-05-01",26.540001
"83","2007-05-02",27.25
"84","2007-05-03",27.299999
"85","2007-05-04",27.4
"86","2007-05-07",27.299999
"87","2007-05-08",26.879999
"88","2007-05-09",26.48
"89","2007-05-10",26.25
"90","2007-05-11",26.209999
"91","2007-05-14",26.42
"92","2007-05-15",27.950001
"93","2007-05-16",28.049999
"94","2007-05-17",27.84
"95","2007-05-18",27.690001
"96","2007-05-21",26.629999
"97","2007-05-22",25.98
"98","2007-05-23",25.82
"99","2007-05-24",25.15
"100","2007-05-25",25.34
"101","2007-05-29",25.709999
"102","2007-05-30",26.709999
"103","2007-05-31",27.09
"104","2007-06-01",26.99
"105","2007-06-04",27.27
"106","2007-06-05",27.51
"107","2007-06-06",27.690001
"108","2007-06-07",27.49
"109","2007-06-08",28.379999
"110","2007-06-11",28.48
"111","2007-06-12",28.09
"112","2007-06-13",27.98
"113","2007-06-14",28.48
"114","2007-06-15",28.5
"115","2007-06-18",29.200001
"116","2007-06-19",29.799999
"117","2007-06-20",29.629999
"118","2007-06-21",29.209999
"119","2007-06-22",29.049999
"120","2007-06-25",28.83
"121","2007-06-26",28.809999
"122","2007-06-27",28.58
"123","2007-06-28",28.51
"124","2007-06-29",28.459999
"125","2007-07-02",28.26
"126","2007-07-03",28.25
"127","2007-07-05",28.530001
"128","2007-07-06",28.469999
"129","2007-07-09",28.389999
"130","2007-07-10",28.059999
"131","2007-07-11",28.35
"132","2007-07-12",27.540001
"133","2007-07-13",27.940001
"134","2007-07-16",28.15
"135","2007-07-17",27.68
"136","2007-07-18",27.049999
"137","2007-07-19",26.719999
"138","2007-07-20",26.540001
"139","2007-07-23",26.65
"140","2007-07-24",25.799999
"141","2007-07-25",24.91
"142","2007-07-26",24.540001
"143","2007-07-27",24.780001
"144","2007-07-30",25
"145","2007-07-31",25.049999
"146","2007-08-01",24.34
"147","2007-08-02",24.23
"148","2007-08-03",23.629999
"149","2007-08-06",22.959999
"150","2007-08-07",22.98
"151","2007-08-08",23.9
"152","2007-08-09",24.08
"153","2007-08-10",24.639999
"154","2007-08-13",23.9
"155","2007-08-14",24.6
"156","2007-08-15",22.549999
"157","2007-08-16",24.5
