"","date","NTST"
"1","2020-08-13",17.75
"2","2020-08-14",18
"3","2020-08-17",18.25
"4","2020-08-18",18.26
"5","2020-08-19",18.049999
"6","2020-08-20",18.059999
"7","2020-08-21",18.059999
"8","2020-08-24",18.09
"9","2020-08-25",18.360001
"10","2020-08-26",18.190001
"11","2020-08-27",18.27
"12","2020-08-28",18.33
"13","2020-08-31",18.34
"14","2020-09-01",18.299999
"15","2020-09-02",18.309999
"16","2020-09-03",18.360001
"17","2020-09-04",18.370001
"18","2020-09-08",18.450001
"19","2020-09-09",18.26
"20","2020-09-10",17.940001
"21","2020-09-11",18.049999
"22","2020-09-14",18.049999
"23","2020-09-15",18.299999
"24","2020-09-16",18.309999
"25","2020-09-17",18.16
"26","2020-09-18",17.610001
"27","2020-09-21",17.25
"28","2020-09-22",17.49
"29","2020-09-23",17.120001
"30","2020-09-24",17.35
"31","2020-09-25",17.540001
"32","2020-09-28",18.27
"33","2020-09-29",18.18
"34","2020-09-30",18.26
"35","2020-10-01",18.83
"36","2020-10-02",19.129999
"37","2020-10-05",19.059999
"38","2020-10-06",19.040001
"39","2020-10-07",19.290001
"40","2020-10-08",19.49
"41","2020-10-09",19.51
"42","2020-10-12",19.5
"43","2020-10-13",18.76
"44","2020-10-14",17.860001
"45","2020-10-15",17.82
"46","2020-10-16",18.049999
"47","2020-10-19",17.52
"48","2020-10-20",17.76
"49","2020-10-21",17.530001
"50","2020-10-22",17.85
"51","2020-10-23",18.08
"52","2020-10-26",18.040001
"53","2020-10-27",17.639999
"54","2020-10-28",17.280001
"55","2020-10-29",17.639999
"56","2020-10-30",17.540001
"57","2020-11-02",17.98
"58","2020-11-03",18.110001
"59","2020-11-04",17.85
"60","2020-11-05",17.940001
"61","2020-11-06",18.139999
"62","2020-11-09",18.299999
"63","2020-11-10",18.74
"64","2020-11-11",18.51
"65","2020-11-12",17.860001
"66","2020-11-13",18.299999
"67","2020-11-16",18.870001
"68","2020-11-17",18.309999
"69","2020-11-18",17.66
"70","2020-11-19",17.4
"71","2020-11-20",17.969999
"72","2020-11-23",18.690001
"73","2020-11-24",19.200001
"74","2020-11-25",19.25
"75","2020-11-27",19.16
