"","date","AFMD"
"1","2014-09-12",5.7
"2","2014-09-15",6.4
"3","2014-09-16",6.22
"4","2014-09-17",6.27
"5","2014-09-18",6.12
"6","2014-09-19",6.18
"7","2014-09-22",6.36
"8","2014-09-23",6.37
"9","2014-09-24",6.34
"10","2014-09-25",6.26
"11","2014-09-26",6.4
"12","2014-09-29",6.19
"13","2014-09-30",6.3
"14","2014-10-01",6.01
"15","2014-10-02",6
"16","2014-10-03",6.36
"17","2014-10-06",6.3
"18","2014-10-07",6.16
"19","2014-10-08",6.09
"20","2014-10-09",6.1
"21","2014-10-10",5.2
"22","2014-10-13",5.12
"23","2014-10-14",5.25
"24","2014-10-15",5.3
"25","2014-10-16",5.29
"26","2014-10-17",5.002
"27","2014-10-20",4.911
"28","2014-10-21",4.57
"29","2014-10-22",4.63
"30","2014-10-23",4.61
"31","2014-10-24",4.41
"32","2014-10-27",4.112
"33","2014-10-28",4.512
"34","2014-10-29",4.59
"35","2014-10-30",4.44
"36","2014-10-31",4.72
"37","2014-11-03",4.52
"38","2014-11-04",4.37
"39","2014-11-05",4.9
"40","2014-11-06",4.95
"41","2014-11-07",5
"42","2014-11-10",4.56
"43","2014-11-11",4.7
"44","2014-11-12",4.71
"45","2014-11-13",4.99
"46","2014-11-14",5.4
"47","2014-11-17",6.02
"48","2014-11-18",6.2
"49","2014-11-19",5.72
"50","2014-11-20",5.65
"51","2014-11-21",5.95
"52","2014-11-24",6.23
"53","2014-11-25",6.6
"54","2014-11-26",7.01
"55","2014-11-28",7.65
"56","2014-12-01",7.54
"57","2014-12-02",7.45
"58","2014-12-03",7.5
"59","2014-12-04",7.59
"60","2014-12-05",7.83
"61","2014-12-08",7.05
"62","2014-12-09",5.79
"63","2014-12-10",5.75
"64","2014-12-11",5.72
"65","2014-12-12",5.38
"66","2014-12-15",5.68
"67","2014-12-16",5.43
"68","2014-12-17",5.31
"69","2014-12-18",5.7
"70","2014-12-19",6.1
"71","2014-12-22",6.35
"72","2014-12-23",6.164
"73","2014-12-24",6.19
"74","2014-12-26",6.19
"75","2014-12-29",6.31
"76","2014-12-30",6.32
"77","2014-12-31",6.2
"78","2015-01-02",6.24
"79","2015-01-05",6.55
"80","2015-01-06",6.4
"81","2015-01-07",7.2
"82","2015-01-08",7.13
"83","2015-01-09",6.91
"84","2015-01-12",6.87
"85","2015-01-13",6.2
"86","2015-01-14",5.91
