"","date","TBIO"
"1","2018-06-28",11.52
"2","2018-06-29",12.65
"3","2018-07-02",13
"4","2018-07-03",12.92
"5","2018-07-05",13.17
"6","2018-07-06",13.25
"7","2018-07-09",13.3
"8","2018-07-10",13.01
"9","2018-07-11",13
"10","2018-07-12",13
"11","2018-07-13",12.85
"12","2018-07-16",13
"13","2018-07-17",13.01
"14","2018-07-18",14.1
"15","2018-07-19",14.68
"16","2018-07-20",15.94
"17","2018-07-23",15.9
"18","2018-07-24",15.36
"19","2018-07-25",15.57
"20","2018-07-26",14.38
"21","2018-07-27",14.4
"22","2018-07-30",12.21
"23","2018-07-31",11.01
"24","2018-08-01",11.47
"25","2018-08-02",11.05
"26","2018-08-03",11.01
"27","2018-08-06",9.67
"28","2018-08-07",10.43
"29","2018-08-08",10.5
"30","2018-08-09",10.21
"31","2018-08-10",10.45
"32","2018-08-13",10.25
"33","2018-08-14",10.55
"34","2018-08-15",11.73
"35","2018-08-16",10.6
"36","2018-08-17",10.48
"37","2018-08-20",10.5
"38","2018-08-21",10.49
"39","2018-08-22",10.65
"40","2018-08-23",10.8
"41","2018-08-24",10.86
"42","2018-08-27",10.74
"43","2018-08-28",10.7
"44","2018-08-29",10.9
"45","2018-08-30",10.82
"46","2018-08-31",10.61
"47","2018-09-04",10.34
"48","2018-09-05",11.05
"49","2018-09-06",11.09
"50","2018-09-07",11.57
"51","2018-09-10",11.54
"52","2018-09-11",11.33
"53","2018-09-12",11.21
"54","2018-09-13",10.9
"55","2018-09-14",10.66
"56","2018-09-17",10.53
"57","2018-09-18",10.35
"58","2018-09-19",10.34
"59","2018-09-20",10.36
"60","2018-09-21",9.99
"61","2018-09-24",9.93
"62","2018-09-25",9.93
"63","2018-09-26",9.9
"64","2018-09-27",9.95
"65","2018-09-28",10
"66","2018-10-01",9.95
"67","2018-10-02",9.91
"68","2018-10-03",9.86
"69","2018-10-04",9.16
"70","2018-10-05",8.76
"71","2018-10-08",8.84
"72","2018-10-09",8.56
"73","2018-10-10",8
"74","2018-10-11",7.7
"75","2018-10-12",7.46
"76","2018-10-15",7.15
"77","2018-10-16",7.13
"78","2018-10-17",6.88
"79","2018-10-18",6.96
"80","2018-10-19",5.82
"81","2018-10-22",5.74
"82","2018-10-23",5.46
"83","2018-10-24",5.16
"84","2018-10-25",5.68
"85","2018-10-26",5.54
"86","2018-10-29",5.39
"87","2018-10-30",5.49
"88","2018-10-31",5.63
"89","2018-11-01",5.85
"90","2018-11-02",5.93
"91","2018-11-05",6.53
"92","2018-11-06",6.59
"93","2018-11-07",6.75
"94","2018-11-08",6.79
"95","2018-11-09",6.5
"96","2018-11-12",5.99
"97","2018-11-13",6.29
"98","2018-11-14",5.91
"99","2018-11-15",7.33
"100","2018-11-16",6.8
"101","2018-11-19",6.84
"102","2018-11-20",6.99
"103","2018-11-21",6.99
"104","2018-11-23",6.98
"105","2018-11-26",6.79
"106","2018-11-27",6.63
"107","2018-11-28",7.35
"108","2018-11-29",7.59
"109","2018-11-30",7.23
"110","2018-12-03",7.75
"111","2018-12-04",8.21
"112","2018-12-06",8.45
"113","2018-12-07",8.53
"114","2018-12-10",8.51
"115","2018-12-11",9.06
"116","2018-12-12",9
"117","2018-12-13",8.73
"118","2018-12-14",8.19
"119","2018-12-17",8.35
"120","2018-12-18",8.15
"121","2018-12-19",7.89
"122","2018-12-20",7.37
"123","2018-12-21",8.2
"124","2018-12-24",8.05
"125","2018-12-26",8.06
"126","2018-12-27",7.37
"127","2018-12-28",7.28
"128","2018-12-31",7.5
"129","2019-01-02",7.49
"130","2019-01-03",6.78
"131","2019-01-04",8.38
"132","2019-01-07",7.32
"133","2019-01-08",6.9
"134","2019-01-09",6.79
"135","2019-01-10",6.15
