"","date","LBRT"
"1","2018-01-11",17
"2","2018-01-12",21.75
"3","2018-01-16",21.82
"4","2018-01-17",22.32
"5","2018-01-18",22.32
"6","2018-01-19",22.58
"7","2018-01-22",22.9
"8","2018-01-23",23.030001
"9","2018-01-24",22.92
"10","2018-01-25",22.780001
"11","2018-01-26",22.65
"12","2018-01-29",22.549999
"13","2018-01-30",22.1
"14","2018-01-31",22.139999
"15","2018-02-01",21.719999
"16","2018-02-02",20.9
"17","2018-02-05",20.469999
"18","2018-02-06",21.190001
"19","2018-02-07",20.860001
"20","2018-02-08",20.309999
"21","2018-02-09",18.82
"22","2018-02-12",19.23
"23","2018-02-13",19.219999
"24","2018-02-14",19.9
"25","2018-02-15",19.85
"26","2018-02-16",19.799999
"27","2018-02-20",19.860001
"28","2018-02-21",20.049999
"29","2018-02-22",19.9
"30","2018-02-23",20.48
"31","2018-02-26",20.200001
"32","2018-02-27",19.610001
"33","2018-02-28",18.59
"34","2018-03-01",17.76
"35","2018-03-02",17.5
"36","2018-03-05",18.360001
"37","2018-03-06",18.24
"38","2018-03-07",17.860001
"39","2018-03-08",17.549999
"40","2018-03-09",18.41
"41","2018-03-12",18.99
"42","2018-03-13",18.440001
"43","2018-03-14",17.629999
"44","2018-03-15",17.02
"45","2018-03-16",17.73
"46","2018-03-19",17.15
"47","2018-03-20",17.440001
"48","2018-03-21",18.389999
"49","2018-03-22",18.120001
"50","2018-03-23",17.83
"51","2018-03-26",17.540001
"52","2018-03-27",16.639999
"53","2018-03-28",16.219999
"54","2018-03-29",16.889999
"55","2018-04-02",16.440001
"56","2018-04-03",16.93
"57","2018-04-04",17.209999
"58","2018-04-05",17.77
"59","2018-04-06",17.52
"60","2018-04-09",17.440001
"61","2018-04-10",19.26
"62","2018-04-11",19.01
"63","2018-04-12",18.74
"64","2018-04-13",18.690001
"65","2018-04-16",19.040001
"66","2018-04-17",19.41
"67","2018-04-18",19.66
"68","2018-04-19",19.83
"69","2018-04-20",19.48
"70","2018-04-23",19.299999
"71","2018-04-24",19.940001
"72","2018-04-25",19.9
"73","2018-04-26",19.940001
"74","2018-04-27",20.139999
"75","2018-04-30",19.940001
"76","2018-05-01",19.73
"77","2018-05-02",20.040001
"78","2018-05-03",20.25
"79","2018-05-04",19.73
"80","2018-05-07",19.809999
"81","2018-05-08",19.98
"82","2018-05-09",20.84
"83","2018-05-10",20.860001
"84","2018-05-11",20.280001
"85","2018-05-14",21
"86","2018-05-15",20.99
"87","2018-05-16",21.23
"88","2018-05-17",22.610001
"89","2018-05-18",22.9
"90","2018-05-21",23.360001
"91","2018-05-22",23.09
"92","2018-05-23",23.17
"93","2018-05-24",22.700001
"94","2018-05-25",21.440001
"95","2018-05-29",21.68
"96","2018-05-30",22.35
"97","2018-05-31",21.26
"98","2018-06-01",20.07
"99","2018-06-04",19.530001
"100","2018-06-05",19
"101","2018-06-06",19.5
"102","2018-06-07",20.139999
"103","2018-06-08",18.780001
"104","2018-06-11",18.299999
"105","2018-06-12",18.58
"106","2018-06-13",18.15
"107","2018-06-14",18.190001
"108","2018-06-15",17.52
"109","2018-06-18",17.870001
"110","2018-06-19",17.950001
"111","2018-06-20",17.959999
"112","2018-06-21",17.68
"113","2018-06-22",18.08
"114","2018-06-25",17.58
"115","2018-06-26",17.959999
"116","2018-06-27",18.75
"117","2018-06-28",19.219999
"118","2018-06-29",18.719999
"119","2018-07-02",18.32
"120","2018-07-03",18.33
"121","2018-07-05",18.85
"122","2018-07-06",18.74
"123","2018-07-09",19.299999
"124","2018-07-10",19.049999
"125","2018-07-11",18.08
"126","2018-07-12",18.23
"127","2018-07-13",18.24
"128","2018-07-16",17.68
"129","2018-07-17",17.67
"130","2018-07-18",18.190001
"131","2018-07-19",18.27
