"","date","IPHA"
"1","2019-10-17",6.05
"2","2019-10-18",6.14
"3","2019-10-21",6.21
"4","2019-10-22",6.02
"5","2019-10-23",5.99
"6","2019-10-24",5.97
"7","2019-10-25",5.66
"8","2019-10-28",5.99
"9","2019-10-29",6
"10","2019-10-30",5.93
"11","2019-10-31",5.95
"12","2019-11-01",6.03
"13","2019-11-04",6
"14","2019-11-05",6.24
"15","2019-11-06",6.38
"16","2019-11-07",6.52
"17","2019-11-08",6.31
"18","2019-11-11",6.55
"19","2019-11-12",6.48
"20","2019-11-13",6.28
"21","2019-11-14",6.05
"22","2019-11-15",6.03
"23","2019-11-18",5.76
"24","2019-11-19",6.29
"25","2019-11-20",6
"26","2019-11-21",5.81
"27","2019-11-22",5.96
"28","2019-11-25",5.96
"29","2019-11-26",6.25
"30","2019-11-27",6.37
"31","2019-11-29",6.285
"32","2019-12-02",6.15
"33","2019-12-03",6.2
"34","2019-12-04",6.15
"35","2019-12-05",6.27
"36","2019-12-06",6.2
"37","2019-12-09",6.01
"38","2019-12-10",6.14
"39","2019-12-11",6.14
"40","2019-12-12",6.2
"41","2019-12-13",5.93
"42","2019-12-16",5.991
"43","2019-12-17",5.98
"44","2019-12-18",6.19
"45","2019-12-19",6.06
"46","2019-12-20",6.42
"47","2019-12-23",6.26
"48","2019-12-24",6.26
"49","2019-12-26",6.23
"50","2019-12-27",6.5
"51","2019-12-30",6.43
"52","2019-12-31",6.44
"53","2020-01-02",7.3
"54","2020-01-03",7.17
"55","2020-01-06",7.38
"56","2020-01-07",7.46
"57","2020-01-08",7.61
"58","2020-01-09",6.85
"59","2020-01-10",6.95
"60","2020-01-13",6.86
"61","2020-01-14",7
"62","2020-01-15",7.11
"63","2020-01-16",7.27
"64","2020-01-17",7.605
"65","2020-01-21",7.51
"66","2020-01-22",7.6
"67","2020-01-23",7.68
"68","2020-01-24",7.28
"69","2020-01-27",7.01
"70","2020-01-28",7.177
"71","2020-01-29",7.132
"72","2020-01-30",6.9
"73","2020-01-31",7.02
"74","2020-02-03",7.044
"75","2020-02-04",7.208
"76","2020-02-05",7.25
