"","date","WINA"
"1","2007-01-03",19.879999
"2","2007-01-04",19.84
"3","2007-01-05",19.139999
"4","2007-01-08",19
"5","2007-01-09",18.99
"6","2007-01-10",19.09
"7","2007-01-11",19.139999
"8","2007-01-12",19
"9","2007-01-16",19
"10","2007-01-17",18.67
"11","2007-01-18",18.67
"12","2007-01-19",18.35
"13","2007-01-22",18.5
"14","2007-01-23",18.5
"15","2007-01-24",18.5
"16","2007-01-25",18.610001
"17","2007-01-26",18.6
"18","2007-01-29",18.6
"19","2007-01-30",18.6
"20","2007-01-31",18.450001
"21","2007-02-01",18.59
"22","2007-02-02",18.459999
"23","2007-02-05",18.459999
"24","2007-02-06",18.459999
"25","2007-02-07",18.209999
"26","2007-02-08",18.5
"27","2007-02-09",18.83
"28","2007-02-12",18.75
"29","2007-02-13",18.75
"30","2007-02-14",18.75
"31","2007-02-15",18.27
"32","2007-02-16",18.6
"33","2007-02-20",17.73
"34","2007-02-21",17.700001
"35","2007-02-22",17.959999
"36","2007-02-23",17.969999
"37","2007-02-26",17.969999
"38","2007-02-27",17.370001
"39","2007-02-28",17.540001
"40","2007-03-01",17.540001
"41","2007-03-02",17.25
"42","2007-03-05",17
"43","2007-03-06",17
"44","2007-03-07",17.1
"45","2007-03-08",17.1
"46","2007-03-09",17.01
"47","2007-03-12",16.309999
"48","2007-03-13",16.129999
"49","2007-03-14",16.51
"50","2007-03-15",17
"51","2007-03-16",18.309999
"52","2007-03-19",18.5
"53","2007-03-20",18.559999
"54","2007-03-21",18.969999
"55","2007-03-22",18.610001
"56","2007-03-23",18.559999
"57","2007-03-26",18.57
"58","2007-03-27",18.91
"59","2007-03-28",18.91
"60","2007-03-29",19.450001
"61","2007-03-30",19.110001
"62","2007-04-02",19.280001
"63","2007-04-03",19
"64","2007-04-04",19
"65","2007-04-05",19
"66","2007-04-09",19
"67","2007-04-10",19.690001
"68","2007-04-11",19.15
"69","2007-04-12",19.02
"70","2007-04-13",19.01
"71","2007-04-16",19
"72","2007-04-17",19
"73","2007-04-18",18.549999
"74","2007-04-19",18.85
"75","2007-04-20",18.98
"76","2007-04-23",18.620001
"77","2007-04-24",18.65
"78","2007-04-25",18.799999
"79","2007-04-26",18.549999
"80","2007-04-27",18
"81","2007-04-30",17.43
"82","2007-05-01",17.5
"83","2007-05-02",17.530001
"84","2007-05-03",18.26
"85","2007-05-04",18.25
"86","2007-05-07",18.17
"87","2007-05-08",17.76
"88","2007-05-09",17.76
"89","2007-05-10",17.76
"90","2007-05-11",17.93
"91","2007-05-14",17.93
"92","2007-05-15",18.25
"93","2007-05-16",18.25
"94","2007-05-17",18.25
"95","2007-05-18",18.25
"96","2007-05-21",18.25
"97","2007-05-22",18.26
"98","2007-05-23",18.25
"99","2007-05-24",18.290001
"100","2007-05-25",18.25
"101","2007-05-29",18.25
"102","2007-05-30",18.25
"103","2007-05-31",18.5
"104","2007-06-01",18.25
"105","2007-06-04",18.030001
"106","2007-06-05",18.18
"107","2007-06-06",18.02
"108","2007-06-07",18
"109","2007-06-08",18
"110","2007-06-11",18
"111","2007-06-12",18
"112","2007-06-13",18
"113","2007-06-14",18.25
"114","2007-06-15",18.459999
"115","2007-06-18",18.9
"116","2007-06-19",18.74
"117","2007-06-20",19.049999
"118","2007-06-21",19.059999
"119","2007-06-22",19.049999
"120","2007-06-25",19.08
"121","2007-06-26",19.1
"122","2007-06-27",19.139999
"123","2007-06-28",19.309999
"124","2007-06-29",19.26
"125","2007-07-02",19
"126","2007-07-03",19
"127","2007-07-05",19.049999
"128","2007-07-06",19.09
"129","2007-07-09",19.620001
"130","2007-07-10",19.780001
"131","2007-07-11",19.82
"132","2007-07-12",18.75
"133","2007-07-13",19.860001
"134","2007-07-16",19.610001
"135","2007-07-17",19.74
"136","2007-07-18",19.74
"137","2007-07-19",19.790001
"138","2007-07-20",19.700001
"139","2007-07-23",19.700001
