"","date","RLGY"
"1","2012-10-11",34.200001
"2","2012-10-12",33.599998
"3","2012-10-15",33.5
"4","2012-10-16",35.740002
"5","2012-10-17",37.490002
"6","2012-10-18",36.200001
"7","2012-10-19",36.900002
"8","2012-10-22",37.130001
"9","2012-10-23",35.650002
"10","2012-10-24",36
"11","2012-10-25",35.049999
"12","2012-10-26",34.66
"13","2012-10-31",35.540001
"14","2012-11-01",35.959999
"15","2012-11-02",37.740002
"16","2012-11-05",38.900002
"17","2012-11-06",39.360001
"18","2012-11-07",39.279999
"19","2012-11-08",38.720001
"20","2012-11-09",37.82
"21","2012-11-12",37.049999
"22","2012-11-13",36.5
"23","2012-11-14",35.459999
"24","2012-11-15",34.740002
"25","2012-11-16",35.5
"26","2012-11-19",37.060001
"27","2012-11-20",36.700001
"28","2012-11-21",36.18
"29","2012-11-23",36.5
"30","2012-11-26",36.290001
"31","2012-11-27",36.41
"32","2012-11-28",36.720001
"33","2012-11-29",37.310001
"34","2012-11-30",37.709999
"35","2012-12-03",37.720001
"36","2012-12-04",37.75
"37","2012-12-05",36.950001
"38","2012-12-06",36.939999
"39","2012-12-07",37.720001
"40","2012-12-10",37.599998
"41","2012-12-11",37.23
"42","2012-12-12",37.709999
"43","2012-12-13",38
"44","2012-12-14",38.610001
"45","2012-12-17",39.189999
"46","2012-12-18",40.16
"47","2012-12-19",40.130001
"48","2012-12-20",40.41
"49","2012-12-21",41.32
"50","2012-12-24",41.360001
"51","2012-12-26",41.200001
"52","2012-12-27",42.029999
"53","2012-12-28",41.740002
"54","2012-12-31",41.959999
"55","2013-01-02",41.380001
"56","2013-01-03",41.939999
"57","2013-01-04",41.830002
"58","2013-01-07",41.400002
"59","2013-01-08",41.439999
"60","2013-01-09",42.700001
"61","2013-01-10",41.970001
"62","2013-01-11",41.630001
"63","2013-01-14",41.84
"64","2013-01-15",42.150002
"65","2013-01-16",42.169998
"66","2013-01-17",42.43
"67","2013-01-18",43.59
"68","2013-01-22",44.279999
"69","2013-01-23",44.84
"70","2013-01-24",44.299999
"71","2013-01-25",44.540001
"72","2013-01-28",44.68
"73","2013-01-29",45.509998
"74","2013-01-30",45.200001
"75","2013-01-31",44.77
"76","2013-02-01",45.990002
"77","2013-02-04",45.75
"78","2013-02-05",44.860001
"79","2013-02-06",45.75
"80","2013-02-07",45.470001
"81","2013-02-08",45
"82","2013-02-11",44.209999
"83","2013-02-12",45.310001
"84","2013-02-13",46.48
"85","2013-02-14",45.419998
"86","2013-02-15",44.220001
"87","2013-02-19",45.57
"88","2013-02-20",44.099998
"89","2013-02-21",43.049999
"90","2013-02-22",44.240002
"91","2013-02-25",42.860001
"92","2013-02-26",42.810001
"93","2013-02-27",43.91
"94","2013-02-28",44.849998
"95","2013-03-01",46.150002
"96","2013-03-04",45.970001
"97","2013-03-05",47.400002
"98","2013-03-06",47.25
"99","2013-03-07",46.75
"100","2013-03-08",47.509998
"101","2013-03-11",47.43
"102","2013-03-12",46.700001
"103","2013-03-13",46.889999
"104","2013-03-14",46.709999
"105","2013-03-15",47.700001
"106","2013-03-18",47.970001
"107","2013-03-19",49.330002
"108","2013-03-20",49.380001
"109","2013-03-21",48.200001
"110","2013-03-22",48.779999
"111","2013-03-25",49.799999
"112","2013-03-26",48.950001
"113","2013-03-27",49
