"","date","ORGS"
"1","2012-03-13",18
"2","2012-03-14",19.08
"3","2012-03-15",19.799999
"4","2012-03-16",19.799999
"5","2012-03-19",19.559999
"6","2012-03-20",19.559999
"7","2012-03-21",19.200001
"8","2012-03-22",17.040001
"9","2012-03-23",17.879999
"10","2012-03-26",17.639999
"11","2012-03-27",17.879999
"12","2012-03-28",16.799999
"13","2012-03-29",17.4
"14","2012-03-30",16.799999
"15","2012-04-02",17.4
"16","2012-04-03",17.4
"17","2012-04-04",17.4
"18","2012-04-05",17.280001
"19","2012-04-09",15.96
"20","2012-04-10",15.84
"21","2012-04-11",17.4
"22","2012-04-12",16.799999
"23","2012-04-13",15.84
"24","2012-04-16",15.6
"25","2012-04-17",13.8
"26","2012-04-18",12.72
"27","2012-04-19",11.28
"28","2012-04-20",15.12
"29","2012-04-23",14.4
"30","2012-04-24",13.68
"31","2012-04-25",12.6
"32","2012-04-26",14.28
"33","2012-04-27",12.6
"34","2012-04-30",12.36
"35","2012-05-01",15
"36","2012-05-02",14.4
"37","2012-05-03",13.68
"38","2012-05-04",13.2
"39","2012-05-07",12
"40","2012-05-08",11.76
"41","2012-05-09",11.52
"42","2012-05-10",12.12
"43","2012-05-11",9.84
"44","2012-05-14",12
"45","2012-05-15",12.6
"46","2012-05-16",10.8
"47","2012-05-17",11.52
"48","2012-05-18",10.2
"49","2012-05-21",10.2
"50","2012-05-22",11.04
"51","2012-05-23",11.64
"52","2012-05-24",10.2
"53","2012-05-25",10.8
"54","2012-05-29",10.8
"55","2012-05-30",10.8
"56","2012-05-31",10.8
"57","2012-06-01",10.2
"58","2012-06-04",10.2
"59","2012-06-05",10.56
"60","2012-06-06",10.2
"61","2012-06-07",10.56
"62","2012-06-08",10.56
"63","2012-06-11",9.84
"64","2012-06-12",9.6
"65","2012-06-13",9.84
"66","2012-06-14",9.84
"67","2012-06-15",10.32
"68","2012-06-18",9
"69","2012-06-19",7.8
"70","2012-06-20",8.4
"71","2012-06-21",6.6
"72","2012-06-22",9.84
"73","2012-06-25",9.84
"74","2012-06-26",7.2
"75","2012-06-27",7.2
"76","2012-06-28",6.6
"77","2012-06-29",7.92
"78","2012-07-02",9.6
"79","2012-07-03",10.2
