"","date","QLGN"
"1","2015-06-23",1250
"2","2015-06-24",1240
"3","2015-06-25",1195
"4","2015-06-26",1172.5
"5","2015-06-29",1102.5
"6","2015-06-30",1112.5
"7","2015-07-01",1145
"8","2015-07-02",1125
"9","2015-07-06",1105
"10","2015-07-07",1120
"11","2015-07-08",1085
"12","2015-07-09",1085
"13","2015-07-10",1072.5
"14","2015-07-13",1025
"15","2015-07-14",1000
"16","2015-07-15",985
"17","2015-07-16",922.5
"18","2015-07-17",962.5
"19","2015-07-20",882.5
"20","2015-07-21",847.5
"21","2015-07-22",887.5
"22","2015-07-23",1102.5
"23","2015-07-24",1040
"24","2015-07-27",987.5
"25","2015-07-28",962.5
"26","2015-07-29",1000
"27","2015-07-30",922.5
"28","2015-07-31",917.5
"29","2015-08-03",962.5
"30","2015-08-04",967.5
"31","2015-08-05",897.5
"32","2015-08-06",850
"33","2015-08-07",861.25
"34","2015-08-10",892.5
"35","2015-08-11",890
"36","2015-08-12",807.5
"37","2015-08-13",767.5
"38","2015-08-14",795
"39","2015-08-17",877.5
"40","2015-08-18",822.5
"41","2015-08-19",737.5
"42","2015-08-20",727.5
"43","2015-08-21",675
"44","2015-08-24",692.5
"45","2015-08-25",725
"46","2015-08-26",770
"47","2015-08-27",715
"48","2015-08-28",807.5
"49","2015-08-31",822.5
"50","2015-09-01",780
"51","2015-09-02",807.5
"52","2015-09-03",842.5
"53","2015-09-04",825
"54","2015-09-08",807.5
"55","2015-09-09",825
"56","2015-09-10",835
"57","2015-09-11",845
"58","2015-09-14",840
"59","2015-09-15",797.5
"60","2015-09-16",825
"61","2015-09-17",787.5
"62","2015-09-18",625
"63","2015-09-21",746.25
"64","2015-09-22",750
"65","2015-09-23",740
"66","2015-09-24",725
"67","2015-09-25",670
"68","2015-09-28",625
"69","2015-09-29",520
"70","2015-09-30",512.5
"71","2015-10-01",550
"72","2015-10-02",600
"73","2015-10-05",612.5
"74","2015-10-06",607.5
"75","2015-10-07",597.5
"76","2015-10-08",605
"77","2015-10-09",613.5
"78","2015-10-12",617.5
"79","2015-10-13",562.5
"80","2015-10-14",567.5
"81","2015-10-15",607.5
"82","2015-10-16",647.5
"83","2015-10-19",612.5
"84","2015-10-20",572.5
"85","2015-10-21",607.5
"86","2015-10-22",593.25
"87","2015-10-23",627.5
"88","2015-10-26",613.5
"89","2015-10-27",570
"90","2015-10-28",600
"91","2015-10-29",585
"92","2015-10-30",590
"93","2015-11-02",575
"94","2015-11-03",570
"95","2015-11-04",537.5
"96","2015-11-05",560.5
"97","2015-11-06",575
"98","2015-11-09",587.5
"99","2015-11-10",560
"100","2015-11-11",560
"101","2015-11-12",555
"102","2015-11-13",555
"103","2015-11-16",587.5
"104","2015-11-17",580
"105","2015-11-18",552.5
"106","2015-11-19",595
"107","2015-11-20",580
"108","2015-11-23",559
"109","2015-11-24",545
"110","2015-11-25",567.5
"111","2015-11-27",562.5
"112","2015-11-30",545
"113","2015-12-01",550
"114","2015-12-02",587.5
"115","2015-12-03",567.5
"116","2015-12-04",565
"117","2015-12-07",550
"118","2015-12-08",550
"119","2015-12-09",542.5
"120","2015-12-10",540
"121","2015-12-11",497.5
"122","2015-12-14",402.5
"123","2015-12-15",422.5
"124","2015-12-16",437.5
"125","2015-12-17",417.5
"126","2015-12-18",447.5
"127","2015-12-21",530
"128","2015-12-22",490
"129","2015-12-23",500
"130","2015-12-24",475
"131","2015-12-28",442.5
"132","2015-12-29",447.5
"133","2015-12-30",437.5
"134","2015-12-31",425
"135","2016-01-04",407.5
"136","2016-01-05",410
"137","2016-01-06",372.5
"138","2016-01-07",380
"139","2016-01-08",390
"140","2016-01-11",342.5
"141","2016-01-12",350
"142","2016-01-13",335
"143","2016-01-14",337.5
"144","2016-01-15",332.5
"145","2016-01-19",362.5
"146","2016-01-20",320
"147","2016-01-21",340
"148","2016-01-22",340
"149","2016-01-25",342.5
