"","date","SXT"
"1","2007-01-03",25.030001
"2","2007-01-04",24.77
"3","2007-01-05",24.52
"4","2007-01-08",24.41
"5","2007-01-09",24.629999
"6","2007-01-10",24.48
"7","2007-01-11",24.85
"8","2007-01-12",24.799999
"9","2007-01-16",24.85
"10","2007-01-17",24.780001
"11","2007-01-18",24.6
"12","2007-01-19",24.5
"13","2007-01-22",24.35
"14","2007-01-23",24.450001
"15","2007-01-24",24.5
"16","2007-01-25",24.139999
"17","2007-01-26",24.299999
"18","2007-01-29",24.6
"19","2007-01-30",24.66
"20","2007-01-31",24.68
"21","2007-02-01",25.120001
"22","2007-02-02",25
"23","2007-02-05",24.67
"24","2007-02-06",25.030001
"25","2007-02-07",24.6
"26","2007-02-08",24.450001
"27","2007-02-09",24.559999
"28","2007-02-12",25.57
"29","2007-02-13",25.24
"30","2007-02-14",25.219999
"31","2007-02-15",25.360001
"32","2007-02-16",25.139999
"33","2007-02-20",25.48
"34","2007-02-21",25.620001
"35","2007-02-22",25.549999
"36","2007-02-23",25.6
"37","2007-02-26",25.43
"38","2007-02-27",24.5
"39","2007-02-28",24.49
"40","2007-03-01",24.700001
"41","2007-03-02",24.120001
"42","2007-03-05",23.83
"43","2007-03-06",24.129999
"44","2007-03-07",24
"45","2007-03-08",24.1
"46","2007-03-09",24.25
"47","2007-03-12",24.57
"48","2007-03-13",24.280001
"49","2007-03-14",24.42
"50","2007-03-15",24.809999
"51","2007-03-16",24.48
"52","2007-03-19",24.799999
"53","2007-03-20",24.950001
"54","2007-03-21",25.33
"55","2007-03-22",25.73
"56","2007-03-23",25.639999
"57","2007-03-26",26.059999
"58","2007-03-27",25.690001
"59","2007-03-28",25.84
"60","2007-03-29",25.870001
"61","2007-03-30",25.780001
"62","2007-04-02",26.360001
"63","2007-04-03",26.83
"64","2007-04-04",26.469999
"65","2007-04-05",26.52
"66","2007-04-09",26.540001
"67","2007-04-10",26.83
"68","2007-04-11",26.790001
"69","2007-04-12",27.07
"70","2007-04-13",27.040001
"71","2007-04-16",27.110001
"72","2007-04-17",27.02
"73","2007-04-18",26.91
"74","2007-04-19",26.950001
"75","2007-04-20",28
"76","2007-04-23",26.99
"77","2007-04-24",26.98
"78","2007-04-25",26.940001
"79","2007-04-26",26.75
"80","2007-04-27",26.5
"81","2007-04-30",26.18
"82","2007-05-01",26.120001
"83","2007-05-02",26.43
"84","2007-05-03",26.35
"85","2007-05-04",26.43
"86","2007-05-07",26.540001
"87","2007-05-08",26.219999
"88","2007-05-09",26.139999
"89","2007-05-10",25.52
"90","2007-05-11",25.75
"91","2007-05-14",25.85
"92","2007-05-15",25.9
"93","2007-05-16",26.200001
"94","2007-05-17",25.98
"95","2007-05-18",26.209999
"96","2007-05-21",26.299999
"97","2007-05-22",26.530001
"98","2007-05-23",26.389999
"99","2007-05-24",25.84
"100","2007-05-25",26.09
"101","2007-05-29",26.09
"102","2007-05-30",26.24
"103","2007-05-31",26.040001
"104","2007-06-01",26.450001
"105","2007-06-04",26.559999
"106","2007-06-05",26.379999
"107","2007-06-06",26.33
"108","2007-06-07",25.85
"109","2007-06-08",26.27
"110","2007-06-11",26.370001
"111","2007-06-12",26
"112","2007-06-13",26.209999
"113","2007-06-14",26.18
"114","2007-06-15",26.299999
"115","2007-06-18",26.09
"116","2007-06-19",25.889999
"117","2007-06-20",25.42
"118","2007-06-21",25.84
"119","2007-06-22",25.66
"120","2007-06-25",25.549999
"121","2007-06-26",25.33
"122","2007-06-27",25.43
"123","2007-06-28",25.379999
"124","2007-06-29",25.389999
"125","2007-07-02",25.780001
"126","2007-07-03",26.030001
"127","2007-07-05",25.799999
"128","2007-07-06",25.780001
"129","2007-07-09",26.139999
"130","2007-07-10",26.01
"131","2007-07-11",26.01
"132","2007-07-12",26.77
"133","2007-07-13",26.959999
"134","2007-07-16",27.35
"135","2007-07-17",26.98
"136","2007-07-18",27.030001
"137","2007-07-19",27.16
"138","2007-07-20",26.75
"139","2007-07-23",27.26
"140","2007-07-24",26.290001
"141","2007-07-25",26.24
"142","2007-07-26",25.27
"143","2007-07-27",24.26
"144","2007-07-30",24.57
