"","date","NC"
"1","2007-01-03",10.322596
"2","2007-01-04",10.422262
"3","2007-01-05",9.98313
"4","2007-01-08",9.983879
"5","2007-01-09",9.924679
"6","2007-01-10",10.027343
"7","2007-01-11",10.435001
"8","2007-01-12",10.444743
"9","2007-01-16",10.243912
"10","2007-01-17",10.026593
"11","2007-01-18",10.007859
"12","2007-01-19",10.196701
"13","2007-01-22",9.966644
"14","2007-01-23",10.135252
"15","2007-01-24",10.330838
"16","2007-01-25",10.070807
"17","2007-01-26",10.260398
"18","2007-01-29",10.463477
"19","2007-01-30",10.667306
"20","2007-01-31",10.824675
"21","2007-02-01",11.030751
"22","2007-02-02",10.901111
"23","2007-02-05",10.73475
"24","2007-02-06",10.533169
"25","2007-02-07",10.93783
"26","2007-02-08",10.802942
"27","2007-02-09",10.678547
"28","2007-02-12",10.611103
"29","2007-02-13",10.635083
"30","2007-02-14",10.851652
"31","2007-02-15",10.874883
"32","2007-02-16",10.714517
"33","2007-02-20",10.742993
"34","2007-02-21",10.863642
"35","2007-02-22",11.011268
"36","2007-02-23",10.659063
"37","2007-02-26",10.406525
"38","2007-02-27",9.715604
"39","2007-02-28",9.624181
"40","2007-03-01",10.732502
"41","2007-03-02",10.342079
"42","2007-03-05",10.326343
"43","2007-03-06",10.707023
"44","2007-03-07",10.378798
"45","2007-03-08",10.201946
"46","2007-03-09",10.228924
"47","2007-03-12",10.283628
"48","2007-03-13",10.023596
"49","2007-03-14",9.941915
"50","2007-03-15",10.031839
"51","2007-03-16",9.914187
"52","2007-03-19",10.050573
"53","2007-03-20",10.216934
"54","2007-03-21",10.559397
"55","2007-03-22",10.582627
"56","2007-03-23",10.369057
"57","2007-03-26",10.530171
"58","2007-03-27",10.249907
"59","2007-03-28",10.097784
"60","2007-03-29",10.053571
"61","2007-03-30",10.297116
"62","2007-04-02",10.641078
"63","2007-04-03",11.268303
"64","2007-04-04",11.212849
"65","2007-04-05",11.340992
"66","2007-04-09",11.346987
"67","2007-04-10",11.445154
"68","2007-04-11",11.355229
"69","2007-04-12",11.587535
"70","2007-04-13",11.727668
"71","2007-04-16",12.091862
"72","2007-04-17",12.205767
"73","2007-04-18",12.071629
"74","2007-04-19",12.151812
"75","2007-04-20",12.304684
"76","2007-04-23",12.649395
"77","2007-04-24",12.364634
"78","2007-04-25",12.722833
"79","2007-04-26",12.710093
"80","2007-04-27",12.282951
"81","2007-04-30",11.943486
"82","2007-05-01",11.91501
"83","2007-05-02",11.778625
"84","2007-05-03",12.028166
"85","2007-05-04",12.067133
"86","2007-05-07",11.935992
"87","2007-05-08",11.870048
"88","2007-05-09",12.183286
"89","2007-05-10",11.655727
"90","2007-05-11",11.864053
"91","2007-05-14",11.932246
"92","2007-05-15",11.660224
"93","2007-05-16",11.919506
"94","2007-05-17",11.887283
"95","2007-05-18",12.193776
"96","2007-05-21",12.336906
"97","2007-05-22",12.596938
"98","2007-05-23",12.882449
"99","2007-05-24",12.653891
"100","2007-05-25",12.835988
"101","2007-05-29",13.041316
"102","2007-05-30",12.814257
"103","2007-05-31",12.739319
"104","2007-06-01",12.680119
"105","2007-06-04",12.677871
"106","2007-06-05",12.32042
"107","2007-06-06",12.054394
"108","2007-06-07",11.756893
"109","2007-06-08",11.913511
"110","2007-06-11",11.912013
"111","2007-06-12",11.660224
"112","2007-06-13",12.073128
"113","2007-06-14",12.08137
"114","2007-06-15",12.462801
"115","2007-06-18",12.191528
"116","2007-06-19",12.565465
"117","2007-06-20",11.906018
"118","2007-06-21",12.17729
"119","2007-06-22",11.828083
"120","2007-06-25",11.587535
"121","2007-06-26",11.597277
"122","2007-06-27",11.718675
"123","2007-06-28",11.689449
"124","2007-06-29",11.65198
"125","2007-07-02",11.996692
"126","2007-07-03",11.958474
"127","2007-07-05",11.720923
"128","2007-07-06",11.989198
"129","2007-07-09",12.155559
"130","2007-07-10",11.754644
"131","2007-07-11",11.660224
"132","2007-07-12",11.894777
"133","2007-07-13",11.853561
"134","2007-07-16",11.625004
"135","2007-07-17",11.631748
"136","2007-07-18",11.664721
"137","2007-07-19",11.604021
"138","2007-07-20",11.233831
"139","2007-07-23",11.267553
"140","2007-07-24",10.828422
"141","2007-07-25",10.591619
"142","2007-07-26",10.206443
"143","2007-07-27",9.706612
"144","2007-07-30",9.81677
"145","2007-07-31",9.855737
"146","2007-08-01",10.174969
"147","2007-08-02",9.929175
"148","2007-08-03",8.67098
"149","2007-08-06",9.086132
"150","2007-08-07",8.385469
"151","2007-08-08",8.464903
"152","2007-08-09",7.84817
"153","2007-08-10",8.649248
"154","2007-08-13",8.954243
"155","2007-08-14",8.580306
"156","2007-08-15",8.168152
"157","2007-08-16",8.730181
"158","2007-08-17",9.233009
"159","2007-08-20",9.057656
"160","2007-08-21",9.067398
"161","2007-08-22",9.527512
"162","2007-08-23",9.240502
"163","2007-08-24",9.630925
"164","2007-08-27",9.348413
"165","2007-08-28",8.576559
"166","2007-08-29",8.790131
"167","2007-08-30",8.769897
"168","2007-08-31",8.877807
"169","2007-09-04",8.715193
"170","2007-09-05",8.332264
"171","2007-09-06",8.258825
"172","2007-09-07",8.081224
"173","2007-09-10",7.753
"174","2007-09-11",7.906621
"175","2007-09-12",7.735015
"176","2007-09-13",7.489221
"177","2007-09-14",7.497464
"178","2007-09-17",7.339346
"179","2007-09-18",7.41878
"180","2007-09-19",8.180891
