"","date","DHI"
"1","2007-01-03",26.040001
"2","2007-01-04",25.98
"3","2007-01-05",25.84
"4","2007-01-08",25.389999
"5","2007-01-09",25.469999
"6","2007-01-10",25.43
"7","2007-01-11",25.969999
"8","2007-01-12",26.4
"9","2007-01-16",26.35
"10","2007-01-17",26.969999
"11","2007-01-18",27.09
"12","2007-01-19",27.530001
"13","2007-01-22",27.129999
"14","2007-01-23",28.370001
"15","2007-01-24",28.75
"16","2007-01-25",28.25
"17","2007-01-26",27.82
"18","2007-01-29",27.9
"19","2007-01-30",27.82
"20","2007-01-31",29.059999
"21","2007-02-01",29.9
"22","2007-02-02",30.860001
"23","2007-02-05",30.35
"24","2007-02-06",29.969999
"25","2007-02-07",29.639999
"26","2007-02-08",28.65
"27","2007-02-09",28.049999
"28","2007-02-12",27.33
"29","2007-02-13",27.860001
"30","2007-02-14",28.18
"31","2007-02-15",28.290001
"32","2007-02-16",28.209999
"33","2007-02-20",28.469999
"34","2007-02-21",28.08
"35","2007-02-22",27.32
"36","2007-02-23",27.02
"37","2007-02-26",26.83
"38","2007-02-27",25.709999
"39","2007-02-28",25.360001
"40","2007-03-01",25.67
"41","2007-03-02",25.309999
"42","2007-03-05",24.25
"43","2007-03-06",24.559999
"44","2007-03-07",24.549999
"45","2007-03-08",24.780001
"46","2007-03-09",24.42
"47","2007-03-12",23.17
"48","2007-03-13",22.309999
"49","2007-03-14",22.799999
"50","2007-03-15",22.950001
"51","2007-03-16",22.83
"52","2007-03-19",22.870001
"53","2007-03-20",22.85
"54","2007-03-21",23.629999
"55","2007-03-22",23.52
"56","2007-03-23",23.32
"57","2007-03-26",22.790001
"58","2007-03-27",22.48
"59","2007-03-28",22.049999
"60","2007-03-29",22.08
"61","2007-03-30",22
"62","2007-04-02",21.67
"63","2007-04-03",21.790001
"64","2007-04-04",21.620001
"65","2007-04-05",22.01
"66","2007-04-09",22.040001
"67","2007-04-10",21.700001
"68","2007-04-11",21.33
"69","2007-04-12",21.870001
"70","2007-04-13",21.469999
"71","2007-04-16",21.68
"72","2007-04-17",22.450001
"73","2007-04-18",23.040001
"74","2007-04-19",22.98
"75","2007-04-20",23.389999
"76","2007-04-23",22.59
"77","2007-04-24",22.530001
"78","2007-04-25",22.65
"79","2007-04-26",23.49
"80","2007-04-27",22.92
"81","2007-04-30",22.18
"82","2007-05-01",22.65
"83","2007-05-02",22.74
"84","2007-05-03",22.77
"85","2007-05-04",22.41
"86","2007-05-07",22.52
"87","2007-05-08",22.530001
"88","2007-05-09",22.549999
"89","2007-05-10",22.049999
