"","date","VRM"
"1","2020-06-09",47.900002
"2","2020-06-10",49.990002
"3","2020-06-11",45.599998
"4","2020-06-12",43.029999
"5","2020-06-15",43
"6","2020-06-16",42.099998
"7","2020-06-17",43.360001
"8","2020-06-18",45.560001
"9","2020-06-19",47.509998
"10","2020-06-22",50.57
"11","2020-06-23",50.490002
"12","2020-06-24",47.689999
"13","2020-06-25",57.540001
"14","2020-06-26",54.099998
"15","2020-06-29",55.009998
"16","2020-06-30",52.139999
"17","2020-07-01",54.189999
"18","2020-07-02",54.299999
"19","2020-07-06",55.84
"20","2020-07-07",52.119999
"21","2020-07-08",50.240002
"22","2020-07-09",48.950001
"23","2020-07-10",49.259998
"24","2020-07-13",44.939999
"25","2020-07-14",44.189999
"26","2020-07-15",46.689999
"27","2020-07-16",44.040001
"28","2020-07-17",46.700001
"29","2020-07-20",49.669998
"30","2020-07-21",48.709999
"31","2020-07-22",49.02
"32","2020-07-23",50.220001
"33","2020-07-24",49
"34","2020-07-27",50.650002
"35","2020-07-28",50.279999
"36","2020-07-29",55
"37","2020-07-30",56.220001
"38","2020-07-31",59.189999
"39","2020-08-03",59.419998
"40","2020-08-04",59.41
"41","2020-08-05",63.349998
"42","2020-08-06",67.510002
"43","2020-08-07",63.970001
"44","2020-08-10",64
"45","2020-08-11",64.760002
"46","2020-08-12",69.010002
"47","2020-08-13",56.369999
"48","2020-08-14",58.450001
"49","2020-08-17",58.32
"50","2020-08-18",59.880001
"51","2020-08-19",60.73
"52","2020-08-20",59.860001
"53","2020-08-21",62.130001
"54","2020-08-24",65.720001
"55","2020-08-25",65.360001
"56","2020-08-26",65.660004
"57","2020-08-27",66.139999
"58","2020-08-28",65.010002
"59","2020-08-31",68.629997
"60","2020-09-01",73.870003
"61","2020-09-02",68.870003
"62","2020-09-03",60.48
"63","2020-09-04",58.040001
"64","2020-09-08",56.23
"65","2020-09-09",57.200001
"66","2020-09-10",56.310001
"67","2020-09-11",51.220001
"68","2020-09-14",50.959999
"69","2020-09-15",53.07
"70","2020-09-16",50.389999
"71","2020-09-17",48.5
"72","2020-09-18",46.689999
"73","2020-09-21",46.43
"74","2020-09-22",53.259998
"75","2020-09-23",51.73
"76","2020-09-24",49.110001
"77","2020-09-25",49.529999
"78","2020-09-28",50.869999
"79","2020-09-29",51.959999
"80","2020-09-30",51.779999
"81","2020-10-01",51.450001
"82","2020-10-02",50.509998
"83","2020-10-05",51.099998
"84","2020-10-06",49.099998
"85","2020-10-07",50.91
"86","2020-10-08",49.650002
"87","2020-10-09",49.52
"88","2020-10-12",47.07
"89","2020-10-13",47.299999
"90","2020-10-14",48.98
"91","2020-10-15",48.82
"92","2020-10-16",48.389999
"93","2020-10-19",49.360001
"94","2020-10-20",49.860001
"95","2020-10-21",45.200001
"96","2020-10-22",45.09
"97","2020-10-23",46.099998
"98","2020-10-26",42.529999
"99","2020-10-27",43.099998
"100","2020-10-28",42.330002
"101","2020-10-29",40.360001
"102","2020-10-30",41.099998
"103","2020-11-02",38.709999
"104","2020-11-03",39.810001
"105","2020-11-04",40.790001
"106","2020-11-05",42.259998
"107","2020-11-06",42.91
"108","2020-11-09",38.200001
"109","2020-11-10",38.290001
"110","2020-11-11",40.799999
"111","2020-11-12",35.490002
"112","2020-11-13",36.23
"113","2020-11-16",33.560001
"114","2020-11-17",35.560001
"115","2020-11-18",35.77
"116","2020-11-19",36.709999
"117","2020-11-20",36.48
"118","2020-11-23",37.220001
"119","2020-11-24",37.119999
"120","2020-11-25",38.080002
"121","2020-11-27",37.43
