"","date","TIPT"
"1","2010-10-15",4.83
"2","2010-10-18",4.25
"3","2010-10-19",4.75
"4","2010-10-20",4.75
"5","2010-10-21",4.25
"6","2010-10-22",4.25
"7","2010-10-25",4.25
"8","2010-10-26",4.7
"9","2010-10-27",4.3
"10","2010-10-28",4.3
"11","2010-10-29",4.8
"12","2010-11-01",4.31
"13","2010-11-02",4.69
"14","2010-11-03",4.7
"15","2010-11-04",4.7
"16","2010-11-05",4.65
"17","2010-11-08",4.5
"18","2010-11-09",4.5
"19","2010-11-10",4.4
"20","2010-11-11",4.6
"21","2010-11-12",4.6
"22","2010-11-15",4.55
"23","2010-11-16",4.55
"24","2010-11-17",4.55
"25","2010-11-18",4.55
"26","2010-11-19",4.6
"27","2010-11-22",4.6
"28","2010-11-23",4.35
"29","2010-11-24",4.4
"30","2010-11-26",4.94
"31","2010-11-29",4.41
"32","2010-11-30",4.4
"33","2010-12-01",4.8
"34","2010-12-02",4.45
"35","2010-12-03",4.45
"36","2010-12-06",4.45
"37","2010-12-07",4.4
"38","2010-12-08",4.35
"39","2010-12-09",4.35
"40","2010-12-10",4.35
"41","2010-12-13",4.3
"42","2010-12-14",4.1
"43","2010-12-15",4.1
"44","2010-12-16",4.8
"45","2010-12-17",4.7
"46","2010-12-20",4.53
"47","2010-12-21",4.54
"48","2010-12-22",4.54
"49","2010-12-23",4.54
"50","2010-12-27",4.54
"51","2010-12-28",4.6
"52","2010-12-29",4.6
"53","2010-12-30",4.65
"54","2010-12-31",4.75
"55","2011-01-03",4.75
"56","2011-01-04",5.15
"57","2011-01-05",5.15
"58","2011-01-06",5.15
"59","2011-01-07",4.85
"60","2011-01-10",4.85
"61","2011-01-11",5
"62","2011-01-12",5
"63","2011-01-13",5
"64","2011-01-14",5
"65","2011-01-18",5
"66","2011-01-19",4.91
"67","2011-01-20",5.4
"68","2011-01-21",5
"69","2011-01-24",5.25
"70","2011-01-25",5.03
"71","2011-01-26",5.06
"72","2011-01-27",5.11
"73","2011-01-28",5.1
"74","2011-01-31",5.1
"75","2011-02-01",5.1
"76","2011-02-02",5.35
"77","2011-02-03",5.1
"78","2011-02-04",5.1
"79","2011-02-07",5.1
"80","2011-02-08",5.11
"81","2011-02-09",5.12
"82","2011-02-10",5.2
"83","2011-02-11",5.2
"84","2011-02-14",5.12
"85","2011-02-15",5.12
"86","2011-02-16",5.12
"87","2011-02-17",5.12
"88","2011-02-18",5.12
"89","2011-02-22",5.2
"90","2011-02-23",5.2
"91","2011-02-24",5.2
"92","2011-02-25",5.2
"93","2011-02-28",5.12
"94","2011-03-01",5.3
"95","2011-03-02",5.3
"96","2011-03-03",5.3
"97","2011-03-04",5.35
"98","2011-03-07",5.4
"99","2011-03-08",5.4
"100","2011-03-09",5.4
"101","2011-03-10",5.5
"102","2011-03-11",5.5
"103","2011-03-14",5.35
"104","2011-03-15",5.35
"105","2011-03-16",5.35
"106","2011-03-17",5.35
"107","2011-03-18",5.35
"108","2011-03-21",5.2
"109","2011-03-22",5.18
"110","2011-03-23",5.1
"111","2011-03-24",5.1
"112","2011-03-25",5.1
"113","2011-03-28",5.15
"114","2011-03-29",5.15
"115","2011-03-30",5.15
"116","2011-03-31",5.15
"117","2011-04-01",5.15
"118","2011-04-04",5.15
"119","2011-04-05",5.2
"120","2011-04-06",5.2
"121","2011-04-07",5.2
"122","2011-04-08",5.2
"123","2011-04-11",5.25
"124","2011-04-12",5.25
"125","2011-04-13",5.25
"126","2011-04-14",5.25
"127","2011-04-15",5.25
"128","2011-04-18",5.25
"129","2011-04-19",5.25
"130","2011-04-20",5.7
"131","2011-04-21",5.85
"132","2011-04-25",6
"133","2011-04-26",6.05
