"","date","CGRO"
"1","2020-06-29",9.8
"2","2020-06-30",9.82
"3","2020-07-01",9.9
"4","2020-07-02",9.92
"5","2020-07-06",9.92
"6","2020-07-07",9.92
"7","2020-07-08",9.98
"8","2020-07-09",9.96
"9","2020-07-10",9.98
"10","2020-07-13",9.95
"11","2020-07-14",9.868
"12","2020-07-15",9.92
"13","2020-07-16",9.98
"14","2020-07-17",10
"15","2020-07-20",9.94
"16","2020-07-21",9.95
"17","2020-07-22",9.928
"18","2020-07-23",9.9
"19","2020-07-24",9.975
"20","2020-07-27",9.91
"21","2020-07-28",9.88
"22","2020-07-29",9.975
"23","2020-07-30",9.95
"24","2020-07-31",9.85
"25","2020-08-03",9.873
"26","2020-08-04",9.9
"27","2020-08-05",9.875
"28","2020-08-06",9.875
"29","2020-08-07",9.86
"30","2020-08-10",9.96
"31","2020-08-11",9.98
"32","2020-08-12",9.98
"33","2020-08-13",9.835
"34","2020-08-14",9.82
"35","2020-08-17",9.87
"36","2020-08-18",9.84
"37","2020-08-19",9.8
"38","2020-08-20",9.82
"39","2020-08-21",9.84
"40","2020-08-24",9.85
"41","2020-08-25",9.84
"42","2020-08-26",9.85
"43","2020-08-27",9.825
"44","2020-08-28",9.85
"45","2020-08-31",9.83
"46","2020-09-01",9.85
"47","2020-09-02",9.825
"48","2020-09-03",9.82
"49","2020-09-04",9.8
"50","2020-09-08",9.81
"51","2020-09-09",9.85
"52","2020-09-10",9.84
"53","2020-09-11",9.79
"54","2020-09-14",9.85
"55","2020-09-15",9.84
"56","2020-09-16",9.865
"57","2020-09-17",9.86
"58","2020-09-18",9.77
"59","2020-09-21",9.88
"60","2020-09-22",9.762
"61","2020-09-23",9.8
"62","2020-09-24",9.775
"63","2020-09-25",9.81
"64","2020-09-28",9.83
"65","2020-09-29",9.81
"66","2020-09-30",9.86
"67","2020-10-01",9.9
"68","2020-10-02",9.895
"69","2020-10-05",9.78
"70","2020-10-06",9.78
"71","2020-10-07",9.77
"72","2020-10-08",9.76
"73","2020-10-09",9.8
"74","2020-10-12",9.776
"75","2020-10-13",9.82
"76","2020-10-14",9.78
"77","2020-10-15",9.75
"78","2020-10-16",9.755
"79","2020-10-19",9.77
"80","2020-10-20",9.7
"81","2020-10-21",9.7
"82","2020-10-22",9.75
"83","2020-10-23",9.73
"84","2020-10-26",9.73
"85","2020-10-27",9.745
"86","2020-10-28",9.735
"87","2020-10-29",9.83
"88","2020-10-30",9.785
"89","2020-11-02",9.72
"90","2020-11-03",9.74
"91","2020-11-04",9.77
"92","2020-11-05",9.76
"93","2020-11-06",9.765
"94","2020-11-09",9.846
"95","2020-11-10",9.79
"96","2020-11-11",9.79
"97","2020-11-12",9.77
"98","2020-11-13",9.8
"99","2020-11-16",9.87
"100","2020-11-17",9.84
"101","2020-11-18",9.9
"102","2020-11-19",9.91
"103","2020-11-20",9.9
"104","2020-11-23",9.86
"105","2020-11-24",9.9
"106","2020-11-25",9.89
"107","2020-11-27",9.896
