"","date","EYPT"
"1","2007-01-03",7.68
"2","2007-01-04",7.24
"3","2007-01-05",6.6
"4","2007-01-08",6.64
"5","2007-01-09",7.04
"6","2007-01-10",6.92
"7","2007-01-11",6.92
"8","2007-01-12",6.88
"9","2007-01-16",6.72
"10","2007-01-17",6.8
"11","2007-01-18",6.68
"12","2007-01-19",6.6
"13","2007-01-22",6.6
"14","2007-01-23",6.56
"15","2007-01-24",6.6
"16","2007-01-25",6.56
"17","2007-01-26",6.6
"18","2007-01-29",7
"19","2007-01-30",6.52
"20","2007-01-31",6.36
"21","2007-02-01",6.52
"22","2007-02-02",6.52
"23","2007-02-05",6.56
"24","2007-02-06",6.6
"25","2007-02-07",6.48
"26","2007-02-08",6.8
"27","2007-02-09",7.16
"28","2007-02-12",7.12
"29","2007-02-13",7.2
"30","2007-02-14",7.2
"31","2007-02-15",7.4
"32","2007-02-16",7.52
"33","2007-02-20",7.36
"34","2007-02-21",7.48
"35","2007-02-22",7.16
"36","2007-02-23",6.92
"37","2007-02-26",7.16
"38","2007-02-27",6.68
"39","2007-02-28",6.4
"40","2007-03-01",6.92
"41","2007-03-02",7
"42","2007-03-05",6.68
"43","2007-03-06",6.6
"44","2007-03-07",6.4
"45","2007-03-08",6.44
"46","2007-03-09",6.48
"47","2007-03-12",6.8
"48","2007-03-13",6.72
"49","2007-03-14",6.68
"50","2007-03-15",6.6
"51","2007-03-16",6.56
"52","2007-03-19",6.6
"53","2007-03-20",7.4
"54","2007-03-21",7.32
"55","2007-03-22",7.2
"56","2007-03-23",6.96
"57","2007-03-26",7.4
"58","2007-03-27",7.56
"59","2007-03-28",7.6
"60","2007-03-29",8
"61","2007-03-30",8.16
"62","2007-04-02",8.16
"63","2007-04-03",8.16
"64","2007-04-04",9
"65","2007-04-05",7.52
"66","2007-04-09",7.56
"67","2007-04-10",7.6
"68","2007-04-11",7.52
"69","2007-04-12",7.52
"70","2007-04-13",7.6
"71","2007-04-16",7.16
"72","2007-04-17",7.16
"73","2007-04-18",6.92
"74","2007-04-19",7.12
"75","2007-04-20",7.16
"76","2007-04-23",7
"77","2007-04-24",6.96
"78","2007-04-25",6.88
"79","2007-04-26",6.72
"80","2007-04-27",7.12
"81","2007-04-30",7.08
"82","2007-05-01",6.8
"83","2007-05-02",6.52
"84","2007-05-03",6.48
"85","2007-05-04",6.68
"86","2007-05-07",6.64
"87","2007-05-08",6.68
"88","2007-05-09",6.6
"89","2007-05-10",6.56
"90","2007-05-11",6.52
"91","2007-05-14",6.2
"92","2007-05-15",6.36
"93","2007-05-16",6.36
"94","2007-05-17",6.12
"95","2007-05-18",6.2
"96","2007-05-21",6.28
"97","2007-05-22",5.96
"98","2007-05-23",5.96
"99","2007-05-24",6.08
"100","2007-05-25",6.04
"101","2007-05-29",5.72
"102","2007-05-30",5.84
"103","2007-05-31",6
"104","2007-06-01",5.96
"105","2007-06-04",5.84
"106","2007-06-05",5.88
"107","2007-06-06",5.92
"108","2007-06-07",6
"109","2007-06-08",5.84
"110","2007-06-11",5.84
"111","2007-06-12",5.84
"112","2007-06-13",5.72
"113","2007-06-14",5.64
"114","2007-06-15",5.92
"115","2007-06-18",5.76
"116","2007-06-19",6.08
"117","2007-06-20",5.92
"118","2007-06-21",5.8
"119","2007-06-22",5.8
"120","2007-06-25",5.88
"121","2007-06-26",5.8
"122","2007-06-27",5.52
"123","2007-06-28",6.04
"124","2007-06-29",6.08
"125","2007-07-02",4.72
"126","2007-07-03",5
"127","2007-07-05",4.92
"128","2007-07-06",5
"129","2007-07-09",4.8
"130","2007-07-10",4.64
"131","2007-07-11",4.6
"132","2007-07-12",4.56
"133","2007-07-13",4.8
"134","2007-07-16",4.76
"135","2007-07-17",4.52
"136","2007-07-18",4.6
"137","2007-07-19",4.76
"138","2007-07-20",4.8
"139","2007-07-23",4.76
"140","2007-07-24",4.68
"141","2007-07-25",4.6
"142","2007-07-26",4.48
"143","2007-07-27",4.64
"144","2007-07-30",4.2
"145","2007-07-31",4.32
"146","2007-08-01",4
"147","2007-08-02",4
"148","2007-08-03",4
"149","2007-08-06",4
"150","2007-08-07",3.88
"151","2007-08-08",3.8
"152","2007-08-09",3.6
"153","2007-08-10",3.52
"154","2007-08-13",3.52
"155","2007-08-14",3.36
"156","2007-08-15",3.32
"157","2007-08-16",3.16
"158","2007-08-17",3.04
"159","2007-08-20",3.2
"160","2007-08-21",3.28
"161","2007-08-22",3.24
"162","2007-08-23",3.32
"163","2007-08-24",3.32
"164","2007-08-27",3.44
"165","2007-08-28",3.04
"166","2007-08-29",3.16
"167","2007-08-30",3.44
"168","2007-08-31",3.48
"169","2007-09-04",3.72
"170","2007-09-05",4
"171","2007-09-06",3.96
"172","2007-09-07",3.84
"173","2007-09-10",3.8
"174","2007-09-11",4
