"","date","VOXX"
"1","2007-01-03",14.1
"2","2007-01-04",14.19
"3","2007-01-05",13.46
"4","2007-01-08",13.74
"5","2007-01-09",14.4
"6","2007-01-10",14.81
"7","2007-01-11",14.87
"8","2007-01-12",14.88
"9","2007-01-16",15.13
"10","2007-01-17",14.96
"11","2007-01-18",14.94
"12","2007-01-19",15.56
"13","2007-01-22",15.32
"14","2007-01-23",15.13
"15","2007-01-24",15.33
"16","2007-01-25",14.84
"17","2007-01-26",15.26
"18","2007-01-29",15.39
"19","2007-01-30",15.59
"20","2007-01-31",15.42
"21","2007-02-01",15.5
"22","2007-02-02",15.78
"23","2007-02-05",15.53
"24","2007-02-06",15.73
"25","2007-02-07",15.54
"26","2007-02-08",15.55
"27","2007-02-09",15.49
"28","2007-02-12",15.6
"29","2007-02-13",15.67
"30","2007-02-14",15.21
"31","2007-02-15",15.41
"32","2007-02-16",15.29
"33","2007-02-20",15.45
"34","2007-02-21",15.45
"35","2007-02-22",15.72
"36","2007-02-23",15.52
"37","2007-02-26",15.99
"38","2007-02-27",15.17
"39","2007-02-28",15.1
"40","2007-03-01",14.68
"41","2007-03-02",14.12
"42","2007-03-05",13.81
"43","2007-03-06",14.43
"44","2007-03-07",14.21
"45","2007-03-08",14.39
"46","2007-03-09",14.13
"47","2007-03-12",14.6
"48","2007-03-13",13.92
"49","2007-03-14",14.39
"50","2007-03-15",13.93
"51","2007-03-16",13.92
"52","2007-03-19",14.39
"53","2007-03-20",14.92
"54","2007-03-21",15.21
"55","2007-03-22",15
"56","2007-03-23",15.29
"57","2007-03-26",15.24
"58","2007-03-27",14.84
"59","2007-03-28",14.96
"60","2007-03-29",14.95
"61","2007-03-30",14.73
"62","2007-04-02",15.17
"63","2007-04-03",15.09
"64","2007-04-04",15.06
"65","2007-04-05",14.92
"66","2007-04-09",14.63
"67","2007-04-10",14.74
"68","2007-04-11",14.55
"69","2007-04-12",14.9
"70","2007-04-13",14.96
"71","2007-04-16",14.92
"72","2007-04-17",14.93
"73","2007-04-18",14.82
"74","2007-04-19",14.67
"75","2007-04-20",14.84
"76","2007-04-23",14.7
"77","2007-04-24",14.79
"78","2007-04-25",14.87
"79","2007-04-26",15
"80","2007-04-27",14.72
"81","2007-04-30",14.39
"82","2007-05-01",14.18
"83","2007-05-02",14.17
"84","2007-05-03",14.15
"85","2007-05-04",14.18
"86","2007-05-07",14.12
"87","2007-05-08",13.93
"88","2007-05-09",13.4
"89","2007-05-10",13.09
"90","2007-05-11",13.1
"91","2007-05-14",13.11
"92","2007-05-15",13.04
"93","2007-05-16",13.02
"94","2007-05-17",12.92
"95","2007-05-18",12.67
"96","2007-05-21",13.09
"97","2007-05-22",13.44
"98","2007-05-23",13.33
"99","2007-05-24",13.14
"100","2007-05-25",12.98
"101","2007-05-29",13.17
"102","2007-05-30",13.1
"103","2007-05-31",13.43
"104","2007-06-01",13.48
"105","2007-06-04",13.26
"106","2007-06-05",13.1
"107","2007-06-06",12.83
"108","2007-06-07",12.48
"109","2007-06-08",12.4
"110","2007-06-11",12.61
"111","2007-06-12",12.37
"112","2007-06-13",12.72
"113","2007-06-14",12.73
"114","2007-06-15",12.93
"115","2007-06-18",13.06
"116","2007-06-19",13.38
"117","2007-06-20",12.96
"118","2007-06-21",13.13
"119","2007-06-22",12.83
"120","2007-06-25",12.79
"121","2007-06-26",12.76
"122","2007-06-27",13.07
"123","2007-06-28",13
"124","2007-06-29",12.97
"125","2007-07-02",13.24
"126","2007-07-03",13.14
"127","2007-07-05",13.04
"128","2007-07-06",12.75
"129","2007-07-09",12.82
