"","date","AMTX"
"1","2014-05-15",5.72
"2","2014-05-16",5.825
"3","2014-05-19",5.5
"4","2014-05-20",5.24
"5","2014-05-21",5
"6","2014-05-22",5.25
"7","2014-05-23",5.35
"8","2014-05-27",5.75
"9","2014-05-28",5.8
"10","2014-05-29",6.19
"11","2014-05-30",6.05
"12","2014-06-02",6.21
"13","2014-06-03",6.9
"14","2014-06-04",6.6
"15","2014-06-05",7.01
"16","2014-06-06",7.1
"17","2014-06-09",7.3
"18","2014-06-10",7.76
"19","2014-06-11",7.98
"20","2014-06-12",8.47
"21","2014-06-13",7.75
"22","2014-06-16",8.5
"23","2014-06-17",8.08
"24","2014-06-18",9.38
"25","2014-06-19",10.38
"26","2014-06-20",10.8
"27","2014-06-23",10.17
"28","2014-06-24",8.9
"29","2014-06-25",9.15
"30","2014-06-26",9.2
"31","2014-06-27",8.976
"32","2014-06-30",9.54
"33","2014-07-01",10.2
"34","2014-07-02",10.19
"35","2014-07-03",10.2
"36","2014-07-07",10.02
"37","2014-07-08",9.77
"38","2014-07-09",9.61
"39","2014-07-10",9.5
"40","2014-07-11",9.74
"41","2014-07-14",9.8
"42","2014-07-15",10.51
"43","2014-07-16",12.16
"44","2014-07-17",12.4
"45","2014-07-18",12.35
"46","2014-07-21",12.78
"47","2014-07-22",12.64
"48","2014-07-23",12.75
"49","2014-07-24",12.75
"50","2014-07-25",11.78
"51","2014-07-28",10.01
"52","2014-07-29",10.63
"53","2014-07-30",10.71
"54","2014-07-31",9.97
"55","2014-08-01",10.57
"56","2014-08-04",10.9
"57","2014-08-05",10.4
"58","2014-08-06",10.34
"59","2014-08-07",9.37
"60","2014-08-08",8.83
"61","2014-08-11",6.71
"62","2014-08-12",7.69
"63","2014-08-13",9.36
"64","2014-08-14",9.08
"65","2014-08-15",9.45
"66","2014-08-18",9.31
"67","2014-08-19",9.7
"68","2014-08-20",10.33
"69","2014-08-21",10.24
"70","2014-08-22",9.8
"71","2014-08-25",9.35
"72","2014-08-26",9.59
"73","2014-08-27",9.39
"74","2014-08-28",9.49
"75","2014-08-29",9.46
"76","2014-09-02",9.29
"77","2014-09-03",9.16
"78","2014-09-04",9.28
"79","2014-09-05",9.64
"80","2014-09-08",10.23
"81","2014-09-09",10.24
"82","2014-09-10",10.42
"83","2014-09-11",9.75
"84","2014-09-12",9.85
"85","2014-09-15",8.87
"86","2014-09-16",8.96
"87","2014-09-17",8.54
"88","2014-09-18",8.52
"89","2014-09-19",8.01
"90","2014-09-22",8.18
"91","2014-09-23",8.59
"92","2014-09-24",8.35
"93","2014-09-25",8.29
"94","2014-09-26",8.4
"95","2014-09-29",8.71
"96","2014-09-30",8.68
"97","2014-10-01",8.77
"98","2014-10-02",8.57
"99","2014-10-03",8.48
"100","2014-10-06",8.26
"101","2014-10-07",8.1
"102","2014-10-08",8.14
"103","2014-10-09",7.9
"104","2014-10-10",7.77
"105","2014-10-13",7.56
"106","2014-10-14",7.7
"107","2014-10-15",7.67
"108","2014-10-16",8.1
"109","2014-10-17",8.98
"110","2014-10-20",8.56
"111","2014-10-21",7.97
"112","2014-10-22",7.91
"113","2014-10-23",7.69
"114","2014-10-24",7.66
"115","2014-10-27",7.73
"116","2014-10-28",7.55
"117","2014-10-29",7.58
"118","2014-10-30",7.7
"119","2014-10-31",7.82
"120","2014-11-03",7.73
"121","2014-11-04",7.55
"122","2014-11-05",7.48
"123","2014-11-06",7.595
"124","2014-11-07",7.22
"125","2014-11-10",7.16
"126","2014-11-11",6.98
"127","2014-11-12",6.99
"128","2014-11-13",5.99
"129","2014-11-14",5.95
"130","2014-11-17",6
"131","2014-11-18",6
"132","2014-11-19",5.97
"133","2014-11-20",5.91
"134","2014-11-21",6
"135","2014-11-24",5.81
"136","2014-11-25",5.85
"137","2014-11-26",5.8
"138","2014-11-28",5.58
"139","2014-12-01",4.62
"140","2014-12-02",4.59
"141","2014-12-03",4.59
"142","2014-12-04",4.36
"143","2014-12-05",4.35
"144","2014-12-08",4.05
"145","2014-12-09",4.25
"146","2014-12-10",4.12
"147","2014-12-11",4.29
"148","2014-12-12",4.33
"149","2014-12-15",4.66
"150","2014-12-16",4.98
"151","2014-12-17",5.48
"152","2014-12-18",5.5
"153","2014-12-19",6.28
"154","2014-12-22",6.66
"155","2014-12-23",6.5
"156","2014-12-24",6.25
