"","date","MDRR"
"1","2018-11-28",9.4
"2","2018-11-29",9.2
"3","2018-11-30",9.4
"4","2018-12-03",9.19
"5","2018-12-04",9.19
"6","2018-12-06",9.31
"7","2018-12-07",9.3
"8","2018-12-10",9.27
"9","2018-12-11",9.27
"10","2018-12-12",9.27
"11","2018-12-13",9
"12","2018-12-14",9
"13","2018-12-17",9
"14","2018-12-18",9
"15","2018-12-19",9.05
"16","2018-12-20",9.17
"17","2018-12-21",9.205
"18","2018-12-24",8.28
"19","2018-12-26",7.335
"20","2018-12-27",7.1
"21","2018-12-28",8.7
"22","2018-12-31",8.7
"23","2019-01-02",9.01
"24","2019-01-03",9.02
"25","2019-01-04",9.02
"26","2019-01-07",9.02
"27","2019-01-08",9.3
"28","2019-01-09",9.3
"29","2019-01-10",9.3
"30","2019-01-11",9.3
"31","2019-01-14",9.3
"32","2019-01-15",9.3
"33","2019-01-16",9.26
"34","2019-01-17",9.26
"35","2019-01-18",7.31
"36","2019-01-22",7.31
"37","2019-01-23",7.73
"38","2019-01-24",7.73
"39","2019-01-25",8.31
"40","2019-01-28",7.25
"41","2019-01-29",7.24
"42","2019-01-30",7.24
"43","2019-01-31",7.24
"44","2019-02-01",7.4
"45","2019-02-04",7.25
"46","2019-02-05",7.25
"47","2019-02-06",7.25
"48","2019-02-07",7
"49","2019-02-08",7
"50","2019-02-11",7
"51","2019-02-12",8.09
"52","2019-02-13",7.3
"53","2019-02-14",7.3
"54","2019-02-15",7.3
"55","2019-02-19",7.3
"56","2019-02-20",7.3
"57","2019-02-21",7.5
"58","2019-02-22",8
"59","2019-02-25",8
"60","2019-02-26",7.51
"61","2019-02-27",7.6
"62","2019-02-28",7.6
"63","2019-03-01",7.2
"64","2019-03-04",7.3
"65","2019-03-05",7.3
"66","2019-03-06",7.3
"67","2019-03-07",7.3
"68","2019-03-08",7.3
"69","2019-03-11",9
"70","2019-03-12",8.764
"71","2019-03-13",9.15
"72","2019-03-14",8.9
"73","2019-03-15",8.15
"74","2019-03-18",8.191
"75","2019-03-19",8.191
"76","2019-03-20",8.191
"77","2019-03-21",8.33
"78","2019-03-22",8.175
"79","2019-03-25",8.15
"80","2019-03-26",7.99
"81","2019-03-27",7.75
"82","2019-03-28",7.55
"83","2019-03-29",7.55
"84","2019-04-01",7.55
"85","2019-04-02",7.65
"86","2019-04-03",7.65
"87","2019-04-04",7.65
"88","2019-04-05",7.616
"89","2019-04-08",7.616
"90","2019-04-09",7.25
"91","2019-04-10",7.2
"92","2019-04-11",7.18
"93","2019-04-12",7
"94","2019-04-15",7.25
"95","2019-04-16",7.25
"96","2019-04-17",7.25
"97","2019-04-18",7.25
"98","2019-04-22",7.38
"99","2019-04-23",8
"100","2019-04-24",8
"101","2019-04-25",8
"102","2019-04-26",7.5
"103","2019-04-29",7.5
"104","2019-04-30",7.9
"105","2019-05-01",7.9
"106","2019-05-02",7.97
"107","2019-05-03",7.83
"108","2019-05-06",7.8
"109","2019-05-07",7.75
"110","2019-05-08",6
"111","2019-05-09",4.95
"112","2019-05-10",4.999
"113","2019-05-13",5.04
"114","2019-05-14",4.82
"115","2019-05-15",4.999
"116","2019-05-16",4.9
"117","2019-05-17",4.95
"118","2019-05-20",4.95
"119","2019-05-21",4.8
"120","2019-05-22",4.93
"121","2019-05-23",4.5
"122","2019-05-24",4.34
"123","2019-05-28",4.4
"124","2019-05-29",3.981
"125","2019-05-30",3.98
"126","2019-05-31",4.32
"127","2019-06-03",4.48
"128","2019-06-04",4.502
"129","2019-06-05",4.8
"130","2019-06-06",4.77
"131","2019-06-07",4.785
"132","2019-06-10",4.64
"133","2019-06-11",4.63
"134","2019-06-12",4.65
"135","2019-06-13",4.74
"136","2019-06-14",4.76
"137","2019-06-17",4.75
"138","2019-06-18",4.66
"139","2019-06-19",4.38
"140","2019-06-20",4.38
"141","2019-06-21",4.38
"142","2019-06-24",4.38
"143","2019-06-25",4.41
"144","2019-06-26",4.9
"145","2019-06-27",4.56
"146","2019-06-28",4.38
"147","2019-07-01",4.65
"148","2019-07-02",4.53
"149","2019-07-03",4.77
"150","2019-07-05",4.8
"151","2019-07-08",4.81
"152","2019-07-09",4.79
"153","2019-07-10",4.74
"154","2019-07-11",4.45
"155","2019-07-12",4.31
"156","2019-07-15",4.4
"157","2019-07-16",4.45
"158","2019-07-17",4.44
"159","2019-07-18",4.4
"160","2019-07-19",4.39
"161","2019-07-22",4.43
"162","2019-07-23",4.4
"163","2019-07-24",4.37
"164","2019-07-25",4.39
"165","2019-07-26",4.408
"166","2019-07-29",4.33
"167","2019-07-30",4.26
"168","2019-07-31",4.26
"169","2019-08-01",4.45
"170","2019-08-02",4.29
"171","2019-08-05",4.33
"172","2019-08-06",4.3
"173","2019-08-07",4.39
"174","2019-08-08",4.26
"175","2019-08-09",4.262
"176","2019-08-12",4.33
"177","2019-08-13",4.36
"178","2019-08-14",4.36
"179","2019-08-15",4.319
"180","2019-08-16",4.319
"181","2019-08-19",4.351
"182","2019-08-20",4.35
"183","2019-08-21",4.361
"184","2019-08-22",4.29
"185","2019-08-23",4.28
"186","2019-08-26",4.28
"187","2019-08-27",4.28
"188","2019-08-28",4.34
"189","2019-08-29",4.37
"190","2019-08-30",3.9
"191","2019-09-03",4.137
"192","2019-09-04",4.06
"193","2019-09-05",4.4
"194","2019-09-06",4.45
"195","2019-09-09",4.37
"196","2019-09-10",4.25
"197","2019-09-11",4.3
"198","2019-09-12",4.29
"199","2019-09-13",4.25
"200","2019-09-16",4.4
"201","2019-09-17",4.305
"202","2019-09-18",4.3
"203","2019-09-19",4.2
"204","2019-09-20",4.21
"205","2019-09-23",4.2
"206","2019-09-24",4.25
"207","2019-09-25",4.31
"208","2019-09-26",4.15
"209","2019-09-27",4.1
"210","2019-09-30",4.25
"211","2019-10-01",4.22
"212","2019-10-02",4.16
"213","2019-10-03",4.16
"214","2019-10-04",4.17
"215","2019-10-07",4.18
"216","2019-10-08",4.18
"217","2019-10-09",4.17
"218","2019-10-10",4.16
"219","2019-10-11",4.17
"220","2019-10-14",4.16
"221","2019-10-15",4.12
"222","2019-10-16",4.09
"223","2019-10-17",4.09
"224","2019-10-18",4.05
"225","2019-10-21",4.01
"226","2019-10-22",4.09
"227","2019-10-23",4.07
"228","2019-10-24",4.03
"229","2019-10-25",3.97
"230","2019-10-28",3.96
"231","2019-10-29",3.93
"232","2019-10-30",4.054
"233","2019-10-31",4.04
"234","2019-11-01",4.07
"235","2019-11-04",4.14
"236","2019-11-05",4.19
"237","2019-11-06",4.27
"238","2019-11-07",4.25
"239","2019-11-08",4.376
"240","2019-11-11",4.43
"241","2019-11-12",4.3
"242","2019-11-13",4.03
"243","2019-11-14",4.05
"244","2019-11-15",4.045
"245","2019-11-18",4.082
"246","2019-11-19",4
"247","2019-11-20",3.91
"248","2019-11-21",3.91
"249","2019-11-22",3.91
"250","2019-11-25",4.019
"251","2019-11-26",3.9
"252","2019-11-27",3.985
"253","2019-11-29",3.92
"254","2019-12-02",4.06
"255","2019-12-03",4.05
"256","2019-12-04",4.06
"257","2019-12-05",4.064
"258","2019-12-06",3.97
