"","date","ONVO"
"1","2012-02-14",33
"2","2012-02-15",33
"3","2012-02-16",29
"4","2012-02-17",31
"5","2012-02-21",30
"6","2012-02-22",30
"7","2012-02-23",30
"8","2012-02-24",24.799999
"9","2012-02-27",33
"10","2012-02-28",33.599998
"11","2012-02-29",35
"12","2012-03-01",35
"13","2012-03-02",36
"14","2012-03-05",35.400002
"15","2012-03-06",35.799999
"16","2012-03-07",36
"17","2012-03-08",36
"18","2012-03-09",38
"19","2012-03-12",41
"20","2012-03-13",44.599998
"21","2012-03-14",47
"22","2012-03-15",51
"23","2012-03-16",52.599998
"24","2012-03-19",48
"25","2012-03-20",46.200001
"26","2012-03-21",45
"27","2012-03-22",46.200001
"28","2012-03-23",47.200001
"29","2012-03-26",50
"30","2012-03-27",49.400002
"31","2012-03-28",49
"32","2012-03-29",50
"33","2012-03-30",49.400002
"34","2012-04-02",54.799999
"35","2012-04-03",54
"36","2012-04-04",54.599998
"37","2012-04-05",55
"38","2012-04-09",50
"39","2012-04-10",48.400002
"40","2012-04-11",51.599998
"41","2012-04-12",49.799999
"42","2012-04-13",48
"43","2012-04-16",47
"44","2012-04-17",42
"45","2012-04-18",45
"46","2012-04-19",41
"47","2012-04-20",44.799999
"48","2012-04-23",44
"49","2012-04-24",45
"50","2012-04-25",44.200001
"51","2012-04-26",45.799999
"52","2012-04-27",44.400002
"53","2012-04-30",46.200001
"54","2012-05-01",51.599998
"55","2012-05-02",57
"56","2012-05-03",57.200001
"57","2012-05-04",59
"58","2012-05-07",59.599998
"59","2012-05-08",60
"60","2012-05-09",56.400002
"61","2012-05-10",55.799999
"62","2012-05-11",60
"63","2012-05-14",59
"64","2012-05-15",57
"65","2012-05-16",59.599998
"66","2012-05-17",60.200001
"67","2012-05-18",68
"68","2012-05-21",76
"69","2012-05-22",71
"70","2012-05-23",69
"71","2012-05-24",70
"72","2012-05-25",66
"73","2012-05-29",74
"74","2012-05-30",78
"75","2012-05-31",90.199997
"76","2012-06-01",104.400002
"77","2012-06-04",109
"78","2012-06-05",111
"79","2012-06-06",98
"80","2012-06-07",94.400002
"81","2012-06-08",99
"82","2012-06-11",109.599998
"83","2012-06-12",119.400002
"84","2012-06-13",120.800003
"85","2012-06-14",128
"86","2012-06-15",143
"87","2012-06-18",193
"88","2012-06-19",175
"89","2012-06-20",185
"90","2012-06-21",184.199997
"91","2012-06-22",187
"92","2012-06-25",187
"93","2012-06-26",182
"94","2012-06-27",75.400002
"95","2012-06-28",86
"96","2012-06-29",79.800003
"97","2012-07-02",64
"98","2012-07-03",72
"99","2012-07-05",84.800003
"100","2012-07-06",83
"101","2012-07-09",48
"102","2012-07-10",49.400002
"103","2012-07-11",54
"104","2012-07-12",49.799999
"105","2012-07-13",49.599998
"106","2012-07-16",44.200001
"107","2012-07-17",44.400002
"108","2012-07-18",40.599998
"109","2012-07-19",36.799999
"110","2012-07-20",31.200001
"111","2012-07-23",33
"112","2012-07-24",32
"113","2012-07-25",37.200001
"114","2012-07-26",40.200001
"115","2012-07-27",40.599998
"116","2012-07-30",41
"117","2012-07-31",40.599998
"118","2012-08-01",39.400002
"119","2012-08-02",37.200001
"120","2012-08-03",37
"121","2012-08-06",34
"122","2012-08-07",32.200001
"123","2012-08-08",35.200001
"124","2012-08-09",38.599998
"125","2012-08-10",42
"126","2012-08-13",41
"127","2012-08-14",41.200001
"128","2012-08-15",41.799999
"129","2012-08-16",44.400002
"130","2012-08-17",43.400002
"131","2012-08-20",44.400002
"132","2012-08-21",43.200001
"133","2012-08-22",43.599998
"134","2012-08-23",42
"135","2012-08-24",43.200001
"136","2012-08-27",44.599998
"137","2012-08-28",43.599998
"138","2012-08-29",40.799999
"139","2012-08-30",41.599998
"140","2012-08-31",43.200001
"141","2012-09-04",44.599998
"142","2012-09-05",44.599998
"143","2012-09-06",43.599998
"144","2012-09-07",42.799999
"145","2012-09-10",42
"146","2012-09-11",39
"147","2012-09-12",39.200001
"148","2012-09-13",37.599998
"149","2012-09-14",40.200001
"150","2012-09-17",39
"151","2012-09-18",40.599998
"152","2012-09-19",42
"153","2012-09-20",41.799999
"154","2012-09-21",41.599998
"155","2012-09-24",41.400002
"156","2012-09-25",41.799999
"157","2012-09-26",39.599998
"158","2012-09-27",41.599998
"159","2012-09-28",41
"160","2012-10-01",40.200001
"161","2012-10-02",41
"162","2012-10-03",40
"163","2012-10-04",40.200001
"164","2012-10-05",39.599998
"165","2012-10-08",41.400002
"166","2012-10-09",41
"167","2012-10-10",40
"168","2012-10-11",42.799999
"169","2012-10-12",46.799999
"170","2012-10-15",54
"171","2012-10-16",64.800003
"172","2012-10-17",54.599998
"173","2012-10-18",50.799999
"174","2012-10-19",48.799999
"175","2012-10-22",50.599998
"176","2012-10-23",47.599998
"177","2012-10-24",48.799999
"178","2012-10-25",50
"179","2012-10-26",49.799999
"180","2012-10-31",49.799999
"181","2012-11-01",50
"182","2012-11-02",49.799999
"183","2012-11-05",45.200001
"184","2012-11-06",44.799999
"185","2012-11-07",44.400002
"186","2012-11-08",48
"187","2012-11-09",48
"188","2012-11-12",46.200001
"189","2012-11-13",47.799999
"190","2012-11-14",45.599998
"191","2012-11-15",41.200001
"192","2012-11-16",42.599998
"193","2012-11-19",44.200001
"194","2012-11-20",42.799999
"195","2012-11-21",41.400002
"196","2012-11-23",41
"197","2012-11-26",42
"198","2012-11-27",40.599998
"199","2012-11-28",40.400002
"200","2012-11-29",41.599998
"201","2012-11-30",42.400002
"202","2012-12-03",42.599998
"203","2012-12-04",42.599998
"204","2012-12-05",41.799999
"205","2012-12-06",43
"206","2012-12-07",42.599998
"207","2012-12-10",43
"208","2012-12-11",41
"209","2012-12-12",42
"210","2012-12-13",43.200001
"211","2012-12-14",42.799999
"212","2012-12-17",42
"213","2012-12-18",42.599998
"214","2012-12-19",43.400002
