"","date","BKCC"
"1","2007-06-27",14.55
"2","2007-06-28",14.75
"3","2007-06-29",14.75
"4","2007-07-02",14.8
"5","2007-07-03",14.9
"6","2007-07-05",15.14
"7","2007-07-06",14.99
"8","2007-07-09",14.99
"9","2007-07-10",15
"10","2007-07-11",15
"11","2007-07-12",15.01
"12","2007-07-13",14.96
"13","2007-07-16",14.99
"14","2007-07-17",15
"15","2007-07-18",14.84
"16","2007-07-19",14.75
"17","2007-07-20",14.65
"18","2007-07-23",14.7
"19","2007-07-24",14.7
"20","2007-07-25",14.7
"21","2007-07-26",13.47
"22","2007-07-27",13.11
"23","2007-07-30",13.26
"24","2007-07-31",13.16
"25","2007-08-01",12.99
"26","2007-08-02",12.95
"27","2007-08-03",12.79
"28","2007-08-06",13.01
"29","2007-08-07",12.61
"30","2007-08-08",12.8
"31","2007-08-09",12.88
"32","2007-08-10",12.7
"33","2007-08-13",12.92
"34","2007-08-14",13
"35","2007-08-15",12.75
"36","2007-08-16",12.66
"37","2007-08-17",12.96
"38","2007-08-20",14
"39","2007-08-21",13.76
"40","2007-08-22",14.05
"41","2007-08-23",14.29
"42","2007-08-24",14.12
"43","2007-08-27",14.23
"44","2007-08-28",13.99
"45","2007-08-29",14.4
"46","2007-08-30",14.59
"47","2007-08-31",14.5
"48","2007-09-04",14.42
"49","2007-09-05",14.36
"50","2007-09-06",14.48
"51","2007-09-07",14.4
"52","2007-09-10",14.41
"53","2007-09-11",14.46
"54","2007-09-12",14.29
"55","2007-09-13",14.4
"56","2007-09-14",14.28
"57","2007-09-17",14.56
"58","2007-09-18",14.64
"59","2007-09-19",14.5
"60","2007-09-20",14.24
"61","2007-09-21",15
"62","2007-09-24",14.53
"63","2007-09-25",14.44
"64","2007-09-26",14.91
"65","2007-09-27",15.68
"66","2007-09-28",14.5
"67","2007-10-01",14.56
"68","2007-10-02",15.03
"69","2007-10-03",14.94
"70","2007-10-04",15.34
"71","2007-10-05",15.31
"72","2007-10-08",15.56
"73","2007-10-09",15.49
"74","2007-10-10",15.4
"75","2007-10-11",15.49
"76","2007-10-12",15.14
"77","2007-10-15",15.28
"78","2007-10-16",15.5
"79","2007-10-17",15.46
"80","2007-10-18",15.44
"81","2007-10-19",14.7
"82","2007-10-22",14.92
"83","2007-10-23",14.93
"84","2007-10-24",15.13
"85","2007-10-25",14.93
"86","2007-10-26",14.96
"87","2007-10-29",14.86
"88","2007-10-30",14.66
"89","2007-10-31",14.3
"90","2007-11-01",13.72
"91","2007-11-02",13.17
"92","2007-11-05",13.21
"93","2007-11-06",13.21
"94","2007-11-07",13.2
"95","2007-11-08",14.57
"96","2007-11-09",13.45
"97","2007-11-12",14.19
"98","2007-11-13",14.35
"99","2007-11-14",14.1
"100","2007-11-15",13.86
"101","2007-11-16",13.85
"102","2007-11-19",13.95
"103","2007-11-20",13.98
"104","2007-11-21",13.79
"105","2007-11-23",14.37
"106","2007-11-26",13.99
"107","2007-11-27",13.98
"108","2007-11-28",14.48
"109","2007-11-29",14.5
"110","2007-11-30",14.28
"111","2007-12-03",13.98
"112","2007-12-04",13.5
"113","2007-12-05",13.81
"114","2007-12-06",14.38
"115","2007-12-07",14.63
"116","2007-12-10",15.07
"117","2007-12-11",14.6
"118","2007-12-12",14.28
"119","2007-12-13",14.12
"120","2007-12-14",14.91
"121","2007-12-17",14.52
"122","2007-12-18",14.39
"123","2007-12-19",14.71
"124","2007-12-20",14.78
"125","2007-12-21",15.41
"126","2007-12-24",15.4
"127","2007-12-26",14.82
"128","2007-12-27",15.04
"129","2007-12-28",15.14
"130","2007-12-31",15.28
"131","2008-01-02",15.13
"132","2008-01-03",15.01
"133","2008-01-04",14.74
"134","2008-01-07",15.19
"135","2008-01-08",14.68
"136","2008-01-09",14.84
"137","2008-01-10",14.86
"138","2008-01-11",14.78
"139","2008-01-14",14.9
"140","2008-01-15",14.67
"141","2008-01-16",14.48
"142","2008-01-17",13.9
"143","2008-01-18",13.2
"144","2008-01-22",13.21
"145","2008-01-23",14.07
"146","2008-01-24",14.11
"147","2008-01-25",13.74
"148","2008-01-28",14.11
"149","2008-01-29",14.13
"150","2008-01-30",13.91
"151","2008-01-31",14.92
"152","2008-02-01",14.78
"153","2008-02-04",14.74
"154","2008-02-05",14.45
"155","2008-02-06",13.59
"156","2008-02-07",14
"157","2008-02-08",13.75
"158","2008-02-11",14.19
"159","2008-02-12",13.81
"160","2008-02-13",14.36
"161","2008-02-14",13.28
"162","2008-02-15",13.47
"163","2008-02-19",13.05
"164","2008-02-20",13.39
"165","2008-02-21",13.01
"166","2008-02-22",13.08
"167","2008-02-25",13.38
"168","2008-02-26",13.61
"169","2008-02-27",13.56
"170","2008-02-28",13.24
"171","2008-02-29",12.56
"172","2008-03-03",12.27
"173","2008-03-04",12.18
"174","2008-03-05",12.23
"175","2008-03-06",12.06
"176","2008-03-07",12
"177","2008-03-10",11.1
"178","2008-03-11",11.89
"179","2008-03-12",11.44
"180","2008-03-13",10.92
"181","2008-03-14",10.65
"182","2008-03-17",10.87
"183","2008-03-18",12.24
"184","2008-03-19",10.77
"185","2008-03-20",11.32
"186","2008-03-24",11.56
"187","2008-03-25",11.96
"188","2008-03-26",11.59
"189","2008-03-27",11.47
"190","2008-03-28",11.77
"191","2008-03-31",11.94
"192","2008-04-01",12.55
"193","2008-04-02",12.95
"194","2008-04-03",12.58
"195","2008-04-04",12.63
"196","2008-04-07",12.27
"197","2008-04-08",11.79
"198","2008-04-09",11.75
"199","2008-04-10",11.82
"200","2008-04-11",11.06
"201","2008-04-14",11.03
"202","2008-04-15",11.5
"203","2008-04-16",12.17
"204","2008-04-17",11.95
"205","2008-04-18",12.1
"206","2008-04-21",12.64
"207","2008-04-22",11.25
"208","2008-04-23",11.73
"209","2008-04-24",11.87
"210","2008-04-25",12.29
"211","2008-04-28",12.31
"212","2008-04-29",12.18
"213","2008-04-30",12.31
"214","2008-05-01",12.58
"215","2008-05-02",12.64
"216","2008-05-05",12.45
"217","2008-05-06",12.65
"218","2008-05-07",11.89
"219","2008-05-08",11.95
"220","2008-05-09",12.05
"221","2008-05-12",12.29
"222","2008-05-13",12.15
"223","2008-05-14",12.23
"224","2008-05-15",12.4
"225","2008-05-16",12.59
"226","2008-05-19",12.51
"227","2008-05-20",12.49
"228","2008-05-21",12.22
"229","2008-05-22",12.7
"230","2008-05-23",12.97
"231","2008-05-27",13.46
"232","2008-05-28",13.13
"233","2008-05-29",13.19
"234","2008-05-30",11.96
"235","2008-06-02",12.02
"236","2008-06-03",12.06
"237","2008-06-04",12.24
"238","2008-06-05",12.48
"239","2008-06-06",12.19
"240","2008-06-09",12.06
"241","2008-06-10",12.3
"242","2008-06-11",11.81
"243","2008-06-12",11.5
"244","2008-06-13",11.81
"245","2008-06-16",12
"246","2008-06-17",11.33
"247","2008-06-18",10.85
"248","2008-06-19",10.43
"249","2008-06-20",10.01
"250","2008-06-23",9.46
"251","2008-06-24",9.47
"252","2008-06-25",9.81
"253","2008-06-26",9.26
"254","2008-06-27",9.29
"255","2008-06-30",9.46
"256","2008-07-01",9.14
"257","2008-07-02",9.01
"258","2008-07-03",8.85
"259","2008-07-07",8.14
"260","2008-07-08",8.56
"261","2008-07-09",8.16
"262","2008-07-10",8.43
"263","2008-07-11",8
"264","2008-07-14",7.86
"265","2008-07-15",7.63
"266","2008-07-16",7.97
"267","2008-07-17",8.1
"268","2008-07-18",8.06
"269","2008-07-21",8.06
"270","2008-07-22",8.18
"271","2008-07-23",8.22
"272","2008-07-24",8.25
"273","2008-07-25",8.47
"274","2008-07-28",8.14
"275","2008-07-29",8.85
"276","2008-07-30",9.98
"277","2008-07-31",9.76
"278","2008-08-01",9.48
"279","2008-08-04",9
"280","2008-08-05",9.28
"281","2008-08-06",9.31
"282","2008-08-07",9.12
"283","2008-08-08",9.55
"284","2008-08-11",10.03
"285","2008-08-12",10.01
"286","2008-08-13",10.61
"287","2008-08-14",11.38
"288","2008-08-15",11.08
"289","2008-08-18",11.25
"290","2008-08-19",11.16
"291","2008-08-20",11.5
"292","2008-08-21",10.97
"293","2008-08-22",11.4
"294","2008-08-25",11.11
"295","2008-08-26",11.48
"296","2008-08-27",11.28
"297","2008-08-28",11.5
"298","2008-08-29",11.19
"299","2008-09-02",11.16
"300","2008-09-03",11.88
"301","2008-09-04",11.48
"302","2008-09-05",11.77
"303","2008-09-08",11.12
"304","2008-09-09",9.49
"305","2008-09-10",10.63
"306","2008-09-11",10.17
"307","2008-09-12",10.11
"308","2008-09-15",9.57
"309","2008-09-16",10.17
"310","2008-09-17",9.76
"311","2008-09-18",11.67
"312","2008-09-19",11.86
"313","2008-09-22",11.89
"314","2008-09-23",11.48
"315","2008-09-24",10.8
"316","2008-09-25",11.25
"317","2008-09-26",11.41
"318","2008-09-29",11.49
"319","2008-09-30",11.53
"320","2008-10-01",11.28
"321","2008-10-02",11.29
"322","2008-10-03",11.19
"323","2008-10-06",9.79
"324","2008-10-07",9.79
"325","2008-10-08",8.4
"326","2008-10-09",7
"327","2008-10-10",7.24
"328","2008-10-13",9.5
"329","2008-10-14",9.47
"330","2008-10-15",8.74
"331","2008-10-16",9.94
"332","2008-10-17",9.36
"333","2008-10-20",9.31
"334","2008-10-21",9.14
"335","2008-10-22",8.91
"336","2008-10-23",8.93
"337","2008-10-24",9.05
"338","2008-10-27",9.2
"339","2008-10-28",9.6
"340","2008-10-29",9.84
"341","2008-10-30",10.2
"342","2008-10-31",10.5
"343","2008-11-03",10.33
"344","2008-11-04",10.45
"345","2008-11-05",10.11
"346","2008-11-06",10.04
"347","2008-11-07",9.65
"348","2008-11-10",9.02
"349","2008-11-11",7.42
"350","2008-11-12",7
"351","2008-11-13",8.18
"352","2008-11-14",7.37
"353","2008-11-17",7.81
"354","2008-11-18",7.59
"355","2008-11-19",6.44
"356","2008-11-20",6.83
"357","2008-11-21",7.42
"358","2008-11-24",8.67
"359","2008-11-25",9.12
"360","2008-11-26",9.9
"361","2008-11-28",10.25
"362","2008-12-01",9.11
"363","2008-12-02",9.65
"364","2008-12-03",10.2
"365","2008-12-04",9.7
"366","2008-12-05",9.49
"367","2008-12-08",9.13
"368","2008-12-09",8.74
"369","2008-12-10",8.98
"370","2008-12-11",8.23
"371","2008-12-12",9.06
"372","2008-12-15",8.88
"373","2008-12-16",9.85
"374","2008-12-17",9.95
"375","2008-12-18",9.78
"376","2008-12-19",9.73
"377","2008-12-22",9.41
"378","2008-12-23",9.58
"379","2008-12-24",9.41
"380","2008-12-26",9.5
"381","2008-12-29",8.15
"382","2008-12-30",9.17
"383","2008-12-31",9.86
"384","2009-01-02",10.35
"385","2009-01-05",10.37
