"","date","AACQ"
"1","2020-09-04",10
"2","2020-09-08",9.95
"3","2020-09-09",9.99
"4","2020-09-10",9.96
"5","2020-09-11",9.96
"6","2020-09-14",10
"7","2020-09-15",9.97
"8","2020-09-16",9.975
"9","2020-09-17",9.93
"10","2020-09-18",9.95
"11","2020-09-21",9.95
"12","2020-09-22",9.92
"13","2020-09-23",9.95
"14","2020-09-24",9.87
"15","2020-09-25",9.88
"16","2020-09-28",9.95
"17","2020-09-29",9.94
"18","2020-09-30",9.94
"19","2020-10-01",9.94
"20","2020-10-02",9.95
"21","2020-10-05",9.865
"22","2020-10-06",9.78
"23","2020-10-07",9.8
"24","2020-10-08",9.785
"25","2020-10-09",9.77
"26","2020-10-12",9.8
"27","2020-10-13",9.8
"28","2020-10-14",9.8
"29","2020-10-15",9.79
"30","2020-10-16",9.78
"31","2020-10-19",9.8
"32","2020-10-20",9.8
"33","2020-10-21",9.75
"34","2020-10-22",9.78
"35","2020-10-23",9.71
"36","2020-10-26",9.69
"37","2020-10-27",9.685
"38","2020-10-28",9.62
"39","2020-10-29",9.65
"40","2020-10-30",9.647
"41","2020-11-02",9.69
"42","2020-11-03",9.71
"43","2020-11-04",9.72
"44","2020-11-05",9.78
"45","2020-11-06",9.72
"46","2020-11-09",9.74
"47","2020-11-10",9.75
"48","2020-11-11",9.74
"49","2020-11-12",9.7
"50","2020-11-13",9.78
"51","2020-11-16",9.8
"52","2020-11-17",9.78
"53","2020-11-18",9.8
"54","2020-11-19",9.87
"55","2020-11-20",9.89
"56","2020-11-23",9.88
"57","2020-11-24",9.91
"58","2020-11-25",9.92
"59","2020-11-27",9.95
