"","date","AFINP"
"1","2019-03-22",24.459999
"2","2019-03-25",24.32
"3","2019-03-26",24.52
"4","2019-03-27",24.33
"5","2019-03-28",24.5
"6","2019-03-29",24.549999
"7","2019-04-01",24.450001
"8","2019-04-02",24.893999
"9","2019-04-03",24.85
"10","2019-04-04",25.040001
"11","2019-04-05",25.120001
"12","2019-04-08",25.110001
"13","2019-04-09",25.316999
"14","2019-04-10",25.700001
"15","2019-04-11",25.625
"16","2019-04-12",25.59
"17","2019-04-15",25.6
"18","2019-04-16",25.66
"19","2019-04-17",25.32
"20","2019-04-18",25.429001
"21","2019-04-22",25.27
"22","2019-04-23",25.34
"23","2019-04-24",25.25
"24","2019-04-25",25.200001
"25","2019-04-26",25.110001
"26","2019-04-29",25.049999
"27","2019-04-30",25.23
"28","2019-05-01",25.25
"29","2019-05-02",25.239
"30","2019-05-03",25.25
"31","2019-05-06",25.309999
"32","2019-05-07",25.26
"33","2019-05-08",25.388
"34","2019-05-09",25.23
"35","2019-05-10",25.1
"36","2019-05-13",25.200001
"37","2019-05-14",25.169001
"38","2019-05-15",25.295
"39","2019-05-16",25.299999
"40","2019-05-17",25.299999
"41","2019-05-20",25.264
"42","2019-05-21",25.24
"43","2019-05-22",25.225
"44","2019-05-23",25.225
"45","2019-05-24",25.15
"46","2019-05-28",25.23
"47","2019-05-29",25.200001
"48","2019-05-30",25.200001
"49","2019-05-31",25.15
"50","2019-06-03",25.15
"51","2019-06-04",25.176001
"52","2019-06-05",25.27
"53","2019-06-06",25.290001
"54","2019-06-07",25.32
"55","2019-06-10",25.379
"56","2019-06-11",25.280001
"57","2019-06-12",25.284
"58","2019-06-13",25.181
"59","2019-06-14",25.139999
"60","2019-06-17",25.190001
"61","2019-06-18",25.17
"62","2019-06-19",25.200001
"63","2019-06-20",25.200001
"64","2019-06-21",25.370001
"65","2019-06-24",25.389999
"66","2019-06-25",25.389999
"67","2019-06-26",25.450001
"68","2019-06-27",25.4
"69","2019-06-28",25.5
"70","2019-07-01",25.450001
"71","2019-07-02",25.184999
"72","2019-07-03",25.209999
"73","2019-07-05",25.16
"74","2019-07-08",25.209999
"75","2019-07-09",25.190001
"76","2019-07-10",25.299999
"77","2019-07-11",25.33
"78","2019-07-12",25.370001
"79","2019-07-15",25.409
"80","2019-07-16",25.440001
"81","2019-07-17",25.549999
"82","2019-07-18",25.514999
"83","2019-07-19",25.549999
"84","2019-07-22",25.530001
"85","2019-07-23",25.5
"86","2019-07-24",25.610001
"87","2019-07-25",25.639999
"88","2019-07-26",25.75
"89","2019-07-29",25.573999
"90","2019-07-30",25.700001
"91","2019-07-31",25.5
"92","2019-08-01",25.610001
"93","2019-08-02",25.639999
"94","2019-08-05",25.540001
"95","2019-08-06",25.549999
"96","2019-08-07",25.527
"97","2019-08-08",25.530001
"98","2019-08-09",25.549999
"99","2019-08-12",25.540001
"100","2019-08-13",25.540001
