"","date","EVH"
"1","2015-06-05",18.860001
"2","2015-06-08",19.07
"3","2015-06-09",18.77
"4","2015-06-10",19.049999
"5","2015-06-11",18.48
"6","2015-06-12",17.92
"7","2015-06-15",18.58
"8","2015-06-16",18.530001
"9","2015-06-17",18.719999
"10","2015-06-18",18.139999
"11","2015-06-19",18.48
"12","2015-06-22",18.309999
"13","2015-06-23",18.389999
"14","2015-06-24",18.23
"15","2015-06-25",18.700001
"16","2015-06-26",18.969999
"17","2015-06-29",18.85
"18","2015-06-30",19.5
"19","2015-07-01",19.610001
"20","2015-07-02",20.41
"21","2015-07-06",19.940001
"22","2015-07-07",19.24
"23","2015-07-08",19.08
"24","2015-07-09",19.74
"25","2015-07-10",19.65
"26","2015-07-13",19.76
"27","2015-07-14",20.18
"28","2015-07-15",20.16
"29","2015-07-16",20.790001
"30","2015-07-17",21.43
"31","2015-07-20",21.02
"32","2015-07-21",20.76
"33","2015-07-22",20.620001
"34","2015-07-23",20
"35","2015-07-24",19.950001
"36","2015-07-27",20.360001
"37","2015-07-28",21.030001
"38","2015-07-29",21.49
"39","2015-07-30",21.48
"40","2015-07-31",21.33
"41","2015-08-03",21.52
"42","2015-08-04",22.190001
"43","2015-08-05",22.52
"44","2015-08-06",22.5
"45","2015-08-07",22.030001
"46","2015-08-10",20.59
"47","2015-08-11",19.6
"48","2015-08-12",19.950001
"49","2015-08-13",19.370001
"50","2015-08-14",19.139999
"51","2015-08-17",20.09
"52","2015-08-18",20.360001
"53","2015-08-19",19.940001
"54","2015-08-20",19.52
"55","2015-08-21",18.99
"56","2015-08-24",18.370001
"57","2015-08-25",16.440001
"58","2015-08-26",16.08
"59","2015-08-27",16.35
"60","2015-08-28",17.17
"61","2015-08-31",17
"62","2015-09-01",17.02
"63","2015-09-02",18.110001
"64","2015-09-03",18.48
"65","2015-09-04",18.209999
"66","2015-09-08",18.959999
"67","2015-09-09",19.07
"68","2015-09-10",19.700001
"69","2015-09-11",20.73
"70","2015-09-14",20.01
"71","2015-09-15",20.440001
"72","2015-09-16",20.59
"73","2015-09-17",20.65
"74","2015-09-18",19.34
"75","2015-09-21",19.4
"76","2015-09-22",19.16
"77","2015-09-23",18.65
"78","2015-09-24",17.83
"79","2015-09-25",17
"80","2015-09-28",15.93
"81","2015-09-29",15.55
"82","2015-09-30",15.96
"83","2015-10-01",15.72
"84","2015-10-02",16.139999
"85","2015-10-05",16.059999
"86","2015-10-06",15.4
"87","2015-10-07",15.5
"88","2015-10-08",15.58
"89","2015-10-09",15.28
"90","2015-10-12",15.37
"91","2015-10-13",15.18
"92","2015-10-14",15.1
"93","2015-10-15",15.78
"94","2015-10-16",16.440001
"95","2015-10-19",16
"96","2015-10-20",15.5
"97","2015-10-21",15.66
"98","2015-10-22",13.44
"99","2015-10-23",13.65
"100","2015-10-26",13.35
"101","2015-10-27",13.46
"102","2015-10-28",13.95
"103","2015-10-29",12.69
"104","2015-10-30",12.85
"105","2015-11-02",13.25
"106","2015-11-03",13.31
"107","2015-11-04",13.47
"108","2015-11-05",13.36
"109","2015-11-06",15.06
"110","2015-11-09",14.96
"111","2015-11-10",15.44
"112","2015-11-11",15.41
"113","2015-11-12",15.8
"114","2015-11-13",15.13
"115","2015-11-16",15.69
"116","2015-11-17",15.97
"117","2015-11-18",17
"118","2015-11-19",16.370001
"119","2015-11-20",16.209999
"120","2015-11-23",15.75
"121","2015-11-24",16.42
"122","2015-11-25",16.450001
"123","2015-11-27",16.5
"124","2015-11-30",16.280001
"125","2015-12-01",16.790001
"126","2015-12-02",16.969999
"127","2015-12-03",16.6
"128","2015-12-04",16.110001
"129","2015-12-07",15.63
"130","2015-12-08",15.61
"131","2015-12-09",14.48
"132","2015-12-10",14.31
"133","2015-12-11",13.69
"134","2015-12-14",13.1
"135","2015-12-15",12.92
"136","2015-12-16",13.39
"137","2015-12-17",12.07
"138","2015-12-18",12.83
"139","2015-12-21",12.94
"140","2015-12-22",12.89
"141","2015-12-23",13.07
"142","2015-12-24",13.35
"143","2015-12-28",12.55
"144","2015-12-29",13.12
"145","2015-12-30",12.54
"146","2015-12-31",12.11
"147","2016-01-04",11.82
"148","2016-01-05",12.03
"149","2016-01-06",12.32
"150","2016-01-07",12.29
"151","2016-01-08",11.61
"152","2016-01-11",11.32
"153","2016-01-12",11.2
"154","2016-01-13",10.89
"155","2016-01-14",10.91
"156","2016-01-15",10.5
"157","2016-01-19",10.96
"158","2016-01-20",11.44
"159","2016-01-21",10.88
"160","2016-01-22",11.56
"161","2016-01-25",10.75
"162","2016-01-26",10.72
"163","2016-01-27",10.19
"164","2016-01-28",9.6
"165","2016-01-29",9.87
"166","2016-02-01",9.84
"167","2016-02-02",10.47
"168","2016-02-03",10.24
"169","2016-02-04",10.78
"170","2016-02-05",10.27
"171","2016-02-08",9.73
"172","2016-02-09",9.14
"173","2016-02-10",9
"174","2016-02-11",8.98
"175","2016-02-12",9.22
"176","2016-02-16",9.09
"177","2016-02-17",9.14
"178","2016-02-18",9.2
"179","2016-02-19",9.04
"180","2016-02-22",8.92
"181","2016-02-23",8.48
"182","2016-02-24",8.62
"183","2016-02-25",8.71
"184","2016-02-26",9.88
"185","2016-02-29",10.05
"186","2016-03-01",10.27
"187","2016-03-02",10.82
"188","2016-03-03",10.81
"189","2016-03-04",10.72
"190","2016-03-07",10.54
"191","2016-03-08",10.26
"192","2016-03-09",10.52
"193","2016-03-10",10.27
"194","2016-03-11",10.18
"195","2016-03-14",10.22
"196","2016-03-15",9.76
"197","2016-03-16",9.93
"198","2016-03-17",10.38
"199","2016-03-18",11.25
"200","2016-03-21",11.16
"201","2016-03-22",10.97
"202","2016-03-23",10.11
"203","2016-03-24",10.39
"204","2016-03-28",9.99
"205","2016-03-29",10.78
"206","2016-03-30",10.56
"207","2016-03-31",10.56
