"","date","HMLP"
"1","2014-08-07",22.25
"2","2014-08-08",24.299999
"3","2014-08-11",24.9
"4","2014-08-12",24.25
"5","2014-08-13",23.75
"6","2014-08-14",24.25
"7","2014-08-15",24.780001
"8","2014-08-18",24.610001
"9","2014-08-19",24.16
"10","2014-08-20",24.225
"11","2014-08-21",24.35
"12","2014-08-22",24.85
"13","2014-08-25",25.200001
"14","2014-08-26",25.18
"15","2014-08-27",25.57
"16","2014-08-28",25.25
"17","2014-08-29",25.889999
"18","2014-09-02",25.459999
"19","2014-09-03",25.200001
"20","2014-09-04",24.450001
"21","2014-09-05",25.049999
"22","2014-09-08",24.549999
"23","2014-09-09",24.73
"24","2014-09-10",24.83
"25","2014-09-11",24.700001
"26","2014-09-12",24.120001
"27","2014-09-15",23.85
"28","2014-09-16",23.9
"29","2014-09-17",23.700001
"30","2014-09-18",23.950001
"31","2014-09-19",23.84
"32","2014-09-22",23.41
"33","2014-09-23",22.85
"34","2014-09-24",23.540001
"35","2014-09-25",23.33
"36","2014-09-26",23.450001
"37","2014-09-29",23.33
"38","2014-09-30",22.91
"39","2014-10-01",23.27
"40","2014-10-02",23.1
"41","2014-10-03",23.4
"42","2014-10-06",23.299999
"43","2014-10-07",23
"44","2014-10-08",22.5
"45","2014-10-09",21.35
"46","2014-10-10",20.52
"47","2014-10-13",19.200001
"48","2014-10-14",19.34
"49","2014-10-15",19.41
"50","2014-10-16",20.059999
"51","2014-10-17",19.09
"52","2014-10-20",20.629999
"53","2014-10-21",20.67
"54","2014-10-22",20.719999
"55","2014-10-23",21.299999
"56","2014-10-24",21.65
"57","2014-10-27",21.4
"58","2014-10-28",21.280001
"59","2014-10-29",21.35
"60","2014-10-30",21.309999
"61","2014-10-31",21.01
"62","2014-11-03",21.790001
"63","2014-11-04",21.51
"64","2014-11-05",21.700001
"65","2014-11-06",22.469999
"66","2014-11-07",23.559999
"67","2014-11-10",23.35
"68","2014-11-11",23.549999
"69","2014-11-12",23.459999
"70","2014-11-13",22.379999
"71","2014-11-14",22.07
"72","2014-11-17",22
"73","2014-11-18",21.799999
"74","2014-11-19",22.280001
"75","2014-11-20",22.82
"76","2014-11-21",21.084999
"77","2014-11-24",19.629999
"78","2014-11-25",20.559999
"79","2014-11-26",20.23
"80","2014-11-28",18.4
"81","2014-12-01",16.84
"82","2014-12-02",18.24
"83","2014-12-03",18.549999
"84","2014-12-04",18.26
"85","2014-12-05",18.799999
"86","2014-12-08",17.25
"87","2014-12-09",17.040001
"88","2014-12-10",16.969999
"89","2014-12-11",16.639999
"90","2014-12-12",16.809999
"91","2014-12-15",16.799999
"92","2014-12-16",17.190001
"93","2014-12-17",18.17
"94","2014-12-18",18.27
"95","2014-12-19",18.389999
"96","2014-12-22",18.35
"97","2014-12-23",18.440001
"98","2014-12-24",18.25
"99","2014-12-26",19.690001
"100","2014-12-29",19.879999
"101","2014-12-30",20
"102","2014-12-31",20.639999
"103","2015-01-02",20.48
"104","2015-01-05",19.93
"105","2015-01-06",19.73
"106","2015-01-07",20
"107","2015-01-08",20
"108","2015-01-09",20.309999
"109","2015-01-12",20.01
"110","2015-01-13",20.049999
"111","2015-01-14",20.18
"112","2015-01-15",18.940001
"113","2015-01-16",20.6
"114","2015-01-20",19.200001
"115","2015-01-21",19.67
"116","2015-01-22",20.35
"117","2015-01-23",20.93
"118","2015-01-26",21.92
"119","2015-01-27",21.48
