"","date","BLNK"
"1","2009-12-21",2525
"2","2009-12-22",2525
"3","2009-12-23",2525
"4","2009-12-24",2525
"5","2009-12-28",1475
"6","2009-12-29",1950
"7","2009-12-30",2125
"8","2009-12-31",2250
"9","2010-01-04",2250
"10","2010-01-05",2250
"11","2010-01-06",2250
"12","2010-01-07",2250
"13","2010-01-08",2250
"14","2010-01-11",2500
"15","2010-01-12",2500
"16","2010-01-13",2500
"17","2010-01-14",2500
"18","2010-01-15",2450
"19","2010-01-19",2450
"20","2010-01-20",2450
"21","2010-01-21",2450
"22","2010-01-22",2450
"23","2010-01-25",2450
"24","2010-01-26",2625
"25","2010-01-27",2675
"26","2010-01-28",2675
"27","2010-01-29",2675
"28","2010-02-01",2675
"29","2010-02-02",2675
"30","2010-02-03",2550
"31","2010-02-04",2625
"32","2010-02-05",2675
"33","2010-02-08",2675
"34","2010-02-09",2675
"35","2010-02-10",2625
"36","2010-02-11",2700
"37","2010-02-12",2700
"38","2010-02-16",2625
"39","2010-02-17",2625
"40","2010-02-18",2625
"41","2010-02-19",2625
"42","2010-02-22",2650
"43","2010-02-23",2625
"44","2010-02-24",2625
"45","2010-02-25",2625
"46","2010-02-26",2525
"47","2010-03-01",2625
"48","2010-03-02",2525
"49","2010-03-03",2525
"50","2010-03-04",2375
"51","2010-03-05",2375
"52","2010-03-08",2375
"53","2010-03-09",2525
"54","2010-03-10",2650
"55","2010-03-11",2500
"56","2010-03-12",2250
"57","2010-03-15",2750
"58","2010-03-16",2525
"59","2010-03-17",2625
"60","2010-03-18",2525
"61","2010-03-19",2375
"62","2010-03-22",2375
"63","2010-03-23",2375
"64","2010-03-24",2375
"65","2010-03-25",2425
"66","2010-03-26",2525
"67","2010-03-29",1625
"68","2010-03-30",2000
"69","2010-03-31",2000
"70","2010-04-01",2000
"71","2010-04-05",187.5
"72","2010-04-06",132.5
"73","2010-04-07",162.5
"74","2010-04-08",162.5
"75","2010-04-09",1625
"76","2010-04-12",1650
"77","2010-04-13",1325
"78","2010-04-14",1327.5
"79","2010-04-15",1275
"80","2010-04-16",1275
"81","2010-04-19",1275
"82","2010-04-20",1325
"83","2010-04-21",1375
"84","2010-04-22",1425
"85","2010-04-23",1500
"86","2010-04-26",1500
"87","2010-04-27",1650
"88","2010-04-28",1825
"89","2010-04-29",1875
"90","2010-04-30",2487.5
"91","2010-05-03",2350
"92","2010-05-04",2400
"93","2010-05-05",2487.5
"94","2010-05-06",2487.5
"95","2010-05-07",2250
"96","2010-05-10",2375
"97","2010-05-11",2125
"98","2010-05-12",2125
"99","2010-05-13",2125
"100","2010-05-14",2375
"101","2010-05-17",2375
"102","2010-05-18",2525
"103","2010-05-19",2525
"104","2010-05-20",2400
"105","2010-05-21",2150
"106","2010-05-24",2500
"107","2010-05-25",2150
"108","2010-05-26",2150
"109","2010-05-27",2150
"110","2010-05-28",2475
"111","2010-06-01",2525
"112","2010-06-02",2150
"113","2010-06-03",2150
"114","2010-06-04",2000
"115","2010-06-07",2000
"116","2010-06-08",2125
"117","2010-06-09",2125
"118","2010-06-10",2025
"119","2010-06-11",2025
"120","2010-06-14",2025
"121","2010-06-15",1800
"122","2010-06-16",2025
"123","2010-06-17",2400
"124","2010-06-18",2400
"125","2010-06-21",2375
"126","2010-06-22",2000
"127","2010-06-23",2125
"128","2010-06-24",2225
"129","2010-06-25",2150
"130","2010-06-28",2250
"131","2010-06-29",2250
"132","2010-06-30",2125
"133","2010-07-01",2225
"134","2010-07-02",2250
"135","2010-07-06",1875
"136","2010-07-07",1775
"137","2010-07-08",1950
"138","2010-07-09",2250
