"","date","PINC"
"1","2013-09-26",30.65
"2","2013-09-27",31.690001
"3","2013-09-30",31.700001
"4","2013-10-01",30.799999
"5","2013-10-02",30.66
"6","2013-10-03",31.059999
"7","2013-10-04",31.120001
"8","2013-10-07",30.99
"9","2013-10-08",30.549999
"10","2013-10-09",30.5
"11","2013-10-10",30.450001
"12","2013-10-11",30.26
"13","2013-10-14",30.66
"14","2013-10-15",30.91
"15","2013-10-16",31.4
"16","2013-10-17",31.299999
"17","2013-10-18",31.66
"18","2013-10-21",30.74
"19","2013-10-22",31.07
"20","2013-10-23",31.120001
"21","2013-10-24",31.450001
"22","2013-10-25",31.41
"23","2013-10-28",31.950001
"24","2013-10-29",31.91
"25","2013-10-30",31.9
"26","2013-10-31",30.809999
"27","2013-11-01",30.91
"28","2013-11-04",31.68
"29","2013-11-05",31.32
"30","2013-11-06",31.24
"31","2013-11-07",30.959999
"32","2013-11-08",30.98
"33","2013-11-11",31.15
"34","2013-11-12",31
"35","2013-11-13",31.07
"36","2013-11-14",31.15
"37","2013-11-15",31.17
"38","2013-11-18",31.129999
"39","2013-11-19",31.030001
"40","2013-11-20",31.15
"41","2013-11-21",31.09
"42","2013-11-22",31.190001
"43","2013-11-25",31.08
"44","2013-11-26",31.02
"45","2013-11-27",32.240002
"46","2013-11-29",32.91
"47","2013-12-02",34.450001
"48","2013-12-03",35.25
"49","2013-12-04",35
"50","2013-12-05",35.5
"51","2013-12-06",35.830002
"52","2013-12-09",36.700001
"53","2013-12-10",36
"54","2013-12-11",35.98
"55","2013-12-12",36.209999
"56","2013-12-13",36.639999
"57","2013-12-16",37.400002
"58","2013-12-17",37.049999
"59","2013-12-18",37.720001
"60","2013-12-19",37.939999
"61","2013-12-20",38.25
"62","2013-12-23",37.720001
"63","2013-12-24",38.080002
"64","2013-12-26",37.240002
"65","2013-12-27",38.009998
"66","2013-12-30",37.279999
"67","2013-12-31",36.759998
"68","2014-01-02",36.139999
"69","2014-01-03",36.549999
"70","2014-01-06",36.580002
"71","2014-01-07",36.650002
"72","2014-01-08",37.43
"73","2014-01-09",38.439999
"74","2014-01-10",38.130001
"75","2014-01-13",37.240002
"76","2014-01-14",36.669998
"77","2014-01-15",37.630001
"78","2014-01-16",37.919998
"79","2014-01-17",37.900002
"80","2014-01-21",37.799999
"81","2014-01-22",37.09
"82","2014-01-23",36.740002
"83","2014-01-24",35.48
"84","2014-01-27",35.400002
"85","2014-01-28",35.279999
"86","2014-01-29",35.59
"87","2014-01-30",35.66
"88","2014-01-31",34.689999
"89","2014-02-03",34.009998
"90","2014-02-04",33.959999
"91","2014-02-05",33.779999
"92","2014-02-06",33.98
"93","2014-02-07",33.950001
"94","2014-02-10",34.57
"95","2014-02-11",34.48
"96","2014-02-12",34.400002
"97","2014-02-13",35.709999
"98","2014-02-14",35.009998
"99","2014-02-18",34.509998
"100","2014-02-19",34.669998
"101","2014-02-20",34.970001
"102","2014-02-21",34.040001
"103","2014-02-24",33.93
"104","2014-02-25",33.599998
"105","2014-02-26",33.5
"106","2014-02-27",33.759998
"107","2014-02-28",33.450001
"108","2014-03-03",33.720001
"109","2014-03-04",34.509998
"110","2014-03-05",34.110001
"111","2014-03-06",34.700001
"112","2014-03-07",34.689999
