"","date","IKNX"
"1","2007-01-03",7.53
"2","2007-01-04",7.53
"3","2007-01-05",7.31
"4","2007-01-08",7.22
"5","2007-01-09",7.6
"6","2007-01-10",7.6
"7","2007-01-11",7.61
"8","2007-01-12",7.61
"9","2007-01-16",7.61
"10","2007-01-17",7.35
"11","2007-01-18",7.35
"12","2007-01-19",7.4
"13","2007-01-22",7.49
"14","2007-01-23",7.47
"15","2007-01-24",7.98
"16","2007-01-25",7.71
"17","2007-01-26",7.71
"18","2007-01-29",8.05
"19","2007-01-30",8.05
"20","2007-01-31",7.9
"21","2007-02-01",7.9
"22","2007-02-02",7.9
"23","2007-02-05",7.9
"24","2007-02-06",7.91
"25","2007-02-07",7.91
"26","2007-02-08",8.26
"27","2007-02-09",8.25
"28","2007-02-12",8.1
"29","2007-02-13",8.45
"30","2007-02-14",8.85
"31","2007-02-15",8.58
"32","2007-02-16",8.5
"33","2007-02-20",9.42
"34","2007-02-21",9.23
"35","2007-02-22",9.23
"36","2007-02-23",9.18
"37","2007-02-26",9
"38","2007-02-27",9
"39","2007-02-28",8.89
"40","2007-03-01",8.5
"41","2007-03-02",8.57
"42","2007-03-05",8.73
"43","2007-03-06",8.95
"44","2007-03-07",9.01
"45","2007-03-08",9.2
"46","2007-03-09",9.2
"47","2007-03-12",9.18
"48","2007-03-13",9.1
"49","2007-03-14",9
"50","2007-03-15",9.1
"51","2007-03-16",9.49
"52","2007-03-19",9.8
"53","2007-03-20",10.04
"54","2007-03-21",10.14
"55","2007-03-22",10.25
"56","2007-03-23",10.3
"57","2007-03-26",10.26
"58","2007-03-27",10.08
"59","2007-03-28",10.19
"60","2007-03-29",10.16
"61","2007-03-30",10.23
"62","2007-04-02",10.09
"63","2007-04-03",10.32
"64","2007-04-04",10.16
"65","2007-04-05",10.09
"66","2007-04-09",10.08
"67","2007-04-10",10.08
"68","2007-04-11",10.09
"69","2007-04-12",10.05
"70","2007-04-13",10.4
"71","2007-04-16",10.45
"72","2007-04-17",10.21
"73","2007-04-18",10.45
"74","2007-04-19",10.45
"75","2007-04-20",10.45
"76","2007-04-23",10.11
"77","2007-04-24",10.24
"78","2007-04-25",9.91
"79","2007-04-26",9.35
"80","2007-04-27",9.01
"81","2007-04-30",9.06
"82","2007-05-01",9.19
"83","2007-05-02",9.11
"84","2007-05-03",9.11
"85","2007-05-04",9.12
"86","2007-05-07",8.83
"87","2007-05-08",9.19
"88","2007-05-09",9.21
"89","2007-05-10",9.01
"90","2007-05-11",9.01
"91","2007-05-14",9.01
"92","2007-05-15",9.01
"93","2007-05-16",9.01
"94","2007-05-17",9.01
"95","2007-05-18",9.2
"96","2007-05-21",9.2
"97","2007-05-22",9.26
"98","2007-05-23",9.33
"99","2007-05-24",9.32
"100","2007-05-25",9.32
"101","2007-05-29",9.12
"102","2007-05-30",9
"103","2007-05-31",9
"104","2007-06-01",9
"105","2007-06-04",9.23
"106","2007-06-05",9.18
"107","2007-06-06",9.25
"108","2007-06-07",9.15
"109","2007-06-08",9.06
"110","2007-06-11",9.09
"111","2007-06-12",9.03
"112","2007-06-13",9.01
"113","2007-06-14",9.01
"114","2007-06-15",9.09
"115","2007-06-18",9.19
"116","2007-06-19",9.11
"117","2007-06-20",9.03
"118","2007-06-21",9.44
"119","2007-06-22",9.19
"120","2007-06-25",9.01
"121","2007-06-26",9.06
"122","2007-06-27",9.06
"123","2007-06-28",9.11
"124","2007-06-29",9.25
"125","2007-07-02",9.25
"126","2007-07-03",9.05
"127","2007-07-05",9.05
"128","2007-07-06",9.13
"129","2007-07-09",9.38
"130","2007-07-10",9.38
"131","2007-07-11",9.35
"132","2007-07-12",9.33
"133","2007-07-13",9.33
"134","2007-07-16",9.33
"135","2007-07-17",9.21
"136","2007-07-18",9.21
"137","2007-07-19",9.22
"138","2007-07-20",9.17
"139","2007-07-23",9.23
"140","2007-07-24",9.2
"141","2007-07-25",9.2
"142","2007-07-26",9.23
"143","2007-07-27",9.06
"144","2007-07-30",9.21
"145","2007-07-31",9.06
"146","2007-08-01",9.22
"147","2007-08-02",9.22
"148","2007-08-03",9.12
"149","2007-08-06",9.07
"150","2007-08-07",9.06
"151","2007-08-08",8.96
"152","2007-08-09",8.86
"153","2007-08-10",8.86
"154","2007-08-13",8.76
"155","2007-08-14",8.81
"156","2007-08-15",8.85
"157","2007-08-16",8.85
"158","2007-08-17",8.85
"159","2007-08-20",8.85
"160","2007-08-21",8.92
"161","2007-08-22",8.99
"162","2007-08-23",8.99
"163","2007-08-24",9
"164","2007-08-27",9
"165","2007-08-28",8.9
"166","2007-08-29",8.9
"167","2007-08-30",8.9
"168","2007-08-31",9.02
"169","2007-09-04",8.98
"170","2007-09-05",8.98
"171","2007-09-06",9
"172","2007-09-07",9
"173","2007-09-10",9.1
"174","2007-09-11",9.6
"175","2007-09-12",9.6
"176","2007-09-13",8.94
"177","2007-09-14",8.94
"178","2007-09-17",9.14
"179","2007-09-18",9.14
"180","2007-09-19",9.14
"181","2007-09-20",9.14
"182","2007-09-21",9.14
"183","2007-09-24",9.14
"184","2007-09-25",9.14
"185","2007-09-26",8.82
"186","2007-09-27",8.82
"187","2007-09-28",9.04
"188","2007-10-01",9.09
"189","2007-10-02",9.09
"190","2007-10-03",9.09
"191","2007-10-04",9.09
"192","2007-10-05",9.15
"193","2007-10-08",9.3
"194","2007-10-09",9.15
"195","2007-10-10",9.4
"196","2007-10-11",9.4
"197","2007-10-12",9.4
"198","2007-10-15",9.5
"199","2007-10-16",9.05
"200","2007-10-17",9.05
"201","2007-10-18",9.23
"202","2007-10-19",8.86
"203","2007-10-22",8.86
"204","2007-10-23",8.86
"205","2007-10-24",8.86
"206","2007-10-25",8.95
"207","2007-10-26",8.95
"208","2007-10-29",8.9
"209","2007-10-30",8.9
"210","2007-10-31",9.41
"211","2007-11-01",9.35
"212","2007-11-02",9.35
"213","2007-11-05",8.91
"214","2007-11-06",8.91
"215","2007-11-07",9
"216","2007-11-08",9.99
"217","2007-11-09",8.92
"218","2007-11-12",9.39
"219","2007-11-13",8.95
"220","2007-11-14",8.95
"221","2007-11-15",9.05
"222","2007-11-16",9.01
"223","2007-11-19",9.03
"224","2007-11-20",9.05
"225","2007-11-21",9.05
"226","2007-11-23",8.91
"227","2007-11-26",8.91
"228","2007-11-27",8.87
"229","2007-11-28",9
"230","2007-11-29",9
"231","2007-11-30",8.9
"232","2007-12-03",9.14
"233","2007-12-04",9.3
"234","2007-12-05",9
"235","2007-12-06",9.11
"236","2007-12-07",9.29
"237","2007-12-10",9.3
"238","2007-12-11",9.3
"239","2007-12-12",9.2
"240","2007-12-13",9.2
"241","2007-12-14",9.42
"242","2007-12-17",9.25
"243","2007-12-18",9.2
"244","2007-12-19",9.2
"245","2007-12-20",9.5
"246","2007-12-21",9.41
"247","2007-12-24",9.27
"248","2007-12-26",9.27
"249","2007-12-27",9.5
"250","2007-12-28",9.38
"251","2007-12-31",9.28
"252","2008-01-02",9.22
"253","2008-01-03",9.22
"254","2008-01-04",9.22
"255","2008-01-07",9.5
"256","2008-01-08",9.47
"257","2008-01-09",9.31
"258","2008-01-10",9.31
"259","2008-01-11",9.86
"260","2008-01-14",10.5
"261","2008-01-15",10.11
"262","2008-01-16",10.5
"263","2008-01-17",10.2
"264","2008-01-18",10
"265","2008-01-22",9.8
"266","2008-01-23",9.8
"267","2008-01-24",9.53
"268","2008-01-25",10.5
"269","2008-01-28",9.59
"270","2008-01-29",9.43
"271","2008-01-30",9.43
"272","2008-01-31",9.43
"273","2008-02-01",9.21
"274","2008-02-04",9.2
"275","2008-02-05",9.2
"276","2008-02-06",10
"277","2008-02-07",10
"278","2008-02-08",10
"279","2008-02-11",9.4
"280","2008-02-12",9.4
"281","2008-02-13",9.15
"282","2008-02-14",9.6
"283","2008-02-15",9.03
"284","2008-02-19",9.11
"285","2008-02-20",9.11
"286","2008-02-21",9.28
"287","2008-02-22",9.48
"288","2008-02-25",9.31
"289","2008-02-26",9.6
"290","2008-02-27",9.6
"291","2008-02-28",9.4
"292","2008-02-29",9.6
"293","2008-03-03",9.4
"294","2008-03-04",9.4
"295","2008-03-05",9.3
"296","2008-03-06",9.4
"297","2008-03-07",9.29
"298","2008-03-10",9.25
"299","2008-03-11",9.59
"300","2008-03-12",9.4
"301","2008-03-13",9.3
"302","2008-03-14",9.19
"303","2008-03-17",9.19
"304","2008-03-18",9.2
"305","2008-03-19",9.1
"306","2008-03-20",9.1
"307","2008-03-24",9.13
"308","2008-03-25",9.12
"309","2008-03-26",9.15
"310","2008-03-27",9.21
