"","date","CFBI"
"1","2017-04-28",13.29
"2","2017-05-01",13.47
"3","2017-05-02",13.57
"4","2017-05-03",13.47
"5","2017-05-04",13.4
"6","2017-05-05",13.37
"7","2017-05-08",13.4
"8","2017-05-09",13.4
"9","2017-05-10",13.34
"10","2017-05-11",13.12
"11","2017-05-12",13.08
"12","2017-05-15",13.025
"13","2017-05-16",13.03
"14","2017-05-17",13.05
"15","2017-05-18",13.028
"16","2017-05-19",13.05
"17","2017-05-22",13.06
"18","2017-05-23",13.08
"19","2017-05-24",13.04
"20","2017-05-25",13.05
"21","2017-05-26",13.05
"22","2017-05-30",13.036
"23","2017-05-31",13.05
"24","2017-06-01",13.05
"25","2017-06-02",13.07
"26","2017-06-05",13.15
"27","2017-06-06",13.45
"28","2017-06-07",13.44
"29","2017-06-08",13.56
"30","2017-06-09",13.75
"31","2017-06-12",14.96
"32","2017-06-13",14.68
"33","2017-06-14",14.89
"34","2017-06-15",14.27
"35","2017-06-16",13.02
"36","2017-06-19",13.74
"37","2017-06-20",13.73
"38","2017-06-21",13.71
"39","2017-06-22",13.43
"40","2017-06-23",14.19
"41","2017-06-26",13.55
"42","2017-06-27",13.71
"43","2017-06-28",13.47
"44","2017-06-29",13.47
"45","2017-06-30",13.53
"46","2017-07-03",13.64
"47","2017-07-05",13.61
"48","2017-07-06",13.75
"49","2017-07-07",13.98
"50","2017-07-10",13.73
"51","2017-07-11",13.34
"52","2017-07-12",13.52
"53","2017-07-13",13.31
"54","2017-07-14",13.3
"55","2017-07-17",13.49
"56","2017-07-18",13.4
"57","2017-07-19",13.36
"58","2017-07-20",13.16
"59","2017-07-21",13.37
"60","2017-07-24",13.197
"61","2017-07-25",13.15
"62","2017-07-26",13.12
"63","2017-07-27",13.06
"64","2017-07-28",13.18
"65","2017-07-31",13.01
"66","2017-08-01",13.02
"67","2017-08-02",13.13
"68","2017-08-03",13.06
"69","2017-08-04",13.06
"70","2017-08-07",13.1
"71","2017-08-08",13.15
"72","2017-08-09",13.1
"73","2017-08-10",12.851
"74","2017-08-11",12.95
"75","2017-08-14",12.9
"76","2017-08-15",12.75
"77","2017-08-16",12.79
"78","2017-08-17",12.625
"79","2017-08-18",12.67
"80","2017-08-21",12.8
"81","2017-08-22",12.797
"82","2017-08-23",12.98
"83","2017-08-24",12.96
"84","2017-08-25",12.86
"85","2017-08-28",12.86
"86","2017-08-29",12.58
"87","2017-08-30",12.54
"88","2017-08-31",12.5
"89","2017-09-01",12.35
"90","2017-09-05",12.367
"91","2017-09-06",12.36
"92","2017-09-07",12.1
"93","2017-09-08",12.56
"94","2017-09-11",12.58
"95","2017-09-12",12.78
"96","2017-09-13",13.12
"97","2017-09-14",13.17
"98","2017-09-15",13.39
"99","2017-09-18",13.4
"100","2017-09-19",13.53
"101","2017-09-20",13.37
"102","2017-09-21",13.36
"103","2017-09-22",13.4
"104","2017-09-25",13.58
"105","2017-09-26",13.58
"106","2017-09-27",13.64
"107","2017-09-28",13.448
"108","2017-09-29",13.485
"109","2017-10-02",13.485
"110","2017-10-03",13.33
"111","2017-10-04",13.31
"112","2017-10-05",13.09
"113","2017-10-06",13.03
"114","2017-10-09",13.098
"115","2017-10-10",12.96
"116","2017-10-11",12.95
"117","2017-10-12",13.08
"118","2017-10-13",13.042
"119","2017-10-16",13.04
"120","2017-10-17",13.18
"121","2017-10-18",13.17
"122","2017-10-19",13.2
"123","2017-10-20",13.29
"124","2017-10-23",13.12
"125","2017-10-24",13.235
"126","2017-10-25",13.235
"127","2017-10-26",13.218
"128","2017-10-27",13.109
"129","2017-10-30",13.12
"130","2017-10-31",13.28
"131","2017-11-01",13.28
"132","2017-11-02",13.2
"133","2017-11-03",13.13
"134","2017-11-06",13.089
"135","2017-11-07",12.89
"136","2017-11-08",12.765
"137","2017-11-09",12.88
"138","2017-11-10",12.75
"139","2017-11-13",12.549
"140","2017-11-14",12.62
"141","2017-11-15",12.7
"142","2017-11-16",12.57
"143","2017-11-17",12.5
"144","2017-11-20",12.437
"145","2017-11-21",12.5
"146","2017-11-22",12.96
"147","2017-11-24",13
"148","2017-11-27",12.94
"149","2017-11-28",12.75
"150","2017-11-29",12.85
"151","2017-11-30",12.73
"152","2017-12-01",12.37
"153","2017-12-04",12.29
"154","2017-12-05",12.15
"155","2017-12-06",12.04
"156","2017-12-07",11.98
"157","2017-12-08",12.13
"158","2017-12-11",12.12
"159","2017-12-12",11.88
"160","2017-12-13",11.9
"161","2017-12-14",12
"162","2017-12-15",12.15
"163","2017-12-18",12.14
"164","2017-12-19",12.02
"165","2017-12-20",11.84
"166","2017-12-21",11.96
"167","2017-12-22",11.9
"168","2017-12-26",11.88
"169","2017-12-27",11.87
"170","2017-12-28",11.85
"171","2017-12-29",11.6
"172","2018-01-02",11.73
"173","2018-01-03",11.79
"174","2018-01-04",11.8
"175","2018-01-05",11.7
"176","2018-01-08",11.57
"177","2018-01-09",11.478
"178","2018-01-10",11.5
"179","2018-01-11",11.288
"180","2018-01-12",11.46
"181","2018-01-16",11.39
"182","2018-01-17",11.375
"183","2018-01-18",11.423
"184","2018-01-19",11.5
"185","2018-01-22",11.92
"186","2018-01-23",12.13
"187","2018-01-24",12.182
"188","2018-01-25",12.07
"189","2018-01-26",12.07
"190","2018-01-29",11.92
"191","2018-01-30",12.053
"192","2018-01-31",11.91
"193","2018-02-01",11.725
"194","2018-02-02",11.2
"195","2018-02-05",11.07
"196","2018-02-06",11.31
"197","2018-02-07",11.253
