"","date","TVTY"
"1","2007-01-03",46
"2","2007-01-04",45.740002
"3","2007-01-05",44.669998
"4","2007-01-08",43.849998
"5","2007-01-09",43.540001
"6","2007-01-10",43.709999
"7","2007-01-11",43.970001
"8","2007-01-12",45.110001
"9","2007-01-16",45.07
"10","2007-01-17",44.060001
"11","2007-01-18",43.759998
"12","2007-01-19",44.689999
"13","2007-01-22",43.75
"14","2007-01-23",43.57
"15","2007-01-24",43.299999
"16","2007-01-25",42.860001
"17","2007-01-26",43.689999
"18","2007-01-29",44.080002
"19","2007-01-30",44.639999
"20","2007-01-31",45.41
"21","2007-02-01",45.779999
"22","2007-02-02",45.360001
"23","2007-02-05",44.139999
"24","2007-02-06",43.830002
"25","2007-02-07",44.07
"26","2007-02-08",44.720001
"27","2007-02-09",44.66
"28","2007-02-12",44.82
"29","2007-02-13",45.16
"30","2007-02-14",44.950001
"31","2007-02-15",45.139999
"32","2007-02-16",45.16
"33","2007-02-20",45.580002
"34","2007-02-21",46.209999
"35","2007-02-22",46.439999
"36","2007-02-23",46.34
"37","2007-02-26",44.889999
"38","2007-02-27",43.330002
"39","2007-02-28",43.490002
"40","2007-03-01",43.259998
"41","2007-03-02",42.98
"42","2007-03-05",41.599998
"43","2007-03-06",43.279999
"44","2007-03-07",45.779999
"45","2007-03-08",46.459999
"46","2007-03-09",45.619999
"47","2007-03-12",45.900002
"48","2007-03-13",44.66
"49","2007-03-14",44.98
"50","2007-03-15",45.740002
"51","2007-03-16",45.41
"52","2007-03-19",45.630001
"53","2007-03-20",46.049999
"54","2007-03-21",47.009998
"55","2007-03-22",47.43
"56","2007-03-23",47.450001
"57","2007-03-26",47.139999
"58","2007-03-27",47.110001
"59","2007-03-28",46.759998
"60","2007-03-29",46.439999
"61","2007-03-30",46.75
"62","2007-04-02",47.799999
"63","2007-04-03",48.66
"64","2007-04-04",48.290001
"65","2007-04-05",46.509998
"66","2007-04-09",45.540001
"67","2007-04-10",44.029999
"68","2007-04-11",43.77
"69","2007-04-12",44.790001
"70","2007-04-13",44.41
"71","2007-04-16",45.099998
"72","2007-04-17",45.360001
"73","2007-04-18",44.560001
"74","2007-04-19",44.23
"75","2007-04-20",44.43
"76","2007-04-23",44.310001
"77","2007-04-24",43.75
"78","2007-04-25",43.619999
"79","2007-04-26",43.330002
"80","2007-04-27",43.110001
"81","2007-04-30",42.419998
"82","2007-05-01",41.889999
"83","2007-05-02",42.209999
"84","2007-05-03",42.07
"85","2007-05-04",42.959999
"86","2007-05-07",44.27
"87","2007-05-08",44.310001
"88","2007-05-09",44.52
"89","2007-05-10",43.93
