"","date","OPTT"
"1","2007-04-25",3568
"2","2007-04-26",3336
"3","2007-04-27",3110
"4","2007-04-30",2868
"5","2007-05-01",2860
"6","2007-05-02",3184
"7","2007-05-03",3396
"8","2007-05-04",3468
"9","2007-05-07",3540
"10","2007-05-08",3510
"11","2007-05-09",3450
"12","2007-05-10",3450
"13","2007-05-11",3438
"14","2007-05-14",3548
"15","2007-05-15",3570
"16","2007-05-16",3456
"17","2007-05-17",3394
"18","2007-05-18",3350
"19","2007-05-21",3316
"20","2007-05-22",3300
"21","2007-05-23",3280
"22","2007-05-24",3140
"23","2007-05-25",3230
"24","2007-05-29",3138
"25","2007-05-30",3050
"26","2007-05-31",2966
"27","2007-06-01",3036
"28","2007-06-04",3062
"29","2007-06-05",3072
"30","2007-06-06",2932
"31","2007-06-07",3042
"32","2007-06-08",3048
"33","2007-06-11",3010
"34","2007-06-12",3024
"35","2007-06-13",3128
"36","2007-06-14",3182
"37","2007-06-15",3222
"38","2007-06-18",3154
"39","2007-06-19",3284
"40","2007-06-20",3288
"41","2007-06-21",3328
"42","2007-06-22",3170
"43","2007-06-25",3028
"44","2007-06-26",3012
"45","2007-06-27",3020
"46","2007-06-28",3040
"47","2007-06-29",3166
"48","2007-07-02",3082
"49","2007-07-03",3050
"50","2007-07-05",3024
"51","2007-07-06",3020
"52","2007-07-09",3040
"53","2007-07-10",2994
"54","2007-07-11",3128
"55","2007-07-12",3244
"56","2007-07-13",3160
"57","2007-07-16",3184
"58","2007-07-17",3220
"59","2007-07-18",3200
"60","2007-07-19",3382
"61","2007-07-20",3314
"62","2007-07-23",3202
"63","2007-07-24",3070
"64","2007-07-25",2992
"65","2007-07-26",2774
"66","2007-07-27",2778
"67","2007-07-30",2906
"68","2007-07-31",2950
"69","2007-08-01",2740
"70","2007-08-02",2710
"71","2007-08-03",2672
"72","2007-08-06",2348
"73","2007-08-07",2498
"74","2007-08-08",2494
"75","2007-08-09",2490
"76","2007-08-10",2472
"77","2007-08-13",2470
"78","2007-08-14",2478
"79","2007-08-15",2446
"80","2007-08-16",2520
"81","2007-08-17",2446
"82","2007-08-20",2380
"83","2007-08-21",2474
"84","2007-08-22",2502
"85","2007-08-23",2460
"86","2007-08-24",2462
"87","2007-08-27",2492
"88","2007-08-28",2484
"89","2007-08-29",2470
"90","2007-08-30",2500
"91","2007-08-31",2500
"92","2007-09-04",2516
"93","2007-09-05",2510
"94","2007-09-06",2534
"95","2007-09-07",2504
"96","2007-09-10",2390
"97","2007-09-11",2502
"98","2007-09-12",2542
"99","2007-09-13",2480
"100","2007-09-14",2744
"101","2007-09-17",2654
"102","2007-09-18",2764
"103","2007-09-19",2876
"104","2007-09-20",3164
"105","2007-09-21",3072
"106","2007-09-24",3006
"107","2007-09-25",2900
"108","2007-09-26",3060
"109","2007-09-27",3084
"110","2007-09-28",3144
"111","2007-10-01",3484
"112","2007-10-02",3434
"113","2007-10-03",3346
"114","2007-10-04",3416
"115","2007-10-05",3464
"116","2007-10-08",3340
"117","2007-10-09",3396
"118","2007-10-10",3408
"119","2007-10-11",3132
"120","2007-10-12",3072
"121","2007-10-15",3004
"122","2007-10-16",3150
"123","2007-10-17",3156
"124","2007-10-18",3176
"125","2007-10-19",3078
"126","2007-10-22",3160
"127","2007-10-23",3300
"128","2007-10-24",3256
"129","2007-10-25",3260
"130","2007-10-26",3296
"131","2007-10-29",3358
"132","2007-10-30",3366
"133","2007-10-31",3526
"134","2007-11-01",3318
"135","2007-11-02",3244
"136","2007-11-05",3246
"137","2007-11-06",3372
"138","2007-11-07",3300
"139","2007-11-08",3540
"140","2007-11-09",3634
"141","2007-11-12",3652
"142","2007-11-13",3518
"143","2007-11-14",3320
"144","2007-11-15",3152
"145","2007-11-16",3196
"146","2007-11-19",3116
"147","2007-11-20",2748
"148","2007-11-21",2554
"149","2007-11-23",2556
"150","2007-11-26",2554
"151","2007-11-27",2628
"152","2007-11-28",2798
"153","2007-11-29",2902
"154","2007-11-30",2902
"155","2007-12-03",2768
"156","2007-12-04",2802
"157","2007-12-05",2726
"158","2007-12-06",2800
"159","2007-12-07",2672
"160","2007-12-10",2694
"161","2007-12-11",2600
"162","2007-12-12",2500
"163","2007-12-13",2500
"164","2007-12-14",2470
"165","2007-12-17",2520
"166","2007-12-18",2434
"167","2007-12-19",2476
