"","date","ORCL"
"1","2007-01-03",17.51
"2","2007-01-04",17.68
"3","2007-01-05",17.639999
"4","2007-01-08",17.860001
"5","2007-01-09",17.82
"6","2007-01-10",17.77
"7","2007-01-11",17.389999
"8","2007-01-12",17.5
"9","2007-01-16",17.299999
"10","2007-01-17",17.52
"11","2007-01-18",17.120001
"12","2007-01-19",17.27
"13","2007-01-22",17
"14","2007-01-23",17.120001
"15","2007-01-24",17.139999
"16","2007-01-25",16.98
"17","2007-01-26",17.15
"18","2007-01-29",17.27
"19","2007-01-30",17.16
"20","2007-01-31",17.16
"21","2007-02-01",17.049999
"22","2007-02-02",17.42
"23","2007-02-05",17.16
"24","2007-02-06",17.02
"25","2007-02-07",16.91
"26","2007-02-08",16.709999
"27","2007-02-09",16.700001
"28","2007-02-12",16.65
"29","2007-02-13",16.620001
"30","2007-02-14",16.77
"31","2007-02-15",16.91
"32","2007-02-16",16.700001
"33","2007-02-20",16.98
"34","2007-02-21",17.200001
"35","2007-02-22",17.27
"36","2007-02-23",16.82
"37","2007-02-26",16.82
"38","2007-02-27",16.290001
"39","2007-02-28",16.43
"40","2007-03-01",16.77
"41","2007-03-02",16.709999
"42","2007-03-05",16.370001
"43","2007-03-06",16.879999
"44","2007-03-07",16.49
"45","2007-03-08",16.690001
"46","2007-03-09",16.629999
"47","2007-03-12",17.07
"48","2007-03-13",16.65
"49","2007-03-14",16.879999
"50","2007-03-15",16.719999
"51","2007-03-16",16.700001
"52","2007-03-19",17.18
"53","2007-03-20",17.549999
"54","2007-03-21",18.17
"55","2007-03-22",18.49
"56","2007-03-23",18.24
"57","2007-03-26",18.389999
"58","2007-03-27",18.49
"59","2007-03-28",18.17
"60","2007-03-29",18.16
"61","2007-03-30",18.129999
"62","2007-04-02",18.139999
"63","2007-04-03",18.360001
"64","2007-04-04",18.559999
"65","2007-04-05",18.67
"66","2007-04-09",18.57
"67","2007-04-10",18.85
"68","2007-04-11",18.59
"69","2007-04-12",18.700001
"70","2007-04-13",18.629999
"71","2007-04-16",18.9
"72","2007-04-17",18.889999
"73","2007-04-18",18.73
"74","2007-04-19",18.76
"75","2007-04-20",19
"76","2007-04-23",18.940001
"77","2007-04-24",18.82
"78","2007-04-25",18.9
"79","2007-04-26",18.950001
"80","2007-04-27",19.1
"81","2007-04-30",18.799999
"82","2007-05-01",18.59
"83","2007-05-02",18.860001
"84","2007-05-03",19.02
"85","2007-05-04",19.030001
"86","2007-05-07",19.049999
"87","2007-05-08",18.950001
"88","2007-05-09",18.83
"89","2007-05-10",18.49
"90","2007-05-11",18.98
"91","2007-05-14",18.940001
"92","2007-05-15",18.84
"93","2007-05-16",18.99
"94","2007-05-17",19.049999
"95","2007-05-18",19.25
"96","2007-05-21",19.32
"97","2007-05-22",19.370001
"98","2007-05-23",19.16
"99","2007-05-24",18.75
"100","2007-05-25",19.24
"101","2007-05-29",19.309999
"102","2007-05-30",19.42
"103","2007-05-31",19.379999
"104","2007-06-01",19.66
"105","2007-06-04",19.67
"106","2007-06-05",19.48
"107","2007-06-06",19.35
"108","2007-06-07",18.73
"109","2007-06-08",19.059999
"110","2007-06-11",19.209999
"111","2007-06-12",18.84
"112","2007-06-13",19.299999
"113","2007-06-14",19.639999
"114","2007-06-15",19.860001
"115","2007-06-18",19.790001
"116","2007-06-19",19.879999
"117","2007-06-20",19.530001
"118","2007-06-21",19.68
"119","2007-06-22",19.389999
"120","2007-06-25",19.48
"121","2007-06-26",19.16
"122","2007-06-27",19.690001
"123","2007-06-28",19.85
"124","2007-06-29",19.709999
"125","2007-07-02",19.92
"126","2007-07-03",20.07
"127","2007-07-05",20.49
"128","2007-07-06",20.4
"129","2007-07-09",20.16
"130","2007-07-10",19.719999
"131","2007-07-11",19.98
"132","2007-07-12",20.5
"133","2007-07-13",20.4
"134","2007-07-16",20.200001
"135","2007-07-17",20.379999
"136","2007-07-18",20.41
"137","2007-07-19",20.6
"138","2007-07-20",20.610001
"139","2007-07-23",20.780001
"140","2007-07-24",20.639999
"141","2007-07-25",20.58
"142","2007-07-26",20.01
"143","2007-07-27",19.620001
"144","2007-07-30",19.58
"145","2007-07-31",19.120001
"146","2007-08-01",19.790001
"147","2007-08-02",20.09
"148","2007-08-03",19.66
"149","2007-08-06",20.08
