"","date","XGN"
"1","2019-09-19",17.110001
"2","2019-09-20",17
"3","2019-09-23",17.5
"4","2019-09-24",16.790001
"5","2019-09-25",14.7
"6","2019-09-26",14.58
"7","2019-09-27",14.5
"8","2019-09-30",15.49
"9","2019-10-01",15.25
"10","2019-10-02",14.8
"11","2019-10-03",14.6
"12","2019-10-04",14.55
"13","2019-10-07",14.57
"14","2019-10-08",13.75
"15","2019-10-09",13.28
"16","2019-10-10",13.02
"17","2019-10-11",12.61
"18","2019-10-14",13
"19","2019-10-15",13
"20","2019-10-16",12.95
"21","2019-10-17",13.51
"22","2019-10-18",13.99
"23","2019-10-21",14.53
"24","2019-10-22",14.18
"25","2019-10-23",14.69
"26","2019-10-24",14.07
"27","2019-10-25",14.7
"28","2019-10-28",14.82
"29","2019-10-29",15.07
"30","2019-10-30",15.85
"31","2019-10-31",15.06
"32","2019-11-01",15.91
"33","2019-11-04",17.469999
"34","2019-11-05",18.9
"35","2019-11-06",20.379999
"36","2019-11-07",19.41
"37","2019-11-08",19.309999
"38","2019-11-11",19.76
"39","2019-11-12",19.49
"40","2019-11-13",19.24
"41","2019-11-14",18.700001
"42","2019-11-15",19.700001
"43","2019-11-18",19.33
"44","2019-11-19",19.110001
"45","2019-11-20",19
"46","2019-11-21",17.709999
"47","2019-11-22",18.129999
"48","2019-11-25",18
"49","2019-11-26",17.620001
"50","2019-11-27",17.01
"51","2019-11-29",17.84
"52","2019-12-02",18.129999
"53","2019-12-03",17.49
"54","2019-12-04",18.120001
"55","2019-12-05",18
"56","2019-12-06",18.290001
"57","2019-12-09",17.700001
"58","2019-12-10",18.09
"59","2019-12-11",17.52
"60","2019-12-12",17.540001
"61","2019-12-13",17.969999
"62","2019-12-16",18.82
"63","2019-12-17",18.59
"64","2019-12-18",20.530001
"65","2019-12-19",21.639999
"66","2019-12-20",21.809999
"67","2019-12-23",27.01
"68","2019-12-24",28
"69","2019-12-26",28.48
"70","2019-12-27",25.74
"71","2019-12-30",25.99
"72","2019-12-31",25.4
"73","2020-01-02",25.950001
"74","2020-01-03",24.639999
"75","2020-01-06",24.129999
"76","2020-01-07",24.33
"77","2020-01-08",24.51
"78","2020-01-09",24.190001
"79","2020-01-10",24.139999
"80","2020-01-13",24.74
"81","2020-01-14",24.34
"82","2020-01-15",24.030001
"83","2020-01-16",24.190001
"84","2020-01-17",23.5
"85","2020-01-21",22.959999
"86","2020-01-22",22.59
"87","2020-01-23",21.1
"88","2020-01-24",22.1
"89","2020-01-27",23.82
"90","2020-01-28",22.955
"91","2020-01-29",23.5
"92","2020-01-30",22.5
"93","2020-01-31",20.65
"94","2020-02-03",21.040001
"95","2020-02-04",20.43
"96","2020-02-05",20.709999
"97","2020-02-06",19.99
"98","2020-02-07",19.77
"99","2020-02-10",18.15
"100","2020-02-11",18.129999
"101","2020-02-12",18.040001
"102","2020-02-13",18.879999
"103","2020-02-14",21.059999
"104","2020-02-18",19.219999
"105","2020-02-19",19.200001
"106","2020-02-20",18.379999
"107","2020-02-21",17.82
"108","2020-02-24",17.26
"109","2020-02-25",16.33
"110","2020-02-26",17.85
