"","date","MDNA"
"1","2017-11-13",2.85
"2","2017-11-14",2.6
"3","2017-11-15",2.55
"4","2017-11-16",2.55
"5","2017-11-17",2.55
"6","2017-11-20",2.5
"7","2017-11-21",2.35
"8","2017-11-22",2.3
"9","2017-11-24",2.25
"10","2017-11-27",2.25
"11","2017-11-28",2.25
"12","2017-11-29",2.47
"13","2017-11-30",2.26
"14","2017-12-01",2.29
"15","2017-12-04",2.29
"16","2017-12-05",2.4
"17","2017-12-06",2.41
"18","2017-12-07",2.48
"19","2017-12-08",2.25
"20","2017-12-11",2.23
"21","2017-12-12",2.03
"22","2017-12-13",2
"23","2017-12-14",2
"24","2017-12-15",2.14
"25","2017-12-18",1.87
"26","2017-12-19",2
"27","2017-12-20",2.06
"28","2017-12-21",2.1
"29","2017-12-22",2.08
"30","2017-12-26",2.08
"31","2017-12-27",2.09
"32","2017-12-28",2.09
"33","2017-12-29",2
"34","2018-01-02",2.04
"35","2018-01-03",2.08
"36","2018-01-04",2.07
"37","2018-01-05",2.07
"38","2018-01-08",2.07
"39","2018-01-09",1.9
"40","2018-01-10",1.9
"41","2018-01-11",1.9
"42","2018-01-12",1.9
"43","2018-01-16",1.94
"44","2018-01-17",1.94
"45","2018-01-18",1.94
"46","2018-01-19",1.9
"47","2018-01-22",1.9
"48","2018-01-23",1.9
"49","2018-01-24",2.7
"50","2018-01-25",2.59
"51","2018-01-26",2.49
"52","2018-01-29",2.19
"53","2018-01-30",2.2
"54","2018-01-31",NA
"55","2018-02-01",NA
"56","2018-02-02",NA
"57","2018-02-05",NA
"58","2018-02-06",NA
"59","2018-02-07",NA
"60","2018-02-08",NA
"61","2018-02-09",NA
"62","2018-02-12",NA
"63","2018-02-13",NA
"64","2018-02-14",NA
"65","2018-02-15",NA
"66","2018-02-16",NA
"67","2018-02-20",NA
"68","2018-02-21",NA
"69","2018-02-22",NA
"70","2018-02-23",NA
"71","2018-02-26",NA
"72","2018-02-27",NA
"73","2018-02-28",NA
"74","2018-03-01",NA
"75","2018-03-02",NA
"76","2018-03-05",NA
"77","2018-03-06",NA
"78","2018-03-07",NA
"79","2018-03-08",NA
"80","2018-03-09",NA
"81","2018-03-12",NA
"82","2018-03-13",NA
"83","2018-03-14",NA
"84","2018-03-15",NA
"85","2018-03-16",NA
"86","2018-03-19",NA
"87","2018-03-20",NA
"88","2018-03-21",NA
"89","2018-03-22",NA
"90","2018-03-23",NA
"91","2018-03-26",NA
"92","2018-03-27",NA
"93","2018-03-28",NA
"94","2018-03-29",NA
"95","2018-04-02",NA
"96","2018-04-03",NA
"97","2018-04-04",NA
