"","date","SMBC"
"1","2007-01-03",7.375
"2","2007-01-04",7.62
"3","2007-01-05",7.615
"4","2007-01-08",7.515
"5","2007-01-09",7.615
"6","2007-01-10",7.275
"7","2007-01-11",7.495
"8","2007-01-12",7.495
"9","2007-01-16",7.495
"10","2007-01-17",7.495
"11","2007-01-18",7.495
"12","2007-01-19",7.495
"13","2007-01-22",7.495
"14","2007-01-23",7.495
"15","2007-01-24",7.495
"16","2007-01-25",7.495
"17","2007-01-26",7.495
"18","2007-01-29",7.495
"19","2007-01-30",7.5
"20","2007-01-31",7.605
"21","2007-02-01",7.605
"22","2007-02-02",7.695
"23","2007-02-05",7.695
"24","2007-02-06",7.695
"25","2007-02-07",7.695
"26","2007-02-08",7.695
"27","2007-02-09",7.675
"28","2007-02-12",7.675
"29","2007-02-13",7.605
"30","2007-02-14",7.675
"31","2007-02-15",7.675
"32","2007-02-16",7.675
"33","2007-02-20",7.505
"34","2007-02-21",7.5
"35","2007-02-22",7.325
"36","2007-02-23",7.325
"37","2007-02-26",7.325
"38","2007-02-27",7.325
"39","2007-02-28",7.5
"40","2007-03-01",7.5
"41","2007-03-02",7.5
"42","2007-03-05",7.5
"43","2007-03-06",7.36
"44","2007-03-07",7.36
"45","2007-03-08",7.36
"46","2007-03-09",7.635
"47","2007-03-12",7.67
"48","2007-03-13",7.675
"49","2007-03-14",7.67
"50","2007-03-15",7.675
"51","2007-03-16",7.675
"52","2007-03-19",7.675
"53","2007-03-20",7.675
"54","2007-03-21",7.75
"55","2007-03-22",7.75
"56","2007-03-23",7.505
"57","2007-03-26",7.7
"58","2007-03-27",7.515
"59","2007-03-28",7.515
"60","2007-03-29",7.74
"61","2007-03-30",7.74
"62","2007-04-02",7.59
"63","2007-04-03",7.59
"64","2007-04-04",7.59
"65","2007-04-05",7.445
"66","2007-04-09",7.445
"67","2007-04-10",7.355
"68","2007-04-11",7.355
"69","2007-04-12",7.305
"70","2007-04-13",7.305
"71","2007-04-16",7.245
"72","2007-04-17",7.26
"73","2007-04-18",7.275
"74","2007-04-19",7.275
"75","2007-04-20",7.495
"76","2007-04-23",7.36
"77","2007-04-24",7.265
"78","2007-04-25",7.495
"79","2007-04-26",7.485
"80","2007-04-27",7.305
"81","2007-04-30",7.375
"82","2007-05-01",7.375
"83","2007-05-02",7.385
"84","2007-05-03",7.385
"85","2007-05-04",7.385
"86","2007-05-07",7.605
"87","2007-05-08",7.48
"88","2007-05-09",7.46
"89","2007-05-10",7.45
"90","2007-05-11",7.45
"91","2007-05-14",7.35
