"","date","AVCT"
"1","2017-08-08",9.69
"2","2017-08-09",9.69
"3","2017-08-10",9.68
"4","2017-08-11",9.7
"5","2017-08-14",9.67
"6","2017-08-15",9.67
"7","2017-08-16",9.68
"8","2017-08-17",9.67
"9","2017-08-18",9.65
"10","2017-08-21",9.65
"11","2017-08-22",9.68
"12","2017-08-23",9.66
"13","2017-08-24",9.65
"14","2017-08-25",9.66
"15","2017-08-28",9.66
"16","2017-08-29",9.68
"17","2017-08-30",9.684
"18","2017-08-31",9.7
"19","2017-09-01",9.67
"20","2017-09-05",9.67
"21","2017-09-06",9.68
"22","2017-09-07",9.67
"23","2017-09-08",9.68
"24","2017-09-11",9.67
"25","2017-09-12",9.69
"26","2017-09-13",9.68
"27","2017-09-14",9.69
"28","2017-09-15",9.69
"29","2017-09-18",9.683
"30","2017-09-19",9.68
"31","2017-09-20",9.68
"32","2017-09-21",9.68
"33","2017-09-22",9.69
"34","2017-09-25",9.69
"35","2017-09-26",9.69
"36","2017-09-27",9.68
"37","2017-09-28",9.69
"38","2017-09-29",9.69
"39","2017-10-02",9.69
"40","2017-10-03",9.68
"41","2017-10-04",9.68
"42","2017-10-05",9.68
"43","2017-10-06",9.68
"44","2017-10-09",9.68
"45","2017-10-10",9.66
"46","2017-10-11",9.66
"47","2017-10-12",9.66
"48","2017-10-13",9.68
"49","2017-10-16",9.67
"50","2017-10-17",9.67
"51","2017-10-18",9.66
"52","2017-10-19",9.68
"53","2017-10-20",9.67
"54","2017-10-23",9.67
"55","2017-10-24",9.65
"56","2017-10-25",9.66
"57","2017-10-26",9.68
"58","2017-10-27",9.68
"59","2017-10-30",9.67
"60","2017-10-31",9.67
"61","2017-11-01",9.68
"62","2017-11-02",9.68
"63","2017-11-03",9.68
"64","2017-11-06",9.68
"65","2017-11-07",9.68
"66","2017-11-08",9.66
"67","2017-11-09",9.66
"68","2017-11-10",9.66
"69","2017-11-13",9.67
"70","2017-11-14",9.68
"71","2017-11-15",9.68
"72","2017-11-16",9.68
"73","2017-11-17",9.67
"74","2017-11-20",9.68
"75","2017-11-21",9.68
"76","2017-11-22",9.68
"77","2017-11-24",9.68
"78","2017-11-27",9.66
"79","2017-11-28",9.66
"80","2017-11-29",9.66
"81","2017-11-30",9.66
"82","2017-12-01",9.66
"83","2017-12-04",9.65
"84","2017-12-05",9.66
"85","2017-12-06",9.66
"86","2017-12-07",9.66
"87","2017-12-08",9.66
"88","2017-12-11",9.65
"89","2017-12-12",9.66
"90","2017-12-13",9.66
"91","2017-12-14",9.66
"92","2017-12-15",9.66
"93","2017-12-18",9.66
"94","2017-12-19",9.66
"95","2017-12-20",9.66
"96","2017-12-21",9.673
"97","2017-12-22",9.673
"98","2017-12-26",9.673
"99","2017-12-27",9.66
"100","2017-12-28",9.67
"101","2017-12-29",9.67
"102","2018-01-02",9.68
"103","2018-01-03",9.68
"104","2018-01-04",9.68
"105","2018-01-05",9.68
"106","2018-01-08",9.68
"107","2018-01-09",9.68
"108","2018-01-10",9.78
"109","2018-01-11",9.77
"110","2018-01-12",9.77
"111","2018-01-16",9.76
"112","2018-01-17",9.76
"113","2018-01-18",9.75
"114","2018-01-19",9.73
"115","2018-01-22",9.73
"116","2018-01-23",9.73
"117","2018-01-24",9.73
"118","2018-01-25",9.69
"119","2018-01-26",9.69
"120","2018-01-29",9.7
"121","2018-01-30",9.7
"122","2018-01-31",9.7
"123","2018-02-01",9.7
"124","2018-02-02",9.7
"125","2018-02-05",9.7
"126","2018-02-06",9.7
"127","2018-02-07",9.7
"128","2018-02-08",9.7
"129","2018-02-09",9.7
"130","2018-02-12",9.7
"131","2018-02-13",9.71
"132","2018-02-14",9.77
"133","2018-02-15",9.77
"134","2018-02-16",9.77
"135","2018-02-20",9.75
"136","2018-02-21",9.75
"137","2018-02-22",9.75
"138","2018-02-23",9.7
"139","2018-02-26",9.72
"140","2018-02-27",9.71
"141","2018-02-28",9.7
"142","2018-03-01",9.7
"143","2018-03-02",9.7
"144","2018-03-05",9.7
"145","2018-03-06",9.76
"146","2018-03-07",9.76
"147","2018-03-08",9.73
"148","2018-03-09",9.74
"149","2018-03-12",9.74
"150","2018-03-13",9.74
"151","2018-03-14",9.74
"152","2018-03-15",9.74
"153","2018-03-16",9.74
"154","2018-03-19",9.75
"155","2018-03-20",9.72
"156","2018-03-21",9.78
"157","2018-03-22",9.72
"158","2018-03-23",9.72
"159","2018-03-26",10.17
"160","2018-03-27",9.75
"161","2018-03-28",9.75
"162","2018-03-29",9.72
"163","2018-04-02",9.73
"164","2018-04-03",9.82
"165","2018-04-04",9.73
"166","2018-04-05",9.73
"167","2018-04-06",9.74
"168","2018-04-09",9.73
"169","2018-04-10",9.74
"170","2018-04-11",9.74
"171","2018-04-12",9.74
"172","2018-04-13",9.73
"173","2018-04-16",9.74
"174","2018-04-17",9.77
"175","2018-04-18",9.77
"176","2018-04-19",9.78
"177","2018-04-20",9.79
"178","2018-04-23",9.79
"179","2018-04-24",9.86
"180","2018-04-25",9.8
"181","2018-04-26",9.8
"182","2018-04-27",9.8
"183","2018-04-30",9.8
"184","2018-05-01",9.8
"185","2018-05-02",9.78
"186","2018-05-03",9.78
"187","2018-05-04",9.78
"188","2018-05-07",9.79
"189","2018-05-08",9.79
"190","2018-05-09",9.83
"191","2018-05-10",9.78
"192","2018-05-11",9.79
"193","2018-05-14",9.79
"194","2018-05-15",9.8
"195","2018-05-16",9.8
"196","2018-05-17",9.8
"197","2018-05-18",9.8
"198","2018-05-21",9.8
"199","2018-05-22",9.85
"200","2018-05-23",9.8
"201","2018-05-24",9.8
"202","2018-05-25",9.84
"203","2018-05-29",9.84
"204","2018-05-30",9.84
"205","2018-05-31",9.84
"206","2018-06-01",9.84
"207","2018-06-04",9.81
"208","2018-06-05",9.81
"209","2018-06-06",9.8
"210","2018-06-07",9.82
"211","2018-06-08",9.81
"212","2018-06-11",9.87
"213","2018-06-12",9.87
"214","2018-06-13",9.85
"215","2018-06-14",9.86
"216","2018-06-15",9.87
"217","2018-06-18",9.87
"218","2018-06-19",9.86
"219","2018-06-20",9.86
"220","2018-06-21",9.875
"221","2018-06-22",9.89
"222","2018-06-25",9.88
"223","2018-06-26",9.88
"224","2018-06-27",9.87
"225","2018-06-28",9.88
"226","2018-06-29",9.89
"227","2018-07-02",9.88
"228","2018-07-03",9.908
"229","2018-07-05",9.9
"230","2018-07-06",9.9
"231","2018-07-09",9.88
"232","2018-07-10",9.88
"233","2018-07-11",9.9
"234","2018-07-12",9.87
"235","2018-07-13",9.87
"236","2018-07-16",9.91
"237","2018-07-17",9.89
"238","2018-07-18",9.89
"239","2018-07-19",9.92
"240","2018-07-20",9.89
"241","2018-07-23",9.89
"242","2018-07-24",9.89
"243","2018-07-25",9.89
"244","2018-07-26",9.88
"245","2018-07-27",9.91
"246","2018-07-30",9.91
"247","2018-07-31",9.92
"248","2018-08-01",9.94
"249","2018-08-02",9.95
"250","2018-08-03",9.9
"251","2018-08-06",9.93
"252","2018-08-07",9.92
"253","2018-08-08",9.9
"254","2018-08-09",9.9
"255","2018-08-10",9.9
"256","2018-08-13",9.88
"257","2018-08-14",9.88
"258","2018-08-15",9.89
"259","2018-08-16",9.9
"260","2018-08-17",9.95
"261","2018-08-20",9.92
"262","2018-08-21",9.92
"263","2018-08-22",9.92
"264","2018-08-23",9.96
"265","2018-08-24",9.95
"266","2018-08-27",9.92
"267","2018-08-28",9.92
"268","2018-08-29",9.935
"269","2018-08-30",9.93
"270","2018-08-31",9.87
"271","2018-09-04",9.95
"272","2018-09-05",9.94
"273","2018-09-06",9.94
"274","2018-09-07",9.93
"275","2018-09-10",9.92
"276","2018-09-11",9.95
"277","2018-09-12",9.95
"278","2018-09-13",9.925
"279","2018-09-14",9.93
"280","2018-09-17",9.92
"281","2018-09-18",9.95
"282","2018-09-19",9.965
"283","2018-09-20",9.965
"284","2018-09-21",9.96
"285","2018-09-24",9.96
