"","date","BZUN"
"1","2015-05-20",10
"2","2015-05-21",10.44
"3","2015-05-22",11.08
"4","2015-05-26",12.78
"5","2015-05-27",12.24
"6","2015-05-28",11.88
"7","2015-05-29",12.22
"8","2015-06-01",11.49
"9","2015-06-02",11.34
"10","2015-06-03",10.91
"11","2015-06-04",10.76
"12","2015-06-05",10.96
"13","2015-06-08",11.85
"14","2015-06-09",11.37
"15","2015-06-10",11.59
"16","2015-06-11",11.85
"17","2015-06-12",12.48
"18","2015-06-15",11.84
"19","2015-06-16",11.93
"20","2015-06-17",11.89
"21","2015-06-18",12.09
"22","2015-06-19",11.77
"23","2015-06-22",11.62
"24","2015-06-23",11.75
"25","2015-06-24",11.71
"26","2015-06-25",11.44
"27","2015-06-26",11.06
"28","2015-06-29",10.12
"29","2015-06-30",10.77
"30","2015-07-01",10.31
"31","2015-07-02",10.23
"32","2015-07-06",9.55
"33","2015-07-07",7.425
"34","2015-07-08",7.16
"35","2015-07-09",8.13
"36","2015-07-10",8.33
"37","2015-07-13",8.15
"38","2015-07-14",8.09
"39","2015-07-15",7.67
"40","2015-07-16",7.47
"41","2015-07-17",7.67
"42","2015-07-20",7.36
"43","2015-07-21",7.75
"44","2015-07-22",8.97
"45","2015-07-23",8.68
"46","2015-07-24",8.13
"47","2015-07-27",8.79
"48","2015-07-28",8.37
"49","2015-07-29",8.53
"50","2015-07-30",8.35
"51","2015-07-31",8.31
"52","2015-08-03",8.38
"53","2015-08-04",8.4
"54","2015-08-05",8.41
"55","2015-08-06",8.19
"56","2015-08-07",8.28
"57","2015-08-10",8.55
"58","2015-08-11",8.24
"59","2015-08-12",8.09
"60","2015-08-13",7.7
"61","2015-08-14",7.73
"62","2015-08-17",7.74
"63","2015-08-18",7.87
"64","2015-08-19",6.9
"65","2015-08-20",6.02
"66","2015-08-21",5.65
"67","2015-08-24",4.69
"68","2015-08-25",4.66
"69","2015-08-26",4.69
"70","2015-08-27",5.18
"71","2015-08-28",5.28
"72","2015-08-31",5.12
"73","2015-09-01",4.89
"74","2015-09-02",4.94
"75","2015-09-03",5.28
"76","2015-09-04",5.15
"77","2015-09-08",5.34
"78","2015-09-09",5.1
"79","2015-09-10",5.11
"80","2015-09-11",5.09
"81","2015-09-14",4.99
"82","2015-09-15",5.08
"83","2015-09-16",5.29
"84","2015-09-17",5.35
"85","2015-09-18",5.43
"86","2015-09-21",5.15
"87","2015-09-22",5.19
"88","2015-09-23",4.96
"89","2015-09-24",5.11
"90","2015-09-25",5.03
"91","2015-09-28",4.8
"92","2015-09-29",4.8
"93","2015-09-30",4.82
"94","2015-10-01",4.64
"95","2015-10-02",5.25
"96","2015-10-05",5.22
"97","2015-10-06",5.29
"98","2015-10-07",5.82
"99","2015-10-08",5.72
"100","2015-10-09",5.49
"101","2015-10-12",5.51
"102","2015-10-13",5.66
"103","2015-10-14",5.42
"104","2015-10-15",5.8
"105","2015-10-16",5.94
"106","2015-10-19",5.82
"107","2015-10-20",6.1
"108","2015-10-21",5.94
"109","2015-10-22",6.13
"110","2015-10-23",6.53
"111","2015-10-26",7.54
"112","2015-10-27",7.33
"113","2015-10-28",7.82
"114","2015-10-29",8.3
"115","2015-10-30",8.64
"116","2015-11-02",8.35
"117","2015-11-03",8.09
"118","2015-11-04",7.85
"119","2015-11-05",7.45
"120","2015-11-06",7.3
"121","2015-11-09",7.31
"122","2015-11-10",6.93
"123","2015-11-11",6.82
"124","2015-11-12",7
"125","2015-11-13",6.13
"126","2015-11-16",6.35
"127","2015-11-17",6.69
"128","2015-11-18",6.78
"129","2015-11-19",6.87
"130","2015-11-20",7.6
"131","2015-11-23",7.97
"132","2015-11-24",8.88
"133","2015-11-25",9.5
"134","2015-11-27",8.79
"135","2015-11-30",7.81
"136","2015-12-01",8.19
"137","2015-12-02",8.11
"138","2015-12-03",7.78
"139","2015-12-04",7.91
"140","2015-12-07",7.66
"141","2015-12-08",8.11
"142","2015-12-09",8.05
"143","2015-12-10",8.43
"144","2015-12-11",8.05
"145","2015-12-14",8.05
"146","2015-12-15",8.43
"147","2015-12-16",8.63
"148","2015-12-17",8.57
"149","2015-12-18",8.86
"150","2015-12-21",8.72
"151","2015-12-22",8.82
"152","2015-12-23",8.41
"153","2015-12-24",8.56
"154","2015-12-28",8.37
"155","2015-12-29",8.16
"156","2015-12-30",8.21
"157","2015-12-31",8.21
"158","2016-01-04",7.47
"159","2016-01-05",7.55
"160","2016-01-06",7.52
"161","2016-01-07",6.77
"162","2016-01-08",6.75
"163","2016-01-11",6.51
"164","2016-01-12",6.72
"165","2016-01-13",6.53
"166","2016-01-14",6.94
"167","2016-01-15",6.53
"168","2016-01-19",6.46
"169","2016-01-20",6.14
"170","2016-01-21",6.47
"171","2016-01-22",6.73
"172","2016-01-25",6.7
"173","2016-01-26",6.4
"174","2016-01-27",6.25
"175","2016-01-28",6.49
"176","2016-01-29",6.6
"177","2016-02-01",6.475
"178","2016-02-02",6.36
"179","2016-02-03",6.23
"180","2016-02-04",6.03
"181","2016-02-05",5.96
"182","2016-02-08",5.35
"183","2016-02-09",5.36
"184","2016-02-10",5.42
"185","2016-02-11",5.08
