"","date","CERS"
"1","2007-01-03",5.68
"2","2007-01-04",5.54
"3","2007-01-05",5.39
"4","2007-01-08",5.19
"5","2007-01-09",5.52
"6","2007-01-10",5.34
"7","2007-01-11",5.41
"8","2007-01-12",5.44
"9","2007-01-16",6.14
"10","2007-01-17",5.74
"11","2007-01-18",5.61
"12","2007-01-19",5.82
"13","2007-01-22",5.63
"14","2007-01-23",5.67
"15","2007-01-24",5.66
"16","2007-01-25",5.47
"17","2007-01-26",5.42
"18","2007-01-29",5.67
"19","2007-01-30",5.73
"20","2007-01-31",5.8
"21","2007-02-01",6.1
"22","2007-02-02",6.31
"23","2007-02-05",6.28
"24","2007-02-06",5.92
"25","2007-02-07",6.05
"26","2007-02-08",5.83
"27","2007-02-09",5.65
"28","2007-02-12",5.68
"29","2007-02-13",5.63
"30","2007-02-14",5.63
"31","2007-02-15",5.52
"32","2007-02-16",5.73
"33","2007-02-20",5.84
"34","2007-02-21",5.71
"35","2007-02-22",5.74
"36","2007-02-23",6.03
"37","2007-02-26",5.82
"38","2007-02-27",5.37
"39","2007-02-28",5.34
"40","2007-03-01",5.73
"41","2007-03-02",5.86
"42","2007-03-05",5.5
"43","2007-03-06",5.6
"44","2007-03-07",6.61
"45","2007-03-08",6.46
"46","2007-03-09",6.41
"47","2007-03-12",6.41
"48","2007-03-13",6.38
"49","2007-03-14",6.39
"50","2007-03-15",6.43
"51","2007-03-16",6.58
"52","2007-03-19",6.63
"53","2007-03-20",6.73
"54","2007-03-21",6.8
"55","2007-03-22",6.77
"56","2007-03-23",6.67
"57","2007-03-26",6.61
"58","2007-03-27",6.63
"59","2007-03-28",6.82
"60","2007-03-29",6.81
"61","2007-03-30",6.75
"62","2007-04-02",6.93
"63","2007-04-03",7.11
"64","2007-04-04",7.17
"65","2007-04-05",7.31
"66","2007-04-09",7.24
"67","2007-04-10",7.3
"68","2007-04-11",7.18
"69","2007-04-12",7.46
"70","2007-04-13",7.47
"71","2007-04-16",7.48
"72","2007-04-17",7.67
"73","2007-04-18",7.56
"74","2007-04-19",7.44
"75","2007-04-20",7.68
"76","2007-04-23",7.55
"77","2007-04-24",7.75
"78","2007-04-25",7.67
"79","2007-04-26",7.94
"80","2007-04-27",7.92
"81","2007-04-30",7.44
"82","2007-05-01",7.44
"83","2007-05-02",6.47
"84","2007-05-03",6.48
"85","2007-05-04",6.33
"86","2007-05-07",6.09
"87","2007-05-08",5.89
"88","2007-05-09",5.67
"89","2007-05-10",5.54
"90","2007-05-11",5.63
"91","2007-05-14",5.42
"92","2007-05-15",5.31
"93","2007-05-16",5.13
"94","2007-05-17",5.5
"95","2007-05-18",5.8
"96","2007-05-21",6.1
"97","2007-05-22",6.14
"98","2007-05-23",5.91
"99","2007-05-24",5.64
"100","2007-05-25",5.83
