"","date","AOSL"
"1","2010-04-29",17.700001
"2","2010-04-30",17.91
"3","2010-05-03",17.9
"4","2010-05-04",17.33
"5","2010-05-05",16.700001
"6","2010-05-06",15.25
"7","2010-05-07",14.5
"8","2010-05-10",14.84
"9","2010-05-11",15
"10","2010-05-12",15.41
"11","2010-05-13",15.1
"12","2010-05-14",14.7
"13","2010-05-17",14.11
"14","2010-05-18",14.45
"15","2010-05-19",14.75
"16","2010-05-20",14.26
"17","2010-05-21",14.78
"18","2010-05-24",14.47
"19","2010-05-25",13.85
"20","2010-05-26",13.9
"21","2010-05-27",15.01
"22","2010-05-28",14.89
"23","2010-06-01",14.95
"24","2010-06-02",15.28
"25","2010-06-03",15.35
"26","2010-06-04",15.01
"27","2010-06-07",14.48
"28","2010-06-08",14.41
"29","2010-06-09",14
"30","2010-06-10",14.24
"31","2010-06-11",14.38
"32","2010-06-14",14.5
"33","2010-06-15",14.57
"34","2010-06-16",14.71
"35","2010-06-17",14.79
"36","2010-06-18",14.75
"37","2010-06-21",14.78
"38","2010-06-22",14.72
"39","2010-06-23",14.73
"40","2010-06-24",14.46
"41","2010-06-25",13.8
"42","2010-06-28",14.14
"43","2010-06-29",13.91
"44","2010-06-30",13.81
"45","2010-07-01",13.44
"46","2010-07-02",13.56
"47","2010-07-06",13.43
"48","2010-07-07",13.25
"49","2010-07-08",12.78
"50","2010-07-09",12.69
"51","2010-07-12",13.13
"52","2010-07-13",13.39
"53","2010-07-14",13.3
"54","2010-07-15",13.17
"55","2010-07-16",13.06
"56","2010-07-19",13.14
"57","2010-07-20",12.99
"58","2010-07-21",12.53
"59","2010-07-22",12.82
"60","2010-07-23",12.81
"61","2010-07-26",12.47
"62","2010-07-27",12.64
"63","2010-07-28",12.42
"64","2010-07-29",12.35
"65","2010-07-30",12.41
"66","2010-08-02",12.54
"67","2010-08-03",12.75
"68","2010-08-04",13.65
"69","2010-08-05",13.25
"70","2010-08-06",13.03
"71","2010-08-09",13.36
"72","2010-08-10",13.15
"73","2010-08-11",9.94
"74","2010-08-12",10.22
"75","2010-08-13",10.45
"76","2010-08-16",10.8
"77","2010-08-17",10.84
"78","2010-08-18",10.92
"79","2010-08-19",10.53
"80","2010-08-20",10.82
"81","2010-08-23",10.69
"82","2010-08-24",10.39
"83","2010-08-25",10.5
"84","2010-08-26",10.58
"85","2010-08-27",11.14
"86","2010-08-30",11.14
"87","2010-08-31",11.13
"88","2010-09-01",11.4
"89","2010-09-02",11.36
"90","2010-09-03",11.45
"91","2010-09-07",11.08
"92","2010-09-08",11.28
"93","2010-09-09",11.22
"94","2010-09-10",11.23
"95","2010-09-13",11.93
"96","2010-09-14",11.54
"97","2010-09-15",11.63
"98","2010-09-16",11.4
"99","2010-09-17",11.67
"100","2010-09-20",11.94
"101","2010-09-21",11.42
"102","2010-09-22",11.31
"103","2010-09-23",11.28
"104","2010-09-24",11.4
"105","2010-09-27",11.6
"106","2010-09-28",11.66
"107","2010-09-29",11.5
"108","2010-09-30",11.36
"109","2010-10-01",11.5
"110","2010-10-04",11.02
"111","2010-10-05",11.48
"112","2010-10-06",11.45
"113","2010-10-07",11.4
"114","2010-10-08",11.38
"115","2010-10-11",11.37
"116","2010-10-12",11.5
"117","2010-10-13",11.67
"118","2010-10-14",11.81
"119","2010-10-15",11.67
"120","2010-10-18",11.59
"121","2010-10-19",11.41
"122","2010-10-20",11.58
"123","2010-10-21",11.35
"124","2010-10-22",11.35
"125","2010-10-25",11.29
"126","2010-10-26",11.23
"127","2010-10-27",11
"128","2010-10-28",11.44
"129","2010-10-29",11.21
"130","2010-11-01",11.29
"131","2010-11-02",11.41
"132","2010-11-03",11.41
"133","2010-11-04",11.67
"134","2010-11-05",11.68
"135","2010-11-08",11.95
"136","2010-11-09",12.2
"137","2010-11-10",12.37
"138","2010-11-11",11.91
"139","2010-11-12",11.84
"140","2010-11-15",12.05
"141","2010-11-16",11.79
"142","2010-11-17",12
"143","2010-11-18",12.06
"144","2010-11-19",11.85
"145","2010-11-22",11.6
"146","2010-11-23",11.54
"147","2010-11-24",11.6
"148","2010-11-26",11.59
"149","2010-11-29",11.82
"150","2010-11-30",11.76
"151","2010-12-01",11.76
"152","2010-12-02",13.28
"153","2010-12-03",13.06
"154","2010-12-06",13.01
"155","2010-12-07",13.09
"156","2010-12-08",12.66
"157","2010-12-09",12.74
"158","2010-12-10",13
"159","2010-12-13",13.03
"160","2010-12-14",13.02
"161","2010-12-15",13.53
"162","2010-12-16",13.56
"163","2010-12-17",13.46
"164","2010-12-20",13.45
"165","2010-12-21",13.25
"166","2010-12-22",13.02
"167","2010-12-23",12.96
"168","2010-12-27",12.96
"169","2010-12-28",12.99
"170","2010-12-29",12.8
"171","2010-12-30",12.93
"172","2010-12-31",12.83
"173","2011-01-03",13.24
"174","2011-01-04",13.32
"175","2011-01-05",13.68
"176","2011-01-06",13.96
"177","2011-01-07",14.2
"178","2011-01-10",14.2
"179","2011-01-11",14.06
"180","2011-01-12",14.26
"181","2011-01-13",14.25
"182","2011-01-14",14.24
"183","2011-01-18",14.45
"184","2011-01-19",14.18
"185","2011-01-20",14.06
"186","2011-01-21",13.94
"187","2011-01-24",14.24
"188","2011-01-25",14.27
"189","2011-01-26",14.29
"190","2011-01-27",14.23
"191","2011-01-28",14.06
"192","2011-01-31",14.14
"193","2011-02-01",14.36
"194","2011-02-02",14.38
"195","2011-02-03",14.16
"196","2011-02-04",13.98
"197","2011-02-07",14.04
"198","2011-02-08",13.9
"199","2011-02-09",13.85
"200","2011-02-10",13.83
"201","2011-02-11",13.86
"202","2011-02-14",13.82
"203","2011-02-15",13.54
"204","2011-02-16",13.49
"205","2011-02-17",13.26
"206","2011-02-18",13.22
"207","2011-02-22",12.86
"208","2011-02-23",12.44
"209","2011-02-24",12.89
"210","2011-02-25",13.35
"211","2011-02-28",13.06
"212","2011-03-01",13
"213","2011-03-02",12.95
"214","2011-03-03",13.04
"215","2011-03-04",12.95
"216","2011-03-07",12.68
"217","2011-03-08",12.64
"218","2011-03-09",12.71
"219","2011-03-10",12.49
"220","2011-03-11",12.59
"221","2011-03-14",12.63
"222","2011-03-15",12.84
"223","2011-03-16",12.65
"224","2011-03-17",12.94
"225","2011-03-18",13.17
"226","2011-03-21",12.95
"227","2011-03-22",12.83
"228","2011-03-23",12.65
"229","2011-03-24",13.01
"230","2011-03-25",12.97
"231","2011-03-28",12.71
"232","2011-03-29",12.87
"233","2011-03-30",12.83
"234","2011-03-31",12.69
"235","2011-04-01",12.62
"236","2011-04-04",12.33
"237","2011-04-05",12.74
"238","2011-04-06",12.65
"239","2011-04-07",12.72
"240","2011-04-08",12.78
"241","2011-04-11",12.71
"242","2011-04-12",12.69
"243","2011-04-13",12.85
"244","2011-04-14",12.79
"245","2011-04-15",12.91
"246","2011-04-18",12.83
"247","2011-04-19",12.57
"248","2011-04-20",12.98
"249","2011-04-21",12.86
"250","2011-04-25",13.46
"251","2011-04-26",13.69
"252","2011-04-27",13.62
"253","2011-04-28",13.76
"254","2011-04-29",14.18
"255","2011-05-02",13.83
"256","2011-05-03",13.6
"257","2011-05-04",13.4
"258","2011-05-05",13.56
"259","2011-05-06",13.6
"260","2011-05-09",13.63
"261","2011-05-10",13.77
"262","2011-05-11",13.94
"263","2011-05-12",13.85
"264","2011-05-13",13.66
"265","2011-05-16",13.64
"266","2011-05-17",13.78
"267","2011-05-18",13.9
"268","2011-05-19",13.85
"269","2011-05-20",13.61
"270","2011-05-23",13.75
"271","2011-05-24",13.51
"272","2011-05-25",13.49
"273","2011-05-26",13.66
"274","2011-05-27",13.79
"275","2011-05-31",13.98
"276","2011-06-01",13.42
"277","2011-06-02",13.34
"278","2011-06-03",13.17
"279","2011-06-06",13.26
"280","2011-06-07",13.3
"281","2011-06-08",13.56
"282","2011-06-09",13.62
"283","2011-06-10",13.52
"284","2011-06-13",13.46
"285","2011-06-14",13.46
"286","2011-06-15",12.91
"287","2011-06-16",12.98
"288","2011-06-17",12.82
"289","2011-06-20",12.81
"290","2011-06-21",13.05
"291","2011-06-22",13.13
"292","2011-06-23",13.29
"293","2011-06-24",13.53
"294","2011-06-27",13.32
"295","2011-06-28",13.06
"296","2011-06-29",13.04
"297","2011-06-30",13.25
"298","2011-07-01",13.23
"299","2011-07-05",13.19
"300","2011-07-06",13.2
"301","2011-07-07",13.23
"302","2011-07-08",13.12
"303","2011-07-11",12.99
"304","2011-07-12",12.9
"305","2011-07-13",12.84
"306","2011-07-14",12.56
"307","2011-07-15",12.02
"308","2011-07-18",11.73
"309","2011-07-19",12
"310","2011-07-20",11.91
"311","2011-07-21",11.98
"312","2011-07-22",11.82
"313","2011-07-25",11.66
"314","2011-07-26",11.06
"315","2011-07-27",11.1
"316","2011-07-28",11.16
"317","2011-07-29",11.24
"318","2011-08-01",11.18
"319","2011-08-02",10.78
"320","2011-08-03",11.35
"321","2011-08-04",10.65
"322","2011-08-05",10.12
"323","2011-08-08",9.34
"324","2011-08-09",9.97
"325","2011-08-10",9.63
"326","2011-08-11",9.09
"327","2011-08-12",8.67
"328","2011-08-15",8.85
"329","2011-08-16",8.59
"330","2011-08-17",8.42
"331","2011-08-18",8.14
"332","2011-08-19",8.06
"333","2011-08-22",7.88
"334","2011-08-23",8.42
"335","2011-08-24",8.38
"336","2011-08-25",8.33
"337","2011-08-26",8.17
"338","2011-08-29",8.68
"339","2011-08-30",8.51
"340","2011-08-31",8.82
"341","2011-09-01",8.36
"342","2011-09-02",7.86
"343","2011-09-06",8.21
"344","2011-09-07",8.22
"345","2011-09-08",7.9
"346","2011-09-09",7.32
"347","2011-09-12",7.67
"348","2011-09-13",7.85
"349","2011-09-14",8.25
"350","2011-09-15",8.26
"351","2011-09-16",8.28
"352","2011-09-19",8.17
"353","2011-09-20",8.05
"354","2011-09-21",7.87
"355","2011-09-22",7.43
"356","2011-09-23",7.68
"357","2011-09-26",7.96
"358","2011-09-27",8.14
"359","2011-09-28",8
"360","2011-09-29",8.07
"361","2011-09-30",8.21
"362","2011-10-03",7.4
"363","2011-10-04",8.09
"364","2011-10-05",7.87
"365","2011-10-06",7.68
"366","2011-10-07",7.46
"367","2011-10-10",7.65
"368","2011-10-11",7.93
"369","2011-10-12",8
"370","2011-10-13",8.03
"371","2011-10-14",8.37
"372","2011-10-17",8.26
"373","2011-10-18",8.23
"374","2011-10-19",7.76
"375","2011-10-20",7.62
"376","2011-10-21",7.64
"377","2011-10-24",7.84
"378","2011-10-25",7.66
"379","2011-10-26",8.28
"380","2011-10-27",9.13
"381","2011-10-28",8.71
"382","2011-10-31",8.4
"383","2011-11-01",8.44
"384","2011-11-02",8.63
"385","2011-11-03",8.86
"386","2011-11-04",8.82
"387","2011-11-07",8.94
"388","2011-11-08",9.05
"389","2011-11-09",8.7
