"","date","PAYC"
"1","2014-04-15",15.35
"2","2014-04-16",15.62
"3","2014-04-17",16.25
"4","2014-04-21",16.1
"5","2014-04-22",15.98
"6","2014-04-23",16.07
"7","2014-04-24",15.75
"8","2014-04-25",15.3
"9","2014-04-28",14.97
"10","2014-04-29",15.28
"11","2014-04-30",15.41
"12","2014-05-01",15.67
"13","2014-05-02",15.8
"14","2014-05-05",15.68
"15","2014-05-06",15.31
"16","2014-05-07",15.05
"17","2014-05-08",15.18
"18","2014-05-09",14.51
"19","2014-05-12",14.09
"20","2014-05-13",13.87
"21","2014-05-14",14.07
"22","2014-05-15",14.29
"23","2014-05-16",13.81
"24","2014-05-19",13.24
"25","2014-05-20",14
"26","2014-05-21",14
"27","2014-05-22",15.38
"28","2014-05-23",14.53
"29","2014-05-27",14.03
"30","2014-05-28",13.25
"31","2014-05-29",13.48
"32","2014-05-30",13.35
"33","2014-06-02",13.54
"34","2014-06-03",14.03
"35","2014-06-04",14.3
"36","2014-06-05",14.17
"37","2014-06-06",14.45
"38","2014-06-09",14.64
"39","2014-06-10",14.43
"40","2014-06-11",14.46
"41","2014-06-12",13.97
"42","2014-06-13",14
"43","2014-06-16",14.44
"44","2014-06-17",14
"45","2014-06-18",14.17
"46","2014-06-19",14.29
"47","2014-06-20",14.12
"48","2014-06-23",14.64
"49","2014-06-24",14.7
"50","2014-06-25",14.72
"51","2014-06-26",14.72
"52","2014-06-27",13.98
"53","2014-06-30",14.59
"54","2014-07-01",14.6
"55","2014-07-02",14.25
"56","2014-07-03",14.68
"57","2014-07-07",14.02
"58","2014-07-08",13.43
"59","2014-07-09",13.42
"60","2014-07-10",13.3
"61","2014-07-11",13.03
"62","2014-07-14",13.29
"63","2014-07-15",12.97
"64","2014-07-16",12.85
"65","2014-07-17",12.41
"66","2014-07-18",12.48
"67","2014-07-21",12.78
"68","2014-07-22",12.62
"69","2014-07-23",12.84
"70","2014-07-24",13
"71","2014-07-25",13
"72","2014-07-28",12.96
"73","2014-07-29",12.88
"74","2014-07-30",13
"75","2014-07-31",12.78
"76","2014-08-01",12.65
"77","2014-08-04",12.69
"78","2014-08-05",12.49
"79","2014-08-06",13.83
"80","2014-08-07",13.82
"81","2014-08-08",13.58
"82","2014-08-11",13.91
"83","2014-08-12",13.89
"84","2014-08-13",14.75
"85","2014-08-14",15.26
"86","2014-08-15",16.84
"87","2014-08-18",16.450001
"88","2014-08-19",16.190001
"89","2014-08-20",15.77
"90","2014-08-21",16.540001
"91","2014-08-22",17.450001
"92","2014-08-25",17.25
"93","2014-08-26",18.049999
"94","2014-08-27",17.98
"95","2014-08-28",17.879999
"96","2014-08-29",17.92
"97","2014-09-02",18.08
"98","2014-09-03",17.35
"99","2014-09-04",16.65
"100","2014-09-05",16.43
"101","2014-09-08",16.389999
"102","2014-09-09",16.110001
"103","2014-09-10",16.360001
"104","2014-09-11",16.700001
"105","2014-09-12",17.74
"106","2014-09-15",17.16
"107","2014-09-16",17.889999
"108","2014-09-17",17.73
"109","2014-09-18",18.049999
"110","2014-09-19",18.99
"111","2014-09-22",18.280001
"112","2014-09-23",18.299999
"113","2014-09-24",18.42
"114","2014-09-25",16.99
"115","2014-09-26",17.219999
"116","2014-09-29",16.91
"117","2014-09-30",16.559999
"118","2014-10-01",16.1
"119","2014-10-02",16.299999
"120","2014-10-03",16.57
"121","2014-10-06",16.15
"122","2014-10-07",15.76
"123","2014-10-08",15.68
"124","2014-10-09",14.88
"125","2014-10-10",14.88
"126","2014-10-13",14.98
"127","2014-10-14",15.04
