"","date","FOCS"
"1","2018-07-26",37.549999
"2","2018-07-27",38.009998
"3","2018-07-30",40.130001
"4","2018-07-31",40.740002
"5","2018-08-01",40
"6","2018-08-02",38.759998
"7","2018-08-03",38.580002
"8","2018-08-06",39.549999
"9","2018-08-07",40.009998
"10","2018-08-08",39.830002
"11","2018-08-09",40.599998
"12","2018-08-10",40.900002
"13","2018-08-13",40.919998
"14","2018-08-14",40.349998
"15","2018-08-15",39.720001
"16","2018-08-16",38.48
"17","2018-08-17",38.5
"18","2018-08-20",36.950001
"19","2018-08-21",39.299999
"20","2018-08-22",39.799999
"21","2018-08-23",39.52
"22","2018-08-24",39.34
"23","2018-08-27",39.830002
"24","2018-08-28",41
"25","2018-08-29",42.279999
"26","2018-08-30",42.200001
"27","2018-08-31",42.09
"28","2018-09-04",45.740002
"29","2018-09-05",47.709999
"30","2018-09-06",47.490002
"31","2018-09-07",46.91
"32","2018-09-10",46.990002
"33","2018-09-11",46.330002
"34","2018-09-12",46.610001
"35","2018-09-13",46.900002
"36","2018-09-14",45.040001
"37","2018-09-17",46.02
"38","2018-09-18",46.77
"39","2018-09-19",46.330002
"40","2018-09-20",46.889999
"41","2018-09-21",47.650002
"42","2018-09-24",48.400002
"43","2018-09-25",46.380001
"44","2018-09-26",47.57
"45","2018-09-27",45.709999
"46","2018-09-28",47.459999
"47","2018-10-01",47.439999
"48","2018-10-02",46.290001
"49","2018-10-03",47.02
"50","2018-10-04",46.130001
"51","2018-10-05",45.310001
"52","2018-10-08",44.130001
"53","2018-10-09",44.619999
"54","2018-10-10",42.34
"55","2018-10-11",41.25
"56","2018-10-12",40.560001
"57","2018-10-15",41.23
"58","2018-10-16",42.509998
"59","2018-10-17",42.150002
"60","2018-10-18",42.09
"61","2018-10-19",41.84
"62","2018-10-22",41.75
"63","2018-10-23",40.68
"64","2018-10-24",39
"65","2018-10-25",40.25
"66","2018-10-26",40.09
"67","2018-10-29",39.939999
"68","2018-10-30",38.700001
"69","2018-10-31",38.200001
"70","2018-11-01",38.119999
"71","2018-11-02",38.450001
"72","2018-11-05",38.869999
"73","2018-11-06",38.5
"74","2018-11-07",38.939999
"75","2018-11-08",39.25
"76","2018-11-09",38.200001
"77","2018-11-12",36.330002
"78","2018-11-13",31.99
"79","2018-11-14",30.4
"80","2018-11-15",31.1
"81","2018-11-16",31.219999
"82","2018-11-19",31.17
"83","2018-11-20",31.1
"84","2018-11-21",30.959999
"85","2018-11-23",30.85
"86","2018-11-26",30.93
"87","2018-11-27",30.389999
"88","2018-11-28",31.209999
"89","2018-11-29",30.1
"90","2018-11-30",30.92
"91","2018-12-03",31.43
"92","2018-12-04",29.030001
"93","2018-12-06",27.66
"94","2018-12-07",27.450001
"95","2018-12-10",27.799999
"96","2018-12-11",27.65
