"","date","HOFV"
"230","2019-02-08",10.18
"231","2019-02-11",10.18
"232","2019-02-12",10.18
"233","2019-02-13",10.18
"234","2019-02-14",10.18
"235","2019-02-15",10.18
"236","2019-02-19",10.17
"237","2019-02-20",10.17
"238","2019-02-21",10.17
"239","2019-02-22",10.17
"240","2019-02-25",10.17
"241","2019-02-26",10.17
"242","2019-02-27",10.17
"243","2019-02-28",10.17
"244","2019-03-01",10.165
"245","2019-03-04",10.18
"246","2019-03-05",10.18
"247","2019-03-06",10.18
"248","2019-03-07",10.18
"249","2019-03-08",10.18
"250","2019-03-11",10.23
"251","2019-03-12",10.21
"252","2019-03-13",10.21
"253","2019-03-14",10.26
"254","2019-03-15",10.26
"255","2019-03-18",10.26
"256","2019-03-19",10.22
"257","2019-03-20",10.22
"258","2019-03-21",10.21
"259","2019-03-22",10.21
"260","2019-03-25",10.21
"261","2019-03-26",10.21
"262","2019-03-27",10.21
"263","2019-03-28",10.21
"264","2019-03-29",10.21
"265","2019-04-01",10.21
"266","2019-04-02",10.22
"267","2019-04-03",10.22
"268","2019-04-04",10.22
"269","2019-04-05",10.24
"270","2019-04-08",10.22
"271","2019-04-09",10.22
"272","2019-04-10",10.22
"273","2019-04-11",10.22
"274","2019-04-12",10.22
"275","2019-04-15",10.23
"276","2019-04-16",10.25
"277","2019-04-17",10.25
"278","2019-04-18",10.255
"279","2019-04-22",10.25
"280","2019-04-23",10.3
"281","2019-04-24",10.3
"282","2019-04-25",10.268
"283","2019-04-26",10.275
"284","2019-04-29",10.25
"285","2019-04-30",10.25
"286","2019-05-01",10.26
"287","2019-05-02",10.26
"288","2019-05-03",10.26
"289","2019-05-06",10.26
"290","2019-05-07",10.26
"291","2019-05-08",10.26
"292","2019-05-09",10.25
"293","2019-05-10",10.279
"294","2019-05-13",10.25
"295","2019-05-14",10.25
"296","2019-05-15",10.25
"297","2019-05-16",10.25
"298","2019-05-17",10.25
"299","2019-05-20",10.3
"300","2019-05-21",10.3
"301","2019-05-22",10.29
"302","2019-05-23",10.3
"303","2019-05-24",10.29
"304","2019-05-28",10.305
"305","2019-05-29",10.29
"306","2019-05-30",10.28
"307","2019-05-31",10.28
"308","2019-06-03",10.28
"309","2019-06-04",10.28
"310","2019-06-05",10.337
"311","2019-06-06",10.35
"312","2019-06-07",10.35
"313","2019-06-10",10.35
"314","2019-06-11",10.35
"315","2019-06-12",10.35
"316","2019-06-13",10.35
"317","2019-06-14",10.35
"318","2019-06-17",10.35
"319","2019-06-18",10.38
"320","2019-06-19",10.38
"321","2019-06-20",10.34
"322","2019-06-21",10.355
"323","2019-06-24",10.355
"324","2019-06-25",10.35
"325","2019-06-26",10.35
"326","2019-06-27",10.35
"327","2019-06-28",10.33
"328","2019-07-01",10.33
"329","2019-07-02",10.33
"330","2019-07-03",10.33
"331","2019-07-05",10.33
"332","2019-07-08",10.33
"333","2019-07-09",10.33
"334","2019-07-10",10.33
"335","2019-07-11",10.33
"336","2019-07-12",10.33
"337","2019-07-15",10.35
"338","2019-07-16",10.35
"339","2019-07-17",10.35
"340","2019-07-18",10.35
"341","2019-07-19",10.35
"342","2019-07-22",10.35
"343","2019-07-23",10.382
"344","2019-07-24",10.36
"345","2019-07-25",10.36
"346","2019-07-26",10.36
"347","2019-07-29",10.36
"348","2019-07-30",10.402
"349","2019-07-31",10.378
"350","2019-08-01",10.385
"351","2019-08-02",10.39
"352","2019-08-05",10.39
"353","2019-08-06",10.4
"354","2019-08-07",10.4
"355","2019-08-08",10.4
"356","2019-08-09",10.4
"357","2019-08-12",10.41
"358","2019-08-13",10.41
"359","2019-08-14",10.41
"360","2019-08-15",10.41
