"","date","ITW"
"1","2007-01-03",45.889999
"2","2007-01-04",46.169998
"3","2007-01-05",46
"4","2007-01-08",46.169998
"5","2007-01-09",46.52
"6","2007-01-10",46.799999
"7","2007-01-11",47.48
"8","2007-01-12",47.549999
"9","2007-01-16",47.75
"10","2007-01-17",47.580002
"11","2007-01-18",47.41
"12","2007-01-19",47.48
"13","2007-01-22",47.049999
"14","2007-01-23",47.470001
"15","2007-01-24",47.43
"16","2007-01-25",47.080002
"17","2007-01-26",46.950001
"18","2007-01-29",46.91
"19","2007-01-30",50.150002
"20","2007-01-31",50.990002
"21","2007-02-01",51.799999
"22","2007-02-02",51.48
"23","2007-02-05",51.720001
"24","2007-02-06",51.900002
"25","2007-02-07",52
"26","2007-02-08",51.75
"27","2007-02-09",51.330002
"28","2007-02-12",51.66
"29","2007-02-13",51.950001
"30","2007-02-14",52.77
"31","2007-02-15",53.080002
"32","2007-02-16",52.549999
"33","2007-02-20",53.330002
"34","2007-02-21",53.43
"35","2007-02-22",52.860001
"36","2007-02-23",52.77
"37","2007-02-26",52.599998
"38","2007-02-27",51.389999
"39","2007-02-28",51.639999
"40","2007-03-01",51.529999
"41","2007-03-02",50.900002
"42","2007-03-05",50.209999
"43","2007-03-06",50.529999
"44","2007-03-07",50.779999
"45","2007-03-08",51.139999
"46","2007-03-09",50.880001
"47","2007-03-12",50.98
"48","2007-03-13",49.639999
"49","2007-03-14",49.5
"50","2007-03-15",49.93
"51","2007-03-16",50.41
"52","2007-03-19",51.27
"53","2007-03-20",51.200001
"54","2007-03-21",52.599998
"55","2007-03-22",52.66
"56","2007-03-23",52.869999
"57","2007-03-26",52.450001
"58","2007-03-27",52.040001
"59","2007-03-28",51.349998
"60","2007-03-29",51.560001
"61","2007-03-30",51.599998
"62","2007-04-02",51.759998
"63","2007-04-03",52.200001
"64","2007-04-04",52.43
"65","2007-04-05",52.32
"66","2007-04-09",52.490002
"67","2007-04-10",52.799999
"68","2007-04-11",52.209999
"69","2007-04-12",51.830002
"70","2007-04-13",52.27
"71","2007-04-16",53.029999
"72","2007-04-17",53.560001
"73","2007-04-18",51.759998
"74","2007-04-19",51.310001
"75","2007-04-20",51.68
"76","2007-04-23",51.619999
"77","2007-04-24",51.380001
"78","2007-04-25",51.669998
"79","2007-04-26",51.459999
"80","2007-04-27",51.959999
"81","2007-04-30",51.310001
