"","date","RIBT"
"1","2007-01-03",510
"2","2007-01-04",502
"3","2007-01-05",504
"4","2007-01-08",480
"5","2007-01-09",450
"6","2007-01-10",442
"7","2007-01-11",472
"8","2007-01-12",474
"9","2007-01-16",466
"10","2007-01-17",466
"11","2007-01-18",466
"12","2007-01-19",478
"13","2007-01-22",472
"14","2007-01-23",468
"15","2007-01-24",458
"16","2007-01-25",454
"17","2007-01-26",458
"18","2007-01-29",464
"19","2007-01-30",464
"20","2007-01-31",472
"21","2007-02-01",490
"22","2007-02-02",498
"23","2007-02-05",506
"24","2007-02-06",516
"25","2007-02-07",518
"26","2007-02-08",526
"27","2007-02-09",536
"28","2007-02-12",576
"29","2007-02-13",626
"30","2007-02-14",614
"31","2007-02-15",620
"32","2007-02-16",586
"33","2007-02-20",636
"34","2007-02-21",670
"35","2007-02-22",658
"36","2007-02-23",660
"37","2007-02-26",678
"38","2007-02-27",652
"39","2007-02-28",638
"40","2007-03-01",644
"41","2007-03-02",628
"42","2007-03-05",606
"43","2007-03-06",628
"44","2007-03-07",630
"45","2007-03-08",598
"46","2007-03-09",604
"47","2007-03-12",596
"48","2007-03-13",560
"49","2007-03-14",602
"50","2007-03-15",604
"51","2007-03-16",600
"52","2007-03-19",594
"53","2007-03-20",604
"54","2007-03-21",598
"55","2007-03-22",602
"56","2007-03-23",606
"57","2007-03-26",626
"58","2007-03-27",620
"59","2007-03-28",614
"60","2007-03-29",616
"61","2007-03-30",602
"62","2007-04-02",640
"63","2007-04-03",624
"64","2007-04-04",606
"65","2007-04-05",616
"66","2007-04-09",644
"67","2007-04-10",722
"68","2007-04-11",732
"69","2007-04-12",702
"70","2007-04-13",720
"71","2007-04-16",790
"72","2007-04-17",800
"73","2007-04-18",796
"74","2007-04-19",788
"75","2007-04-20",762
"76","2007-04-23",790
"77","2007-04-24",780
"78","2007-04-25",776
"79","2007-04-26",776
"80","2007-04-27",782
"81","2007-04-30",794
"82","2007-05-01",752
"83","2007-05-02",796
"84","2007-05-03",790
"85","2007-05-04",798
"86","2007-05-07",800
"87","2007-05-08",798
"88","2007-05-09",860
"89","2007-05-10",910
"90","2007-05-11",942
"91","2007-05-14",1000
"92","2007-05-15",920
"93","2007-05-16",744
"94","2007-05-17",746
"95","2007-05-18",756
"96","2007-05-21",786
"97","2007-05-22",744
"98","2007-05-23",748
"99","2007-05-24",666
"100","2007-05-25",662
"101","2007-05-29",680
"102","2007-05-30",680
"103","2007-05-31",680
"104","2007-06-01",662
"105","2007-06-04",700
"106","2007-06-05",718
"107","2007-06-06",708
"108","2007-06-07",700
"109","2007-06-08",700
"110","2007-06-11",706
"111","2007-06-12",706
"112","2007-06-13",730
"113","2007-06-14",752
"114","2007-06-15",764
"115","2007-06-18",754
"116","2007-06-19",764
"117","2007-06-20",770
"118","2007-06-21",764
"119","2007-06-22",672
"120","2007-06-25",678
"121","2007-06-26",680
"122","2007-06-27",686
"123","2007-06-28",672
"124","2007-06-29",682
"125","2007-07-02",662
"126","2007-07-03",636
"127","2007-07-05",598
"128","2007-07-06",636
"129","2007-07-09",624
"130","2007-07-10",614
"131","2007-07-11",614
"132","2007-07-12",600
"133","2007-07-13",596
"134","2007-07-16",596
"135","2007-07-17",596
"136","2007-07-18",580
"137","2007-07-19",568
"138","2007-07-20",550
"139","2007-07-23",520
"140","2007-07-24",580
"141","2007-07-25",574
"142","2007-07-26",584
"143","2007-07-27",566
"144","2007-07-30",610
"145","2007-07-31",624
"146","2007-08-01",628
"147","2007-08-02",626
"148","2007-08-03",584
"149","2007-08-06",550
"150","2007-08-07",560
"151","2007-08-08",570
"152","2007-08-09",560
"153","2007-08-10",552
"154","2007-08-13",566
"155","2007-08-14",510
"156","2007-08-15",370
"157","2007-08-16",332
"158","2007-08-17",378
"159","2007-08-20",420
"160","2007-08-21",386
