"","date","SOLY"
"1","2019-02-19",4.87
"2","2019-02-20",4.85
"3","2019-02-21",4.83
"4","2019-02-22",4.617
"5","2019-02-25",4.7
"6","2019-02-26",4.58
"7","2019-02-27",4.343
"8","2019-02-28",4.64
"9","2019-03-01",4.99
"10","2019-03-04",4.8
"11","2019-03-05",4.59
"12","2019-03-06",4.62
"13","2019-03-07",4.74
"14","2019-03-08",4.9
"15","2019-03-11",4.85
"16","2019-03-12",4.95
"17","2019-03-13",5.9
"18","2019-03-14",6.49
"19","2019-03-15",6.47
"20","2019-03-18",6.21
"21","2019-03-19",7.3
"22","2019-03-20",7.35
"23","2019-03-21",7.95
"24","2019-03-22",7.817
"25","2019-03-25",7.21
"26","2019-03-26",6.86
"27","2019-03-27",6.73
"28","2019-03-28",7.3
"29","2019-03-29",8.1
"30","2019-04-01",8.97
"31","2019-04-02",9.35
"32","2019-04-03",9
"33","2019-04-04",10
"34","2019-04-05",10.59
"35","2019-04-08",11.33
"36","2019-04-09",11.8
"37","2019-04-10",12.56
"38","2019-04-11",13.31
"39","2019-04-12",12.44
"40","2019-04-15",14.25
"41","2019-04-16",14.81
"42","2019-04-17",13.21
"43","2019-04-18",11.89
"44","2019-04-22",12.29
"45","2019-04-23",13.72
"46","2019-04-24",12.33
"47","2019-04-25",11.75
"48","2019-04-26",11.85
"49","2019-04-29",11.7
"50","2019-04-30",11.15
"51","2019-05-01",11.9
"52","2019-05-02",12.48
"53","2019-05-03",12.27
"54","2019-05-06",11.64
"55","2019-05-07",11.8
"56","2019-05-08",11.54
"57","2019-05-09",12.32
"58","2019-05-10",13.6
"59","2019-05-13",11.39
"60","2019-05-14",10.6
"61","2019-05-15",10.54
"62","2019-05-16",7.22
"63","2019-05-17",7.32
"64","2019-05-20",6.42
"65","2019-05-21",6.25
"66","2019-05-22",5.28
"67","2019-05-23",5.46
"68","2019-05-24",5.73
"69","2019-05-28",14.22
"70","2019-05-29",20.280001
"71","2019-05-30",18.700001
"72","2019-05-31",18.82
"73","2019-06-03",15.15
"74","2019-06-04",18.49
"75","2019-06-05",17.379999
"76","2019-06-06",16.120001
"77","2019-06-07",16.200001
"78","2019-06-10",17.9
"79","2019-06-11",17.690001
"80","2019-06-12",15.85
"81","2019-06-13",15.75
"82","2019-06-14",14.3
"83","2019-06-17",16.639999
"84","2019-06-18",17.219999
"85","2019-06-19",16.49
"86","2019-06-20",16.059999
"87","2019-06-21",15.25
"88","2019-06-24",14.91
"89","2019-06-25",14.72
"90","2019-06-26",14.11
"91","2019-06-27",14.62
"92","2019-06-28",14.7
"93","2019-07-01",13.82
"94","2019-07-02",12.51
"95","2019-07-03",12.15
"96","2019-07-05",11.43
"97","2019-07-08",18.5
"98","2019-07-09",16.799999
"99","2019-07-10",17.5
"100","2019-07-11",21.219999
"101","2019-07-12",18.549999
"102","2019-07-15",16.049999
"103","2019-07-16",14.37
"104","2019-07-17",13.91
"105","2019-07-18",12.93
"106","2019-07-19",12.08
"107","2019-07-22",14.72
"108","2019-07-23",14.02
"109","2019-07-24",13.94
"110","2019-07-25",12.69
"111","2019-07-26",12.76
"112","2019-07-29",12.69
"113","2019-07-30",12.17
"114","2019-07-31",12.13
"115","2019-08-01",12.32
"116","2019-08-02",11.64
"117","2019-08-05",11.74
"118","2019-08-06",11.58
"119","2019-08-07",11.16
"120","2019-08-08",10.09
"121","2019-08-09",9.01
"122","2019-08-12",10.9
"123","2019-08-13",10.13
"124","2019-08-14",9.99
"125","2019-08-15",9.72
"126","2019-08-16",10.46
"127","2019-08-19",11.06
"128","2019-08-20",12.61
"129","2019-08-21",12.8
"130","2019-08-22",13.74
"131","2019-08-23",12.85
"132","2019-08-26",12.6
"133","2019-08-27",11.42
"134","2019-08-28",11.77
"135","2019-08-29",12.29
