"","date","WVFC"
"1","2007-01-03",16.4
"2","2007-01-04",16.4
"3","2007-01-05",16.6
"4","2007-01-08",16.6
"5","2007-01-09",16.799999
"6","2007-01-10",17
"7","2007-01-11",16.51
"8","2007-01-12",16.639999
"9","2007-01-16",16.709999
"10","2007-01-17",16.709999
"11","2007-01-18",16.860001
"12","2007-01-19",16.860001
"13","2007-01-22",16.42
"14","2007-01-23",16.41
"15","2007-01-24",16.4
"16","2007-01-25",16.4
"17","2007-01-26",16.5
"18","2007-01-29",16.940001
"19","2007-01-30",16.440001
"20","2007-01-31",16.51
"21","2007-02-01",16.690001
"22","2007-02-02",16.700001
"23","2007-02-05",16.700001
"24","2007-02-06",16.440001
"25","2007-02-07",16.620001
"26","2007-02-08",16.57
"27","2007-02-09",16.9
"28","2007-02-12",16.4
"29","2007-02-13",16.4
"30","2007-02-14",16.4
"31","2007-02-15",16.549999
"32","2007-02-16",16.74
"33","2007-02-20",16.74
"34","2007-02-21",16.75
"35","2007-02-22",16.75
"36","2007-02-23",16.75
"37","2007-02-26",16.700001
"38","2007-02-27",16.549999
"39","2007-02-28",16.639999
"40","2007-03-01",16.639999
"41","2007-03-02",16.5
"42","2007-03-05",16.4
"43","2007-03-06",16.6
"44","2007-03-07",16.5
"45","2007-03-08",16.5
"46","2007-03-09",16.4
"47","2007-03-12",16.4
"48","2007-03-13",16.4
"49","2007-03-14",16.4
"50","2007-03-15",16.4
"51","2007-03-16",16.4
"52","2007-03-19",16.4
"53","2007-03-20",16.4
"54","2007-03-21",17.200001
"55","2007-03-22",17
"56","2007-03-23",17
"57","2007-03-26",17
"58","2007-03-27",17
"59","2007-03-28",17
"60","2007-03-29",16.85
"61","2007-03-30",17.200001
"62","2007-04-02",16.709999
"63","2007-04-03",16.709999
"64","2007-04-04",16.4
"65","2007-04-05",16.42
"66","2007-04-09",16.42
"67","2007-04-10",16.43
"68","2007-04-11",16.43
"69","2007-04-12",16.43
"70","2007-04-13",16.4
"71","2007-04-16",16.4
"72","2007-04-17",16.4
"73","2007-04-18",16.4
"74","2007-04-19",16.4
"75","2007-04-20",16.889999
"76","2007-04-23",16.889999
"77","2007-04-24",16.440001
"78","2007-04-25",17.1
"79","2007-04-26",17.1
"80","2007-04-27",16.4
"81","2007-04-30",16.4
"82","2007-05-01",16.42
"83","2007-05-02",16.4
"84","2007-05-03",16.4
"85","2007-05-04",16.4
"86","2007-05-07",16.799999
"87","2007-05-08",16.719999
"88","2007-05-09",16.719999
"89","2007-05-10",16.719999
"90","2007-05-11",16.4
"91","2007-05-14",16.4
"92","2007-05-15",16.4
"93","2007-05-16",16.4
"94","2007-05-17",16.4
"95","2007-05-18",16.4
"96","2007-05-21",16.4
"97","2007-05-22",16.42
"98","2007-05-23",16.42
"99","2007-05-24",16.4
"100","2007-05-25",16.719999
"101","2007-05-29",16.719999
"102","2007-05-30",16.65
"103","2007-05-31",16.65
"104","2007-06-01",16.65
"105","2007-06-04",16.65
"106","2007-06-05",16.65
"107","2007-06-06",16.65
"108","2007-06-07",16.65
"109","2007-06-08",16.4
"110","2007-06-11",16.4
"111","2007-06-12",16.4
"112","2007-06-13",16.4
"113","2007-06-14",16.4
"114","2007-06-15",16.4
"115","2007-06-18",16.4
"116","2007-06-19",16.4
"117","2007-06-20",16.4
"118","2007-06-21",16.4
"119","2007-06-22",16.4
"120","2007-06-25",16.4
"121","2007-06-26",16.4
"122","2007-06-27",16.4
"123","2007-06-28",16.4
"124","2007-06-29",16.4
"125","2007-07-02",16.4
"126","2007-07-03",16.4
"127","2007-07-05",16.4
"128","2007-07-06",16.4
"129","2007-07-09",16.4
"130","2007-07-10",16.5
"131","2007-07-11",16.5
"132","2007-07-12",16.4
"133","2007-07-13",16.59
"134","2007-07-16",16.59
"135","2007-07-17",16.469999
