"","date","JJSF"
"1","2007-01-03",41.02
"2","2007-01-04",41.889999
"3","2007-01-05",39.66
"4","2007-01-08",40.419998
"5","2007-01-09",40.540001
"6","2007-01-10",41.540001
"7","2007-01-11",41.41
"8","2007-01-12",42.23
"9","2007-01-16",41.709999
"10","2007-01-17",41.279999
"11","2007-01-18",42.740002
"12","2007-01-19",42.759998
"13","2007-01-22",42.529999
"14","2007-01-23",41.849998
"15","2007-01-24",42.200001
"16","2007-01-25",41.939999
"17","2007-01-26",41.529999
"18","2007-01-29",41.639999
"19","2007-01-30",41.669998
"20","2007-01-31",41.279999
"21","2007-02-01",41.57
"22","2007-02-02",40.98
"23","2007-02-05",41.200001
"24","2007-02-06",41.349998
"25","2007-02-07",41.48
"26","2007-02-08",41.32
"27","2007-02-09",40.93
"28","2007-02-12",41.130001
"29","2007-02-13",41.459999
"30","2007-02-14",41.41
"31","2007-02-15",41.25
"32","2007-02-16",41.77
"33","2007-02-20",41.459999
"34","2007-02-21",40.59
"35","2007-02-22",41.439999
"36","2007-02-23",40.41
"37","2007-02-26",40.009998
"38","2007-02-27",37.470001
"39","2007-02-28",39.689999
"40","2007-03-01",38.84
"41","2007-03-02",37.93
"42","2007-03-05",37.98
"43","2007-03-06",39.07
"44","2007-03-07",38.540001
"45","2007-03-08",38.02
"46","2007-03-09",38.040001
"47","2007-03-12",38.130001
"48","2007-03-13",37.619999
"49","2007-03-14",38.68
"50","2007-03-15",38.599998
"51","2007-03-16",38.279999
"52","2007-03-19",38.459999
"53","2007-03-20",39.009998
"54","2007-03-21",39.139999
"55","2007-03-22",39.75
"56","2007-03-23",38.990002
"57","2007-03-26",38.900002
"58","2007-03-27",38.84
"59","2007-03-28",38.389999
"60","2007-03-29",38.900002
"61","2007-03-30",39.490002
"62","2007-04-02",39.48
"63","2007-04-03",40.110001
"64","2007-04-04",39.18
"65","2007-04-05",39.41
"66","2007-04-09",39.240002
"67","2007-04-10",39.290001
"68","2007-04-11",38.759998
"69","2007-04-12",39.310001
"70","2007-04-13",39.790001
"71","2007-04-16",40.919998
"72","2007-04-17",39.75
"73","2007-04-18",39.560001
"74","2007-04-19",38.860001
"75","2007-04-20",39.189999
"76","2007-04-23",39.18
"77","2007-04-24",39.779999
"78","2007-04-25",39.919998
"79","2007-04-26",40.279999
"80","2007-04-27",39.68
"81","2007-04-30",38.970001
"82","2007-05-01",39.959999
"83","2007-05-02",41.189999
"84","2007-05-03",40.470001
"85","2007-05-04",39.860001
"86","2007-05-07",39.860001
"87","2007-05-08",39.52
"88","2007-05-09",39.509998
"89","2007-05-10",37.459999
"90","2007-05-11",38.310001
"91","2007-05-14",38.259998
"92","2007-05-15",37.439999
"93","2007-05-16",38.470001
"94","2007-05-17",37.759998
"95","2007-05-18",38.290001
"96","2007-05-21",39.5
"97","2007-05-22",39.849998
"98","2007-05-23",39.599998
"99","2007-05-24",39.450001
"100","2007-05-25",39.48
"101","2007-05-29",39
"102","2007-05-30",38.720001
"103","2007-05-31",39.330002
"104","2007-06-01",40.040001
"105","2007-06-04",39.84
"106","2007-06-05",38.150002
"107","2007-06-06",38.119999
"108","2007-06-07",37.84
"109","2007-06-08",38.810001
"110","2007-06-11",39.200001
"111","2007-06-12",38.290001
"112","2007-06-13",39.049999
"113","2007-06-14",39.049999
"114","2007-06-15",39.799999
"115","2007-06-18",39.240002
"116","2007-06-19",39.189999
"117","2007-06-20",37.740002
"118","2007-06-21",37.68
"119","2007-06-22",37.650002
"120","2007-06-25",37.98
"121","2007-06-26",37.990002
