"","date","ECOR"
"228","2019-05-20",3.12
"229","2019-05-21",3.13
"230","2019-05-22",2.7
"231","2019-05-23",2.65
"232","2019-05-24",2.53
"233","2019-05-28",2.19
"234","2019-05-29",2.06
"235","2019-05-30",1.95
"236","2019-05-31",1.71
"237","2019-06-03",1.65
"238","2019-06-04",1.68
"239","2019-06-05",1.69
"240","2019-06-06",1.655
"241","2019-06-07",2.24
"242","2019-06-10",2
"243","2019-06-11",1.85
"244","2019-06-12",1.72
"245","2019-06-13",2.18
"246","2019-06-14",1.96
"247","2019-06-17",1.98
"248","2019-06-18",1.82
"249","2019-06-19",1.94
"250","2019-06-20",1.99
"251","2019-06-21",2.12
"252","2019-06-24",1.88
"253","2019-06-25",1.73
"254","2019-06-26",1.78
"255","2019-06-27",1.84
"256","2019-06-28",2
"257","2019-07-01",1.97
"258","2019-07-02",2.02
"259","2019-07-03",1.85
"260","2019-07-05",1.79
"261","2019-07-08",1.77
"262","2019-07-09",1.71
"263","2019-07-10",1.67
"264","2019-07-11",1.69
"265","2019-07-12",1.62
"266","2019-07-15",1.61
"267","2019-07-16",1.4
"268","2019-07-17",1.39
"269","2019-07-18",1.3
"270","2019-07-19",1.25
"271","2019-07-22",1.25
"272","2019-07-23",1.54
"273","2019-07-24",1.5
"274","2019-07-25",1.36
"275","2019-07-26",1.4
"276","2019-07-29",1.4
"277","2019-07-30",1.44
"278","2019-07-31",1.41
"279","2019-08-01",1.26
"280","2019-08-02",1.285
"281","2019-08-05",1.29
"282","2019-08-06",1.32
"283","2019-08-07",1.37
"284","2019-08-08",1.46
"285","2019-08-09",1.5
"286","2019-08-12",1.56
"287","2019-08-13",1.56
"288","2019-08-14",1.39
"289","2019-08-15",1.51
"290","2019-08-16",1.64
"291","2019-08-19",1.69
"292","2019-08-20",1.695
"293","2019-08-21",1.82
"294","2019-08-22",1.77
"295","2019-08-23",1.57
"296","2019-08-26",1.71
"297","2019-08-27",1.57
"298","2019-08-28",1.7
"299","2019-08-29",1.87
"300","2019-08-30",1.91
"301","2019-09-03",1.94
"302","2019-09-04",2.22
"303","2019-09-05",2.55
"304","2019-09-06",2.89
"305","2019-09-09",2.89
"306","2019-09-10",3.27
"307","2019-09-11",3.48
"308","2019-09-12",3.61
"309","2019-09-13",3.75
"310","2019-09-16",3.89
"311","2019-09-17",4.05
"312","2019-09-18",4.75
"313","2019-09-19",4.96
"314","2019-09-20",5
"315","2019-09-23",4.18
"316","2019-09-24",3.36
"317","2019-09-25",2.57
"318","2019-09-26",2.48
"319","2019-09-27",2.175
"320","2019-09-30",2.19
"321","2019-10-01",1.86
"322","2019-10-02",2
"323","2019-10-03",1.98
"324","2019-10-04",2.67
"325","2019-10-07",2.56
"326","2019-10-08",2.37
"327","2019-10-09",2.62
"328","2019-10-10",2.42
"329","2019-10-11",2.07
"330","2019-10-14",1.97
"331","2019-10-15",1.89
"332","2019-10-16",1.88
"333","2019-10-17",1.96
"334","2019-10-18",1.88
"335","2019-10-21",1.91
"336","2019-10-22",1.97
"337","2019-10-23",2.06
"338","2019-10-24",1.86
"339","2019-10-25",1.85
"340","2019-10-28",1.81
"341","2019-10-29",1.69
"342","2019-10-30",1.46
"343","2019-10-31",1.58
"344","2019-11-01",1.55
"345","2019-11-04",1.69
"346","2019-11-05",1.505
"347","2019-11-06",1.515
"348","2019-11-07",1.55
"349","2019-11-08",1.63
"350","2019-11-11",1.64
"351","2019-11-12",1.82
"352","2019-11-13",1.85
"353","2019-11-14",1.48
"354","2019-11-15",1.58
"355","2019-11-18",1.37
"356","2019-11-19",1.56
"357","2019-11-20",1.51
"358","2019-11-21",1.52
"359","2019-11-22",1.52
"360","2019-11-25",1.55
"361","2019-11-26",1.48
"362","2019-11-27",1.48
"363","2019-11-29",1.51
"364","2019-12-02",1.5
"365","2019-12-03",1.53
"366","2019-12-04",1.72
"367","2019-12-05",1.62
"368","2019-12-06",1.65
"369","2019-12-09",1.76
"370","2019-12-10",1.57
"371","2019-12-11",1.555
"372","2019-12-12",1.59
"373","2019-12-13",1.56
"374","2019-12-16",1.5
"375","2019-12-17",1.31
"376","2019-12-18",1.285
"377","2019-12-19",1.29
"378","2019-12-20",1.23
"379","2019-12-23",1.36
"380","2019-12-24",1.39
"381","2019-12-26",1.33
"382","2019-12-27",1.31
"383","2019-12-30",1.48
"384","2019-12-31",1.59
"385","2020-01-02",1.53
"386","2020-01-03",1.62
"387","2020-01-06",1.51
"388","2020-01-07",1.49
"389","2020-01-08",1.39
"390","2020-01-09",1.37
"391","2020-01-10",1.39
"392","2020-01-13",1.2
"393","2020-01-14",1.19
"394","2020-01-15",1.27
"395","2020-01-16",1.4
"396","2020-01-17",1.38
"397","2020-01-21",1.35
"398","2020-01-22",1.3
"399","2020-01-23",1.29
"400","2020-01-24",1.26
"401","2020-01-27",1.24
