"","date","ABMD"
"1","2007-01-03",14.05
"2","2007-01-04",14.35
"3","2007-01-05",14.14
"4","2007-01-08",14.11
"5","2007-01-09",13.96
"6","2007-01-10",13.9
"7","2007-01-11",14.26
"8","2007-01-12",14.59
"9","2007-01-16",14.73
"10","2007-01-17",14.72
"11","2007-01-18",14.51
"12","2007-01-19",14.59
"13","2007-01-22",14.13
"14","2007-01-23",14.38
"15","2007-01-24",14.37
"16","2007-01-25",14.29
"17","2007-01-26",14.29
"18","2007-01-29",14.5
"19","2007-01-30",14.52
"20","2007-01-31",14.71
"21","2007-02-01",14.32
"22","2007-02-02",14.51
"23","2007-02-05",14.43
"24","2007-02-06",14.67
"25","2007-02-07",14.71
"26","2007-02-08",14.99
"27","2007-02-09",14.76
"28","2007-02-12",14.72
"29","2007-02-13",15
"30","2007-02-14",15.01
"31","2007-02-15",14.62
"32","2007-02-16",14.8
"33","2007-02-20",14.86
"34","2007-02-21",14.64
"35","2007-02-22",14.98
"36","2007-02-23",14.78
"37","2007-02-26",14.51
"38","2007-02-27",13.69
"39","2007-02-28",13.98
"40","2007-03-01",13.73
"41","2007-03-02",13.53
"42","2007-03-05",13.12
"43","2007-03-06",13.2
"44","2007-03-07",13.19
"45","2007-03-08",13.41
"46","2007-03-09",13.46
"47","2007-03-12",13.41
"48","2007-03-13",13.08
"49","2007-03-14",12.61
"50","2007-03-15",12.31
"51","2007-03-16",12.29
"52","2007-03-19",12.16
"53","2007-03-20",13.49
"54","2007-03-21",14.05
"55","2007-03-22",13.77
"56","2007-03-23",13.59
"57","2007-03-26",13.37
"58","2007-03-27",13.71
"59","2007-03-28",13.46
"60","2007-03-29",13.8
"61","2007-03-30",13.66
"62","2007-04-02",13.45
"63","2007-04-03",13.41
"64","2007-04-04",13.5
"65","2007-04-05",13.72
"66","2007-04-09",13.59
"67","2007-04-10",13.43
"68","2007-04-11",13.28
"69","2007-04-12",13.38
"70","2007-04-13",13.47
"71","2007-04-16",13.6
"72","2007-04-17",13.79
"73","2007-04-18",13.76
"74","2007-04-19",13.68
"75","2007-04-20",13.77
"76","2007-04-23",13.88
"77","2007-04-24",13.66
"78","2007-04-25",13.83
"79","2007-04-26",13.45
"80","2007-04-27",13.3
"81","2007-04-30",12.82
"82","2007-05-01",12.99
"83","2007-05-02",13.25
"84","2007-05-03",12.9
